app_cut,prop_unmatched
1,0.0
2,0.010500000000000002
3,0.0974358974358974
4,0.10150000000000002
5,0.7071794871794874
6,0.050999999999999976
7,0.57
8,0.9487179487179483
9,1.0
10,1.0
