Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
unmatched_applicants,11320.0,9332.0,9332.0,9332.0,9332.0,9332.0,9344.0,9396.0,9393.0,9486.0,9573.0,9642.0,9651.0,9712.0,9775.0,9807.0,9932.0,9941.0,9965.0,10014.0,10151.0,10209.0,10193.0,10212.0,10492.0,10483.0,10509.0,10465.0,10823.0,10820.0,10780.0,10795.0,11091.0,11111.0,11099.0
unmatched_applicants,11367.0,9332.0,9332.0,9332.0,9332.0,9332.0,9332.0,9375.0,9387.0,9478.0,9594.0,9662.0,9637.0,9711.0,9788.0,9823.0,9939.0,9944.0,9988.0,9984.0,10182.0,10198.0,10190.0,10214.0,10472.0,10474.0,10497.0,10493.0,10787.0,10803.0,10762.0,10804.0,11081.0,11108.0,11070.0
unmatched_applicants,11361.0,9332.0,9332.0,9332.0,9332.0,9332.0,9332.0,9372.0,9421.0,9451.0,9587.0,9649.0,9673.0,9699.0,9763.0,9821.0,9952.0,9970.0,9962.0,9994.0,10172.0,10197.0,10192.0,10227.0,10462.0,10493.0,10449.0,10493.0,10818.0,10823.0,10790.0,10782.0,11116.0,11085.0,11077.0
unmatched_applicants,11345.0,9332.0,9332.0,9332.0,9332.0,9332.0,9345.0,9377.0,9393.0,9473.0,9548.0,9649.0,9624.0,9712.0,9798.0,9827.0,9950.0,9920.0,9952.0,9980.0,10129.0,10183.0,10182.0,10167.0,10501.0,10486.0,10451.0,10490.0,10789.0,10803.0,10825.0,10783.0,11116.0,11064.0,11110.0
unmatched_applicants,11387.0,9332.0,9332.0,9332.0,9332.0,9332.0,9338.0,9370.0,9365.0,9455.0,9584.0,9651.0,9657.0,9703.0,9795.0,9825.0,9936.0,9949.0,9971.0,9994.0,10168.0,10213.0,10194.0,10231.0,10444.0,10492.0,10456.0,10470.0,10757.0,10786.0,10777.0,10751.0,11070.0,11122.0,11064.0
unmatched_applicants,11389.0,9332.0,9332.0,9332.0,9332.0,9332.0,9339.0,9383.0,9411.0,9461.0,9577.0,9644.0,9650.0,9721.0,9758.0,9824.0,9919.0,9950.0,9978.0,9988.0,10169.0,10172.0,10169.0,10207.0,10504.0,10516.0,10449.0,10431.0,10758.0,10779.0,10787.0,10792.0,11118.0,11085.0,11106.0
unfilled_spots,2009.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,42.0,132.0,228.0,302.0,336.0,377.0,443.0,489.0,588.0,609.0,623.0,676.0,845.0,844.0,881.0,905.0,1169.0,1132.0,1148.0,1158.0,1447.0,1499.0,1485.0,1542.0,1725.0,1745.0,1754.0
unfilled_spots,2012.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,46.0,171.0,235.0,294.0,306.0,373.0,446.0,480.0,591.0,603.0,636.0,656.0,856.0,840.0,873.0,881.0,1163.0,1154.0,1121.0,1195.0,1437.0,1453.0,1477.0,1429.0,1753.0,1780.0,1761.0
unfilled_spots,1994.0,0.0,0.0,0.0,0.0,0.0,10.0,64.0,42.0,147.0,197.0,310.0,309.0,386.0,444.0,497.0,625.0,645.0,654.0,699.0,835.0,852.0,876.0,899.0,1097.0,1120.0,1163.0,1131.0,1436.0,1458.0,1485.0,1467.0,1757.0,1767.0,1734.0
unfilled_spots,2038.0,0.0,0.0,0.0,0.0,0.0,9.0,73.0,60.0,147.0,228.0,307.0,302.0,392.0,450.0,487.0,607.0,627.0,642.0,659.0,856.0,819.0,852.0,836.0,1157.0,1150.0,1139.0,1193.0,1456.0,1458.0,1442.0,1481.0,1759.0,1743.0,1745.0
unfilled_spots,2041.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,51.0,144.0,216.0,309.0,351.0,379.0,453.0,506.0,618.0,603.0,618.0,643.0,858.0,856.0,864.0,872.0,1137.0,1152.0,1124.0,1162.0,1373.0,1394.0,1461.0,1507.0,1795.0,1757.0,1770.0
unfilled_spots,2026.0,0.0,0.0,0.0,0.0,0.0,15.0,59.0,67.0,140.0,234.0,313.0,340.0,383.0,448.0,495.0,582.0,642.0,641.0,683.0,843.0,878.0,877.0,895.0,1165.0,1155.0,1096.0,1155.0,1462.0,1470.0,1447.0,1487.0,1717.0,1767.0,1721.0
unfilled_spots,2011.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,54.0,141.0,207.0,326.0,322.0,374.0,462.0,508.0,594.0,621.0,616.0,662.0,855.0,852.0,886.0,883.0,1150.0,1137.0,1128.0,1138.0,1449.0,1497.0,1468.0,1500.0,1792.0,1755.0,1691.0
unfilled_spots,1968.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,55.0,139.0,245.0,319.0,317.0,400.0,438.0,482.0,582.0,562.0,631.0,673.0,860.0,877.0,891.0,848.0,1156.0,1160.0,1196.0,1125.0,1445.0,1454.0,1487.0,1474.0,1722.0,1771.0,1727.0
unfilled_spots,2003.0,0.0,0.0,0.0,0.0,0.0,9.0,60.0,63.0,172.0,225.0,327.0,309.0,387.0,433.0,499.0,607.0,632.0,634.0,642.0,877.0,850.0,901.0,832.0,1159.0,1119.0,1102.0,1156.0,1456.0,1446.0,1486.0,1476.0,1756.0,1752.0,1747.0
unfilled_spots,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,63.0,134.0,234.0,313.0,298.0,398.0,444.0,477.0,562.0,630.0,637.0,652.0,847.0,865.0,863.0,847.0,1129.0,1138.0,1127.0,1161.0,1498.0,1439.0,1472.0,1453.0,1753.0,1751.0,1822.0
unfilled_spots,1998.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,43.0,166.0,237.0,331.0,319.0,372.0,450.0,489.0,578.0,613.0,650.0,651.0,856.0,843.0,859.0,910.0,1159.0,1106.0,1172.0,1159.0,1478.0,1471.0,1455.0,1503.0,1727.0,1706.0,1759.0
unfilled_spots,1991.0,0.0,0.0,0.0,0.0,0.0,5.0,66.0,40.0,135.0,257.0,318.0,337.0,394.0,436.0,505.0,574.0,608.0,669.0,660.0,856.0,852.0,867.0,864.0,1138.0,1145.0,1159.0,1146.0,1443.0,1464.0,1440.0,1469.0,1776.0,1786.0,1775.0
unfilled_spots,1970.0,0.0,0.0,0.0,0.0,0.0,11.0,52.0,53.0,128.0,230.0,304.0,284.0,392.0,457.0,501.0,572.0,612.0,624.0,663.0,849.0,842.0,869.0,880.0,1102.0,1166.0,1096.0,1144.0,1448.0,1470.0,1468.0,1482.0,1760.0,1763.0,1752.0
unfilled_spots,1968.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,59.0,127.0,228.0,332.0,305.0,398.0,431.0,482.0,605.0,631.0,613.0,668.0,838.0,853.0,856.0,882.0,1131.0,1187.0,1105.0,1164.0,1459.0,1502.0,1493.0,1487.0,1756.0,1777.0,1809.0
unfilled_spots,1988.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,61.0,154.0,241.0,310.0,319.0,380.0,443.0,475.0,600.0,609.0,633.0,682.0,819.0,877.0,861.0,880.0,1160.0,1151.0,1177.0,1133.0,1491.0,1488.0,1448.0,1463.0,1759.0,1779.0,1767.0
unfilled_spots,2035.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,55.0,146.0,262.0,330.0,305.0,379.0,456.0,491.0,607.0,612.0,656.0,652.0,850.0,866.0,858.0,882.0,1140.0,1142.0,1165.0,1161.0,1455.0,1471.0,1430.0,1472.0,1749.0,1776.0,1738.0
unfilled_spots,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,89.0,119.0,255.0,317.0,341.0,367.0,431.0,489.0,620.0,638.0,630.0,662.0,840.0,865.0,860.0,895.0,1130.0,1161.0,1117.0,1161.0,1486.0,1491.0,1458.0,1450.0,1784.0,1753.0,1745.0
unfilled_spots,2013.0,0.0,0.0,0.0,0.0,0.0,13.0,45.0,61.0,141.0,216.0,317.0,292.0,380.0,466.0,495.0,618.0,588.0,620.0,648.0,797.0,851.0,850.0,835.0,1169.0,1154.0,1119.0,1158.0,1457.0,1471.0,1493.0,1451.0,1784.0,1732.0,1778.0
unfilled_spots,2055.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,33.0,123.0,252.0,319.0,325.0,371.0,463.0,493.0,604.0,617.0,639.0,662.0,836.0,881.0,862.0,899.0,1112.0,1160.0,1124.0,1138.0,1425.0,1454.0,1445.0,1419.0,1738.0,1790.0,1732.0
unfilled_spots,2057.0,0.0,0.0,0.0,0.0,0.0,7.0,51.0,79.0,129.0,245.0,312.0,318.0,389.0,426.0,492.0,587.0,618.0,646.0,656.0,837.0,840.0,837.0,875.0,1172.0,1184.0,1117.0,1099.0,1426.0,1447.0,1455.0,1460.0,1786.0,1753.0,1774.0
reviews_per_program,1957.0153846153846,1957.0153846153846,740.3230769230769,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,720.6192307692307,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,749.5692307692308,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,754.2307692307693,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,741.8576923076923,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,704.223076923077,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,712.3346153846154,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,719.8884615384616,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
reviews_per_program,1957.0153846153846,1957.0153846153846,770.2346153846154,158.6769230769231,211.56923076923076,264.46153846153845,317.3538461538462,370.24615384615385,423.1384615384615,476.03076923076924,528.9230769230769,581.8153846153846,634.7076923076924,687.6,740.4923076923077,793.3846153846154,846.276923076923,899.1692307692308,952.0615384615385,1004.9538461538461,1057.8461538461538,1110.7384615384615,1163.6307692307691,1216.5230769230768,1269.4153846153847,1322.3076923076924,1375.2,1428.0923076923077,1480.9846153846154,1533.876923076923,1586.7692307692307,1639.6615384615384,1692.553846153846,1745.446153846154,1798.3384615384616
