Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,10045.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9957.0,9962.0,9960.0,9962.0,9965.0,9965.0,9976.0,9975.0,9983.0,9986.0,9991.0,9994.0,9996.0,9998.0,10015.0,10009.0,10010.0,10016.0,10018.0,10023.0
unmatched_applicants,10040.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9959.0,9961.0,9960.0,9965.0,9962.0,9971.0,9972.0,9978.0,9981.0,9985.0,9990.0,9997.0,9997.0,9999.0,10003.0,10013.0,10007.0,10016.0,10027.0,10026.0
unmatched_applicants,10039.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9956.0,9955.0,9956.0,9957.0,9958.0,9961.0,9961.0,9970.0,9971.0,9970.0,9977.0,9976.0,9986.0,9987.0,10000.0,9995.0,9998.0,10009.0,10010.0,10016.0,10011.0,10021.0,10028.0
unmatched_applicants,10042.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9957.0,9956.0,9958.0,9959.0,9959.0,9967.0,9975.0,9973.0,9977.0,9978.0,9990.0,9986.0,9988.0,9998.0,9999.0,10009.0,10008.0,10008.0,10012.0,10023.0,10026.0
unmatched_applicants,10032.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9955.0,9957.0,9955.0,9955.0,9959.0,9956.0,9962.0,9961.0,9963.0,9971.0,9973.0,9980.0,9980.0,9992.0,9987.0,9990.0,9988.0,9997.0,10007.0,10005.0,10005.0,10016.0,10024.0,10027.0
unfilled_spots,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,11.0,11.0,21.0,17.0,20.0,27.0,30.0,37.0,33.0,39.0,42.0,49.0,58.0,59.0,63.0,66.0,70.0
unfilled_spots,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,9.0,15.0,15.0,15.0,23.0,23.0,33.0,35.0,34.0,38.0,41.0,50.0,50.0,54.0,56.0,62.0,65.0
unfilled_spots,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,8.0,15.0,13.0,15.0,23.0,26.0,31.0,37.0,36.0,45.0,39.0,51.0,55.0,57.0,54.0,69.0,66.0
unfilled_spots,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,13.0,11.0,13.0,17.0,20.0,24.0,29.0,37.0,34.0,43.0,49.0,55.0,50.0,54.0,59.0,62.0,72.0
unfilled_spots,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,9.0,17.0,15.0,21.0,23.0,25.0,40.0,41.0,38.0,41.0,43.0,58.0,55.0,54.0,67.0,69.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,9.0,8.0,12.0,19.0,9.0,21.0,24.0,39.0,35.0,37.0,40.0,45.0,52.0,53.0,56.0,53.0,69.0,69.0
unfilled_spots,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,4.0,9.0,13.0,14.0,22.0,24.0,29.0,29.0,37.0,30.0,38.0,45.0,50.0,50.0,53.0,63.0,65.0,67.0
unfilled_spots,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,5.0,7.0,13.0,15.0,21.0,23.0,32.0,25.0,37.0,36.0,44.0,48.0,54.0,61.0,54.0,59.0,64.0,69.0
unfilled_spots,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,9.0,9.0,11.0,12.0,17.0,22.0,35.0,40.0,43.0,38.0,44.0,52.0,52.0,55.0,68.0,66.0,69.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,9.0,13.0,16.0,18.0,22.0,23.0,30.0,27.0,35.0,46.0,45.0,43.0,58.0,58.0,60.0,72.0,73.0
unfilled_spots,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,8.0,11.0,14.0,11.0,21.0,24.0,33.0,34.0,34.0,40.0,46.0,49.0,54.0,56.0,55.0,72.0,68.0
unfilled_spots,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,11.0,6.0,19.0,19.0,20.0,25.0,30.0,29.0,39.0,41.0,43.0,49.0,54.0,54.0,63.0,67.0,74.0
unfilled_spots,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,11.0,11.0,14.0,13.0,21.0,24.0,30.0,39.0,38.0,42.0,44.0,48.0,49.0,54.0,60.0,67.0,69.0
unfilled_spots,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,7.0,4.0,12.0,16.0,15.0,19.0,27.0,29.0,33.0,40.0,41.0,47.0,52.0,50.0,55.0,64.0,71.0,70.0
unfilled_spots,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,5.0,13.0,17.0,16.0,21.0,25.0,27.0,30.0,38.0,42.0,42.0,51.0,47.0,55.0,59.0,71.0,70.0
unfilled_spots,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,7.0,10.0,10.0,21.0,20.0,28.0,31.0,36.0,39.0,41.0,43.0,60.0,54.0,55.0,61.0,63.0,68.0
unfilled_spots,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,10.0,7.0,16.0,17.0,23.0,26.0,30.0,35.0,42.0,42.0,44.0,48.0,58.0,52.0,61.0,72.0,71.0
unfilled_spots,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,6.0,6.0,15.0,16.0,15.0,22.0,21.0,31.0,32.0,45.0,40.0,43.0,54.0,55.0,61.0,56.0,66.0,73.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,12.0,20.0,18.0,22.0,23.0,35.0,31.0,33.0,43.0,44.0,54.0,53.0,53.0,57.0,68.0,71.0
unfilled_spots,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,7.0,6.0,8.0,16.0,18.0,25.0,25.0,37.0,32.0,35.0,33.0,42.0,52.0,50.0,50.0,61.0,69.0,72.0
