Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
unfilled_spots,223.0,26.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,22.0,20.0,27.0,47.0,59.0,76.0,80.0,91.0,101.0,131.0,121.0,129.0,151.0,184.0,181.0,183.0,184.0,213.0
unfilled_spots,234.0,27.0,11.0,7.0,1.0,0.0,0.0,1.0,2.0,5.0,7.0,22.0,33.0,36.0,50.0,66.0,77.0,83.0,100.0,97.0,120.0,134.0,146.0,156.0,184.0,188.0,195.0,198.0,221.0
unfilled_spots,225.0,31.0,7.0,13.0,1.0,0.0,0.0,2.0,0.0,2.0,7.0,21.0,21.0,26.0,43.0,58.0,70.0,70.0,95.0,108.0,120.0,137.0,150.0,146.0,175.0,181.0,181.0,195.0,226.0
unfilled_spots,235.0,31.0,16.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,14.0,16.0,24.0,29.0,41.0,69.0,66.0,91.0,99.0,98.0,125.0,134.0,144.0,147.0,167.0,180.0,190.0,194.0,231.0
unfilled_spots,219.0,25.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,15.0,19.0,33.0,48.0,59.0,70.0,87.0,98.0,110.0,120.0,124.0,131.0,145.0,172.0,185.0,196.0,180.0,230.0
unfilled_spots,235.0,19.0,15.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,14.0,14.0,23.0,32.0,57.0,59.0,75.0,83.0,88.0,113.0,144.0,132.0,140.0,162.0,170.0,186.0,181.0,191.0,236.0
unfilled_spots,229.0,36.0,18.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,8.0,20.0,19.0,40.0,58.0,46.0,72.0,83.0,107.0,106.0,119.0,123.0,148.0,144.0,170.0,176.0,191.0,196.0,209.0
unfilled_spots,224.0,20.0,14.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,12.0,23.0,32.0,47.0,62.0,75.0,88.0,95.0,102.0,126.0,132.0,145.0,151.0,186.0,181.0,190.0,198.0,214.0
unfilled_spots,224.0,22.0,8.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,18.0,23.0,41.0,53.0,54.0,62.0,64.0,98.0,98.0,131.0,138.0,152.0,147.0,183.0,191.0,190.0,192.0,228.0
unfilled_spots,231.0,27.0,13.0,6.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,14.0,17.0,37.0,42.0,51.0,83.0,86.0,91.0,98.0,123.0,130.0,144.0,148.0,170.0,173.0,202.0,198.0,218.0
unfilled_spots,222.0,32.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,25.0,30.0,45.0,59.0,73.0,86.0,89.0,103.0,131.0,131.0,142.0,150.0,180.0,175.0,185.0,189.0,223.0
unfilled_spots,236.0,23.0,14.0,9.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,17.0,34.0,34.0,52.0,53.0,75.0,85.0,92.0,99.0,132.0,136.0,137.0,133.0,168.0,179.0,198.0,194.0,216.0
unfilled_spots,232.0,23.0,15.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,21.0,41.0,50.0,64.0,81.0,87.0,102.0,104.0,125.0,134.0,146.0,143.0,173.0,188.0,176.0,189.0,230.0
unfilled_spots,225.0,30.0,10.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,15.0,23.0,29.0,39.0,54.0,66.0,79.0,98.0,115.0,117.0,119.0,136.0,144.0,180.0,177.0,180.0,195.0,221.0
unfilled_spots,221.0,21.0,13.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,19.0,23.0,32.0,44.0,54.0,70.0,78.0,91.0,100.0,120.0,134.0,140.0,139.0,163.0,168.0,183.0,190.0,232.0
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,91.48158640226629,82.61756373937678,66.86260623229462,51.64872521246459,44.06798866855524,38.212464589235125,37.76345609065156,37.406515580736546,39.55665722379604,42.225212464589234,45.390934844192635,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.91784702549575,91.14872521246458,82.24504249291785,65.26345609065156,52.375354107648725,44.54249291784703,37.742209631728045,37.273371104815865,37.92917847025496,39.61756373937677,42.14872521246459,45.75212464589235,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,91.87110481586403,81.39660056657223,65.828611898017,52.41501416430595,43.87960339943343,38.24645892351275,36.75495750708215,37.494334277620396,39.47450424929178,42.376770538243626,45.45609065155807,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,94.02407932011332,92.1728045325779,82.72662889518413,66.33711048158641,51.48441926345609,42.27053824362606,38.80736543909349,37.358356940509914,37.814447592067985,39.91076487252125,42.461756373937675,45.47167138810198,48.696883852691215,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.78045325779037,91.9957507082153,82.51841359773371,66.97025495750708,50.84844192634561,43.492917847025495,38.56940509915014,36.53257790368272,37.81161473087819,39.64305949008499,42.21671388101983,45.436260623229465,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.57082152974505,91.1699716713881,80.72379603399433,66.93909348441926,51.538243626062325,42.77620396600567,38.29603399433428,37.05665722379604,37.3356940509915,39.35269121813031,42.21529745042493,45.390934844192635,48.63314447592068,51.92776203966006,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
reviews_per_program,94.02407932011332,94.02407932011332,94.02407932011332,93.56798866855524,92.24220963172804,82.10481586402267,65.1657223796034,50.460339943342774,42.59065155807365,39.375354107648725,36.905099150141645,37.623229461756374,40.1671388101983,42.552407932011334,45.390934844192635,48.63314447592068,51.875354107648725,55.11756373937677,58.359773371104815,61.60198300283286,64.84419263456091,68.08640226628896,71.328611898017,74.57082152974505,77.81303116147309,81.05524079320114,84.29745042492918,87.53966005665723,90.78186968838527
