Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,812.5523255813954,589.3953488372093,511.44476744186045,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,819.3488372093024,587.6308139534884,515.453488372093,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,815.6656976744187,574.5203488372093,510.54651162790697,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,815.7877906976744,585.9970930232558,510.5436046511628,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,820.5755813953489,592.6976744186046,510.5436046511628,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,809.6947674418604,575.0406976744187,512.5290697674419,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,815.9098837209302,576.8837209302326,509.61337209302326,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,810.6075581395348,589.5348837209302,511.48837209302326,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,811.3459302325581,583.3459302325581,510.5610465116279,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,813.3081395348837,582.5,510.55523255813955,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,817.0029069767442,576.25,512.5087209302326,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,813.0406976744187,582.1511627906976,513.4098837209302,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,806.2790697674419,580.4825581395348,513.3110465116279,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,821.8517441860465,575.7383720930233,509.61337209302326,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
