Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
unfilled_spots,459.0,14.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,43.0,91.0,185.0,242.0,287.0
unfilled_spots,475.0,10.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,44.0,128.0,175.0,256.0,269.0
unfilled_spots,449.0,23.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,71.0,93.0,187.0,250.0,295.0
unfilled_spots,494.0,20.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,127.0,151.0,230.0,278.0
unfilled_spots,470.0,10.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,59.0,101.0,185.0,240.0,274.0
unfilled_spots,507.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,57.0,128.0,179.0,245.0,292.0
unfilled_spots,491.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,26.0,112.0,187.0,257.0,343.0
unfilled_spots,473.0,16.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,56.0,92.0,167.0,239.0,296.0
unfilled_spots,460.0,26.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,46.0,48.0,93.0,183.0,254.0,285.0
unfilled_spots,476.0,24.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,40.0,99.0,200.0,265.0,300.0
unfilled_spots,481.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,13.0,123.0,177.0,236.0,277.0
unfilled_spots,495.0,22.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,44.0,59.0,96.0,195.0,241.0,273.0
unfilled_spots,471.0,17.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,53.0,112.0,212.0,237.0,264.0
unfilled_spots,474.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,40.0,59.0,120.0,181.0,264.0,292.0
unfilled_spots,490.0,13.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,56.0,83.0,174.0,270.0,295.0
unfilled_spots,483.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,60.0,54.0,118.0,178.0,261.0,295.0
reviews_per_program,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,916.207468879668,909.6348547717843,791.9170124481328,494.81742738589213,478.47302904564316,509.00414937759336,542.9377593360996,576.8713692946058,610.804979253112,644.7385892116182,678.6721991701245,712.6058091286307,746.5394190871369,780.4730290456431,814.4066390041494
