Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,308.0,93.0,73.0,62.0,22.0,17.0,14.0,11.0,8.0,5.0,4.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,14.0,32.0,46.0,77.0,93.0,116.0,137.0,148.0,182.0,183.0,206.0,211.0,219.0,239.0,251.0,264.0,272.0,286.0
unmatched_applicants,311.0,86.0,84.0,65.0,31.0,20.0,11.0,12.0,9.0,5.0,7.0,3.0,4.0,3.0,0.0,2.0,4.0,2.0,0.0,2.0,6.0,10.0,5.0,30.0,46.0,73.0,97.0,116.0,126.0,149.0,167.0,189.0,214.0,215.0,228.0,244.0,261.0,269.0,267.0,287.0
unfilled_spots,405.0,183.0,150.0,150.0,106.0,104.0,95.0,93.0,88.0,91.0,85.0,88.0,88.0,87.0,85.0,85.0,85.0,85.0,84.0,86.0,85.0,90.0,90.0,96.0,131.0,156.0,177.0,183.0,219.0,227.0,268.0,274.0,284.0,300.0,313.0,323.0,328.0,355.0,362.0,369.0
unfilled_spots,404.0,183.0,164.0,159.0,108.0,106.0,98.0,94.0,94.0,89.0,90.0,88.0,86.0,86.0,84.0,85.0,87.0,84.0,84.0,84.0,86.0,92.0,99.0,118.0,122.0,154.0,169.0,199.0,217.0,239.0,246.0,272.0,288.0,294.0,299.0,330.0,338.0,348.0,358.0,364.0
unfilled_spots,407.0,189.0,155.0,145.0,110.0,91.0,100.0,99.0,93.0,89.0,89.0,90.0,86.0,86.0,86.0,87.0,87.0,88.0,84.0,85.0,88.0,88.0,104.0,114.0,137.0,155.0,179.0,196.0,219.0,242.0,255.0,267.0,288.0,286.0,307.0,327.0,331.0,346.0,370.0,366.0
unfilled_spots,410.0,177.0,158.0,145.0,111.0,106.0,100.0,101.0,96.0,90.0,91.0,85.0,90.0,84.0,85.0,86.0,84.0,85.0,85.0,84.0,87.0,90.0,97.0,111.0,135.0,151.0,177.0,186.0,211.0,225.0,258.0,263.0,278.0,294.0,303.0,317.0,340.0,355.0,363.0,371.0
unfilled_spots,407.0,173.0,150.0,149.0,111.0,101.0,96.0,96.0,92.0,88.0,89.0,87.0,85.0,85.0,85.0,86.0,86.0,85.0,85.0,85.0,88.0,91.0,94.0,107.0,139.0,156.0,180.0,202.0,219.0,228.0,254.0,275.0,277.0,302.0,304.0,329.0,353.0,347.0,359.0,372.0
unfilled_spots,407.0,189.0,150.0,153.0,125.0,112.0,97.0,98.0,98.0,91.0,87.0,90.0,86.0,87.0,84.0,87.0,89.0,87.0,86.0,85.0,87.0,89.0,98.0,113.0,132.0,165.0,165.0,207.0,220.0,225.0,246.0,259.0,288.0,305.0,319.0,327.0,347.0,356.0,363.0,362.0
unfilled_spots,405.0,174.0,153.0,147.0,115.0,105.0,99.0,97.0,96.0,91.0,91.0,88.0,85.0,87.0,84.0,85.0,88.0,87.0,84.0,86.0,87.0,87.0,96.0,115.0,133.0,155.0,182.0,196.0,221.0,230.0,257.0,260.0,286.0,290.0,318.0,324.0,341.0,345.0,361.0,356.0
unfilled_spots,392.0,178.0,154.0,156.0,116.0,102.0,95.0,98.0,92.0,91.0,93.0,89.0,86.0,89.0,86.0,86.0,87.0,85.0,85.0,84.0,87.0,90.0,99.0,110.0,132.0,162.0,172.0,209.0,220.0,241.0,256.0,277.0,283.0,300.0,316.0,317.0,343.0,345.0,355.0,360.0
unfilled_spots,395.0,174.0,163.0,143.0,109.0,100.0,99.0,97.0,95.0,91.0,88.0,86.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,89.0,84.0,91.0,121.0,135.0,151.0,182.0,198.0,220.0,241.0,251.0,263.0,281.0,317.0,314.0,329.0,365.0,350.0,367.0,374.0
unfilled_spots,405.0,178.0,156.0,139.0,106.0,101.0,102.0,93.0,90.0,91.0,87.0,87.0,86.0,89.0,84.0,86.0,87.0,85.0,86.0,85.0,85.0,85.0,97.0,113.0,125.0,155.0,174.0,196.0,208.0,237.0,248.0,278.0,292.0,296.0,310.0,332.0,336.0,355.0,368.0,364.0
unfilled_spots,402.0,177.0,152.0,138.0,112.0,96.0,97.0,98.0,96.0,92.0,93.0,88.0,88.0,85.0,87.0,85.0,84.0,85.0,84.0,86.0,89.0,90.0,101.0,112.0,123.0,157.0,179.0,207.0,223.0,243.0,251.0,272.0,287.0,291.0,315.0,321.0,351.0,351.0,360.0,370.0
unfilled_spots,411.0,185.0,156.0,146.0,115.0,99.0,108.0,93.0,92.0,92.0,90.0,86.0,88.0,89.0,84.0,87.0,86.0,86.0,84.0,84.0,89.0,88.0,92.0,114.0,135.0,154.0,178.0,195.0,227.0,240.0,249.0,264.0,286.0,297.0,314.0,321.0,342.0,345.0,359.0,368.0
unfilled_spots,399.0,185.0,157.0,154.0,114.0,107.0,104.0,95.0,95.0,89.0,90.0,88.0,88.0,86.0,86.0,84.0,85.0,84.0,87.0,86.0,88.0,88.0,98.0,114.0,128.0,152.0,164.0,201.0,214.0,241.0,249.0,266.0,287.0,297.0,307.0,318.0,353.0,353.0,368.0,371.0
unfilled_spots,396.0,173.0,155.0,143.0,109.0,105.0,96.0,97.0,90.0,88.0,88.0,87.0,86.0,85.0,86.0,84.0,85.0,84.0,86.0,85.0,86.0,92.0,94.0,112.0,137.0,147.0,177.0,190.0,221.0,225.0,253.0,257.0,274.0,297.0,305.0,323.0,341.0,359.0,356.0,377.0
unfilled_spots,409.0,180.0,161.0,150.0,111.0,109.0,97.0,95.0,92.0,97.0,87.0,87.0,87.0,86.0,85.0,85.0,85.0,85.0,86.0,85.0,86.0,90.0,102.0,106.0,130.0,158.0,165.0,197.0,226.0,234.0,256.0,262.0,286.0,305.0,305.0,327.0,339.0,344.0,370.0,362.0
unfilled_spots,400.0,185.0,160.0,140.0,107.0,106.0,97.0,93.0,91.0,88.0,86.0,86.0,87.0,87.0,84.0,85.0,87.0,85.0,86.0,84.0,86.0,85.0,98.0,119.0,135.0,147.0,190.0,208.0,206.0,229.0,256.0,264.0,296.0,306.0,308.0,330.0,339.0,355.0,366.0,372.0
unfilled_spots,402.0,190.0,156.0,145.0,111.0,104.0,97.0,94.0,97.0,87.0,90.0,85.0,86.0,85.0,90.0,84.0,85.0,84.0,84.0,88.0,85.0,92.0,95.0,137.0,131.0,145.0,173.0,197.0,212.0,224.0,264.0,262.0,272.0,300.0,320.0,315.0,345.0,350.0,356.0,359.0
unfilled_spots,410.0,174.0,148.0,151.0,115.0,105.0,106.0,96.0,92.0,89.0,87.0,87.0,89.0,88.0,88.0,85.0,86.0,84.0,84.0,86.0,89.0,89.0,97.0,117.0,128.0,149.0,183.0,195.0,221.0,243.0,256.0,268.0,283.0,299.0,310.0,321.0,336.0,348.0,352.0,362.0
unfilled_spots,392.0,177.0,157.0,146.0,106.0,101.0,98.0,95.0,92.0,89.0,88.0,86.0,87.0,85.0,85.0,87.0,84.0,84.0,85.0,84.0,84.0,91.0,98.0,116.0,130.0,161.0,177.0,200.0,221.0,232.0,266.0,267.0,290.0,295.0,303.0,323.0,335.0,348.0,356.0,370.0
unfilled_spots,395.0,170.0,168.0,149.0,115.0,104.0,95.0,96.0,93.0,89.0,91.0,87.0,88.0,87.0,84.0,86.0,88.0,86.0,84.0,86.0,90.0,94.0,89.0,114.0,130.0,157.0,181.0,200.0,210.0,233.0,251.0,273.0,298.0,299.0,312.0,328.0,345.0,353.0,351.0,371.0
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.17798165137614,160.28440366972478,156.9908256880734,154.29174311926604,140.9119266055046,131.32844036697247,115.04954128440367,107.67339449541285,99.28440366972477,98.54678899082569,98.26788990825688,100.55045871559633,104.28807339449541,107.79633027522935,111.5302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
reviews_per_program,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.52660550458717,161.01100917431194,160.67339449541285,158.02935779816514,151.83119266055047,143.35963302752293,130.39266055045871,117.29908256880734,107.8440366972477,99.94311926605505,97.58899082568807,98.72660550458716,100.59816513761469,103.93577981651376,107.7834862385321,111.63302752293578,115.37614678899082,119.22201834862385,123.06788990825689,126.91376146788991,130.75963302752294,134.60550458715596,138.451376146789,142.297247706422,146.14311926605504,149.98899082568806
