Parameter,0,1,2,3,4
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unmatched_applicants,15973.0,15973.0,15973.0,15973.0,15973.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
reviews_per_program,251.2869822485207,71.15976331360947,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,72.38461538461539,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,69.43491124260355,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,68.46745562130178,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,70.68047337278107,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,74.29585798816568,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,67.77810650887574,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,69.11538461538461,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,73.96153846153847,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,74.12721893491124,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,71.29881656804734,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,73.80473372781066,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,74.85798816568047,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,73.63905325443787,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,71.50591715976331,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,69.58579881656804,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,72.1301775147929,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,74.39940828402366,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,72.63905325443787,100.51479289940828,150.77218934911244,201.02958579881656
reviews_per_program,251.2869822485207,71.70414201183432,100.51479289940828,150.77218934911244,201.02958579881656
pct_interview_given_signal,0.0,0.8287513981279803,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8284570553953023,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8281627126626243,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8286336610349091,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8285159239418379,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8270442102784482,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8298699005121564,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8285747924883735,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8250426796962383,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8258668393477365,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.827632895743804,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8279861070230176,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8267498675457703,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8274562901041973,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8281038441160887,0.41784894330958966,0.2785659622063931,0.20892447165479483
pct_interview_given_signal,0.0,0.8290457408606582,0.41784894330958966,0.2785659622063931,0.20892447165479483
