Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unfilled_spots,1075.0,445.0,471.0,456.0,326.0,324.0,318.0,312.0,319.0,314.0,312.0,307.0,315.0,325.0,397.0,484.0,567.0,646.0,723.0,783.0,857.0,924.0
unfilled_spots,1066.0,445.0,483.0,458.0,339.0,334.0,323.0,315.0,322.0,313.0,311.0,312.0,313.0,334.0,376.0,450.0,556.0,664.0,743.0,803.0,852.0,933.0
unfilled_spots,1055.0,422.0,467.0,435.0,337.0,328.0,325.0,316.0,315.0,314.0,312.0,310.0,309.0,321.0,349.0,475.0,555.0,640.0,747.0,749.0,858.0,915.0
unfilled_spots,1050.0,443.0,478.0,445.0,332.0,333.0,334.0,313.0,315.0,312.0,309.0,310.0,310.0,325.0,371.0,485.0,567.0,664.0,710.0,811.0,863.0,915.0
unfilled_spots,1072.0,431.0,480.0,441.0,334.0,318.0,322.0,315.0,310.0,308.0,310.0,308.0,312.0,319.0,384.0,494.0,577.0,638.0,692.0,806.0,877.0,912.0
unfilled_spots,1067.0,440.0,472.0,439.0,336.0,325.0,326.0,317.0,312.0,311.0,314.0,311.0,314.0,331.0,362.0,466.0,541.0,622.0,740.0,782.0,868.0,925.0
unfilled_spots,1067.0,422.0,481.0,456.0,326.0,324.0,325.0,313.0,313.0,311.0,309.0,307.0,312.0,328.0,369.0,485.0,600.0,620.0,716.0,782.0,864.0,917.0
unfilled_spots,1065.0,432.0,469.0,457.0,341.0,328.0,313.0,316.0,317.0,314.0,313.0,308.0,315.0,315.0,377.0,481.0,575.0,668.0,700.0,771.0,866.0,907.0
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,313.4563591022444,277.7356608478803,226.78802992518703,197.77306733167083,199.98753117206982,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,313.36408977556107,280.8802992518703,223.5211970074813,195.49376558603493,200.05985037406484,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,310.7281795511222,280.34912718204487,224.11221945137157,200.2568578553616,199.8054862842893,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.1620947630923,313.3615960099751,281.4214463840399,223.43142144638404,196.58354114713217,200.44638403990024,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.17955112219454,312.6234413965087,279.46134663341644,217.96009975062344,194.5511221945137,200.21695760598504,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.18952618453864,309.93765586034914,276.788029925187,222.49875311720697,196.20947630922694,199.4713216957606,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.20448877805484,309.8628428927681,279.73316708229424,222.73067331670822,200.14463840399003,199.36159600997507,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,313.47630922693264,278.81296758104736,229.4214463840399,196.70324189526184,199.7506234413965,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,314.1496259351621,283.2418952618454,224.51122194513715,196.7057356608479,199.2069825436409,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,310.2443890274314,282.17456359102243,225.95511221945137,195.1645885286783,199.39650872817955,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,311.2344139650873,282.7506234413965,227.66583541147133,198.49625935162095,199.4788029925187,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.214463840399,312.860349127182,277.927680798005,223.83042394014961,198.13216957605985,200.33167082294264,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.20199501246884,311.98254364089775,280.0523690773067,223.81795511221947,197.2793017456359,199.41895261845386,211.98254364089775,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.2069825436409,311.8703241895262,277.54613466334166,222.54613466334163,198.1920199501247,200.04488778054863,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,311.66583541147133,278.71072319201994,227.74064837905237,196.95760598503742,199.45137157107231,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,310.1546134663342,280.38653366583543,227.09725685785537,195.24438902743142,200.05236907730674,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,314.6084788029925,277.5361596009975,224.58104738154614,195.13466334164588,200.0573566084788,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,310.3665835411471,280.214463840399,223.49127182044887,197.59600997506234,199.10224438902742,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,312.56857855361596,279.4139650872818,222.47630922693267,196.32169576059852,199.77805486284288,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
reviews_per_program,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.6259351620948,317.17456359102243,312.05486284289276,276.44638403990024,223.47630922693267,195.51870324189525,200.04488778054863,211.7506234413965,224.9850374064838,238.21945137157107,251.45386533665837,264.68827930174564,277.92269326683294
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989550679205852,0.990280133157465,0.9573422620341784,0.9030525720746184,0.8458765152942654,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990064580228515,0.9883330192827083,0.9587337478801583,0.9045061778244368,0.8460775076942403,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986124672388098,0.9894793040638151,0.9579075531591077,0.9027833858246521,0.8460146975692482,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999811569625023,0.9990921081932953,0.9908140192198982,0.9574437245437811,0.9038332121995208,0.8458137051692732,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998869417750141,0.9991092382273841,0.9901388103762326,0.9594149961589192,0.9044927185119385,0.8460398216192451,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999811569625023,0.9980471761138805,0.9887412850951574,0.9575451870533838,0.9040351018869957,0.8458137051692732,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999811569625023,0.998304126625212,0.9889611205326299,0.9595454479569799,0.9029314382621336,0.8460649456692418,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995203590455145,0.9877991332202751,0.957124842370744,0.9036851597620393,0.8460146975692482,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987666375456087,0.9889768230638779,0.9560667333420301,0.9042639101994671,0.8462408140192199,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985439471024548,0.9907512090949061,0.9568204548419359,0.9041023984494873,0.8460775076942403,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991263682614728,0.9905784812511776,0.9577191227841313,0.902864141699642,0.8458388292192701,0.7933860938383267,0.7467163236125428,0.705232083411846,0.6681146053375383,0.6347088750706614,0.6044846429244394
