Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,1622.0,72.0,118.0,117.0,0.0,0.0,0.0,0.0,0.0,21.0,144.0,316.0,537.0,663.0,758.0,851.0,996.0,1060.0,1114.0,1143.0,1266.0,1291.0,1346.0,1367.0,1470.0,1497.0,1539.0,1518.0,1603.0,1620.0
unmatched_applicants,1623.0,74.0,79.0,96.0,0.0,0.0,0.0,0.0,0.0,11.0,148.0,335.0,537.0,676.0,776.0,876.0,984.0,1077.0,1121.0,1183.0,1273.0,1314.0,1332.0,1392.0,1474.0,1498.0,1511.0,1518.0,1628.0,1593.0
unmatched_applicants,1619.0,49.0,117.0,90.0,0.0,0.0,0.0,0.0,0.0,11.0,138.0,347.0,524.0,680.0,733.0,836.0,992.0,1039.0,1092.0,1167.0,1318.0,1306.0,1339.0,1364.0,1435.0,1492.0,1506.0,1516.0,1602.0,1606.0
unmatched_applicants,1648.0,87.0,101.0,95.0,0.0,0.0,0.0,0.0,0.0,14.0,153.0,336.0,528.0,665.0,744.0,813.0,991.0,1074.0,1111.0,1154.0,1257.0,1321.0,1345.0,1375.0,1488.0,1482.0,1500.0,1506.0,1618.0,1637.0
unmatched_applicants,1651.0,61.0,102.0,108.0,0.0,0.0,0.0,0.0,0.0,17.0,144.0,347.0,524.0,654.0,773.0,842.0,1028.0,1062.0,1133.0,1169.0,1304.0,1317.0,1349.0,1385.0,1489.0,1482.0,1495.0,1541.0,1614.0,1599.0
unmatched_applicants,1614.0,66.0,102.0,96.0,0.0,0.0,0.0,0.0,0.0,9.0,147.0,323.0,536.0,635.0,786.0,851.0,974.0,1060.0,1114.0,1172.0,1304.0,1335.0,1335.0,1351.0,1468.0,1502.0,1523.0,1529.0,1635.0,1633.0
unmatched_applicants,1637.0,55.0,83.0,90.0,0.0,0.0,0.0,0.0,0.0,11.0,165.0,319.0,496.0,655.0,739.0,841.0,1001.0,1075.0,1106.0,1131.0,1293.0,1331.0,1350.0,1347.0,1480.0,1495.0,1499.0,1532.0,1602.0,1619.0
unmatched_applicants,1643.0,67.0,98.0,107.0,0.0,0.0,0.0,0.0,0.0,15.0,167.0,344.0,531.0,648.0,758.0,874.0,984.0,1058.0,1110.0,1174.0,1257.0,1326.0,1346.0,1365.0,1482.0,1490.0,1493.0,1530.0,1612.0,1619.0
unmatched_applicants,1643.0,42.0,88.0,117.0,0.0,0.0,0.0,0.0,0.0,17.0,125.0,349.0,493.0,617.0,786.0,846.0,1009.0,1089.0,1096.0,1156.0,1290.0,1272.0,1338.0,1355.0,1477.0,1508.0,1495.0,1513.0,1588.0,1632.0
unmatched_applicants,1630.0,76.0,93.0,101.0,0.0,0.0,0.0,0.0,0.0,12.0,141.0,332.0,486.0,671.0,770.0,839.0,1000.0,1038.0,1113.0,1188.0,1280.0,1308.0,1358.0,1385.0,1442.0,1478.0,1501.0,1514.0,1612.0,1621.0
unmatched_applicants,1645.0,64.0,93.0,101.0,0.0,0.0,0.0,0.0,1.0,13.0,174.0,338.0,495.0,643.0,765.0,854.0,982.0,1056.0,1090.0,1171.0,1280.0,1321.0,1360.0,1378.0,1437.0,1495.0,1515.0,1525.0,1590.0,1644.0
unmatched_applicants,1634.0,67.0,105.0,97.0,0.0,0.0,0.0,0.0,0.0,12.0,163.0,334.0,510.0,672.0,759.0,830.0,988.0,1079.0,1142.0,1155.0,1273.0,1297.0,1348.0,1389.0,1459.0,1510.0,1519.0,1519.0,1620.0,1603.0
