,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.3245563552712978,0.3323757198000596,0.1947253343800748,0.07693166991184797,0.07141092063672003,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.32525126495255385,0.3278250892769448,0.19834728658657036,0.07225858604380636,0.07631777314012474,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.19357029016038169,0.19708191231886496,0.18384942840449095,0.16468838094651986,0.16874953070260407,0.036419231215544245,0.0368506052182701,0.018790621033324195,0.0,0.0
prog_cut_4,0.07428953821433111,0.07057765860257179,0.16324135317892516,0.2575971613406797,0.25053758523550823,0.0705270451179761,0.07455125575947175,0.03867840255053613,0.0,0.0
prog_cut_5,0.07138045723320077,0.07470150185851937,0.16418807047142325,0.2508620056729363,0.25459520683313785,0.07467564216269248,0.07199019137276916,0.037606924395321005,0.0,0.0
prog_cut_6,0.0,0.0,0.034934567440875426,0.07377296201023724,0.06897102530692918,0.2579043174673248,0.2563609765970781,0.16622412783391785,0.07186992525446102,0.06996209808917639
prog_cut_7,0.0,0.0,0.038140415196849284,0.07450710990228987,0.07368863897349354,0.2538351009783453,0.2565060418507949,0.1594567836064775,0.07125652596058878,0.07260938353116084
prog_cut_8,0.0,0.0,0.019886124396455478,0.036330148165175304,0.035854313079154806,0.1600169789558921,0.1613474326627097,0.18576384970216794,0.1978884832392719,0.20291266979917266
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.06871909267430504,0.0725696269070463,0.20651849121313354,0.3234610454620196,0.3287317437434957
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.07200115191077833,0.07495457345771368,0.19703281725389718,0.3303861815853454,0.3256252757922655
