,Parameter,3,4,5,6
91,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
92,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
93,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
94,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
95,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
96,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
97,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
98,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
99,pct_interview_given_nosignal,1.0,1.0,1.0,1.0
100,pct_interview_given_application,1.0,1.0,1.0,1.0
101,pct_interview_given_application,1.0,1.0,1.0,1.0
102,pct_interview_given_application,1.0,1.0,1.0,1.0
103,pct_interview_given_application,1.0,1.0,1.0,1.0
104,pct_interview_given_application,1.0,1.0,1.0,1.0
105,pct_interview_given_application,1.0,1.0,1.0,1.0
106,pct_interview_given_application,1.0,1.0,1.0,1.0
107,pct_interview_given_application,1.0,1.0,1.0,1.0
108,pct_interview_given_application,1.0,1.0,1.0,1.0
109,pct_interview_given_application,1.0,1.0,1.0,1.0
110,pct_interview_given_application,1.0,1.0,1.0,1.0
111,pct_interview_given_application,1.0,1.0,1.0,1.0
112,pct_interview_given_application,1.0,1.0,1.0,1.0
113,pct_interview_given_application,1.0,1.0,1.0,1.0
114,pct_interview_given_application,1.0,1.0,1.0,1.0
115,pct_interview_given_application,1.0,1.0,1.0,1.0
116,pct_interview_given_application,1.0,1.0,1.0,1.0
117,pct_interview_given_application,1.0,1.0,1.0,1.0
118,pct_interview_given_application,1.0,1.0,1.0,1.0
119,pct_interview_given_application,1.0,1.0,1.0,1.0
