Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
reviews_per_program,477.472,472.112,469.82,470.888,469.12,470.972,472.716,474.224,471.316,472.268,456.416,408.636,316.92,237.96,226.188,237.448,252.396,266.884,280.436,295.308,308.72,320.284,333.248,344.34,355.412,366.136,375.196,384.968,392.94
reviews_per_program,470.6,472.28,471.584,471.14,471.48,468.144,473.588,479.412,471.736,469.404,469.444,407.492,306.3,231.348,222.344,238.496,252.3,266.772,280.344,294.58,308.736,320.884,332.836,344.348,355.04,365.276,376.216,383.764,393.62
reviews_per_program,473.396,472.548,473.916,472.604,473.292,467.992,473.292,471.264,467.624,469.252,463.552,416.124,308.308,235.032,225.184,237.492,251.72,266.604,280.292,294.956,308.908,320.328,333.788,345.752,355.74,364.072,376.708,387.352,395.108
reviews_per_program,473.864,470.984,472.368,475.46,471.528,473.676,473.02,468.204,470.968,469.108,465.94,411.008,305.452,230.98,228.12,237.408,252.74,266.468,281.008,295.364,307.508,320.88,333.996,343.808,356.888,365.504,377.076,384.048,392.096
reviews_per_program,472.024,470.196,471.372,469.252,468.38,471.264,475.38,469.412,471.936,470.992,465.82,418.616,309.072,238.504,225.128,237.712,252.168,266.48,280.868,294.56,308.236,319.988,333.88,344.448,355.004,366.164,375.024,384.644,392.884
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991487657102799,0.9905449740271576,0.9582784089720252,0.9046376307293781,0.846283996616088,0.7923603154276471,0.7461561652095267,0.7046104976100931,0.6691854508196722,0.6367895784527469,0.608540925266904,0.5852447387089147,0.5659866401877596,0.5457425696612392,0.527067921990585,0.5123497815499602,0.5013593475131937,0.49134850479593756,0.48009188361408883
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991485525393169,0.9907491797302224,0.9601522789549648,0.906047662305031,0.8457995213847455,0.7908412095119572,0.7442902138301072,0.7039249146757679,0.6702823666918483,0.637454249694998,0.6115084525357607,0.5850190341121146,0.5645122566084848,0.5451352259949225,0.5291794202376665,0.5127911541481288,0.5000638039941301,0.4876291011655398,0.47919171744757166
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990984673945708,0.9883384580343925,0.9620398853244606,0.9059749705023308,0.8461815367447219,0.79245378406161,0.7450685257070427,0.7053185745140389,0.6693664327502028,0.6383108685914404,0.610048777956515,0.5866319032946196,0.5622309899569584,0.5471522485310373,0.5290246371920351,0.5154441424061733,0.49964406005291284,0.4901296589677312,0.4767674105015563
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994240352590589,0.9914405390639228,0.9601078843379539,0.9034301606922126,0.845621291134688,0.7916266855209333,0.7462390503998985,0.7047266514806378,0.6690426394639123,0.6394827023498695,0.6093136556227892,0.5864782619540545,0.5654489923524602,0.5452553221093641,0.5295429208472687,0.5144685739292161,0.5021088035876354,0.4890795631825273,0.47591818559038146
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983723143186257,0.9908875523965737,0.9589190093708166,0.9058778035576179,0.8463809335229421,0.7929615702409659,0.7460969727740052,0.7061022853539145,0.668367491969641,0.6362381783496367,0.6109602567267342,0.5852665903320555,0.5632343605897642,0.5456665777045452,0.5277777777777778,0.515195670274771,0.5002659574468085,0.4875330464983671,0.47768274348868395
