Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,640.0,497.0,494.0,493.0,493.0,493.0,495.0,502.0,502.0,510.0,516.0,519.0,525.0,532.0,542.0,545.0,558.0,561.0,565.0,570.0,581.0,586.0,591.0,600.0,603.0,614.0,605.0,602.0
unmatched_applicants,643.0,496.0,493.0,493.0,493.0,494.0,500.0,501.0,498.0,507.0,519.0,526.0,527.0,537.0,537.0,544.0,552.0,571.0,565.0,561.0,589.0,592.0,587.0,590.0,609.0,607.0,606.0,607.0
unmatched_applicants,637.0,496.0,497.0,493.0,493.0,493.0,496.0,499.0,505.0,512.0,516.0,528.0,527.0,541.0,543.0,541.0,561.0,561.0,564.0,566.0,582.0,585.0,586.0,586.0,608.0,606.0,620.0,609.0
unmatched_applicants,649.0,499.0,493.0,493.0,493.0,495.0,498.0,503.0,503.0,505.0,521.0,525.0,525.0,537.0,539.0,547.0,561.0,567.0,563.0,568.0,584.0,587.0,591.0,585.0,605.0,611.0,601.0,614.0
unmatched_applicants,659.0,498.0,493.0,493.0,493.0,496.0,495.0,500.0,507.0,506.0,518.0,523.0,529.0,534.0,540.0,545.0,556.0,564.0,566.0,567.0,592.0,592.0,589.0,584.0,606.0,615.0,610.0,614.0
unmatched_applicants,664.0,504.0,493.0,493.0,493.0,493.0,496.0,499.0,499.0,510.0,518.0,522.0,535.0,535.0,534.0,544.0,567.0,567.0,575.0,569.0,583.0,590.0,586.0,588.0,609.0,602.0,601.0,613.0
unmatched_applicants,662.0,498.0,496.0,494.0,493.0,493.0,495.0,498.0,505.0,507.0,513.0,527.0,524.0,531.0,543.0,545.0,562.0,558.0,562.0,568.0,586.0,582.0,589.0,599.0,610.0,607.0,606.0,598.0
unmatched_applicants,652.0,499.0,494.0,493.0,493.0,493.0,493.0,503.0,503.0,504.0,518.0,526.0,533.0,538.0,549.0,550.0,561.0,566.0,565.0,569.0,581.0,581.0,592.0,580.0,609.0,609.0,606.0,605.0
unmatched_applicants,661.0,503.0,494.0,493.0,493.0,495.0,495.0,504.0,503.0,504.0,520.0,522.0,532.0,536.0,543.0,545.0,562.0,558.0,567.0,566.0,586.0,589.0,589.0,589.0,610.0,613.0,612.0,609.0
unmatched_applicants,654.0,498.0,494.0,493.0,493.0,493.0,497.0,500.0,500.0,509.0,515.0,524.0,532.0,530.0,538.0,541.0,560.0,562.0,563.0,565.0,588.0,580.0,582.0,587.0,612.0,608.0,606.0,621.0
unfilled_spots,147.0,4.0,1.0,0.0,0.0,0.0,2.0,9.0,9.0,17.0,23.0,26.0,32.0,39.0,49.0,52.0,65.0,68.0,72.0,77.0,88.0,93.0,98.0,107.0,110.0,121.0,112.0,109.0
unfilled_spots,150.0,3.0,0.0,0.0,0.0,1.0,7.0,8.0,5.0,14.0,26.0,33.0,34.0,44.0,44.0,51.0,59.0,78.0,72.0,68.0,96.0,99.0,94.0,97.0,116.0,114.0,113.0,114.0
unfilled_spots,144.0,3.0,4.0,0.0,0.0,0.0,3.0,6.0,12.0,19.0,23.0,35.0,34.0,48.0,50.0,48.0,68.0,68.0,71.0,73.0,89.0,92.0,93.0,93.0,115.0,113.0,127.0,116.0
unfilled_spots,156.0,6.0,0.0,0.0,0.0,2.0,5.0,10.0,10.0,12.0,28.0,32.0,32.0,44.0,46.0,54.0,68.0,74.0,70.0,75.0,91.0,94.0,98.0,92.0,112.0,118.0,108.0,121.0
unfilled_spots,166.0,5.0,0.0,0.0,0.0,3.0,2.0,7.0,14.0,13.0,25.0,30.0,36.0,41.0,47.0,52.0,63.0,71.0,73.0,74.0,99.0,99.0,96.0,91.0,113.0,122.0,117.0,121.0
unfilled_spots,171.0,11.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,17.0,25.0,29.0,42.0,42.0,41.0,51.0,74.0,74.0,82.0,76.0,90.0,97.0,93.0,95.0,116.0,109.0,108.0,120.0
unfilled_spots,169.0,5.0,3.0,1.0,0.0,0.0,2.0,5.0,12.0,14.0,20.0,34.0,31.0,38.0,50.0,52.0,69.0,65.0,69.0,75.0,93.0,89.0,96.0,106.0,117.0,114.0,113.0,105.0
unfilled_spots,159.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,25.0,33.0,40.0,45.0,56.0,57.0,68.0,73.0,72.0,76.0,88.0,88.0,99.0,87.0,116.0,116.0,113.0,112.0
unfilled_spots,168.0,10.0,1.0,0.0,0.0,2.0,2.0,11.0,10.0,11.0,27.0,29.0,39.0,43.0,50.0,52.0,69.0,65.0,74.0,73.0,93.0,96.0,96.0,96.0,117.0,120.0,119.0,116.0
unfilled_spots,161.0,5.0,1.0,0.0,0.0,0.0,4.0,7.0,7.0,16.0,22.0,31.0,39.0,37.0,45.0,48.0,67.0,69.0,70.0,72.0,95.0,87.0,89.0,94.0,119.0,115.0,113.0,128.0
