Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
reviews_per_program,869.1142857142858,427.77142857142854,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714,253.0857142857143,284.57142857142856,316.1714285714286,347.8,379.1714285714286,408.54285714285714,440.54285714285714,470.22857142857146,500.25714285714287,529.0571428571428,556.7142857142857,581.8285714285714,609.7714285714286,638.4571428571429,662.5142857142857,681.0571428571428,704.9428571428572,726.0857142857143,744.8857142857142,756.8857142857142,782.0571428571428,795.1428571428571
reviews_per_program,867.4571428571429,433.9428571428571,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858,253.25714285714287,284.62857142857143,316.45714285714286,347.7142857142857,378.1142857142857,409.42857142857144,440.25714285714287,470.2857142857143,500.14285714285717,528.1142857142858,556.8,585.1142857142858,611.7428571428571,632.1714285714286,662.7428571428571,683.0,705.4571428571429,726.2285714285714,742.4285714285714,762.5428571428571,774.6857142857143,790.4571428571429
reviews_per_program,874.4,418.9428571428571,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.14285714285714,284.74285714285713,316.42857142857144,347.45714285714286,378.9142857142857,409.2,439.77142857142854,470.77142857142854,498.77142857142854,529.0571428571428,555.8,585.4,609.2,633.3428571428572,660.1428571428571,681.0571428571428,705.6,724.8,748.1428571428571,755.8285714285714,779.7714285714286,794.2
reviews_per_program,859.6285714285714,471.6,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.5142857142857,253.14285714285714,284.8857142857143,316.22857142857146,347.34285714285716,378.74285714285713,409.51428571428573,440.0285714285714,468.9428571428571,498.77142857142854,528.0571428571428,557.0857142857143,581.2857142857143,608.8,635.3714285714286,660.8285714285714,683.2571428571429,697.2857142857143,728.8571428571429,740.3142857142857,766.0571428571428,775.1142857142858,794.1142857142858
reviews_per_program,859.6571428571428,442.57142857142856,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858,253.25714285714287,284.65714285714284,316.25714285714287,347.0285714285714,378.42857142857144,409.7142857142857,440.0285714285714,470.48571428571427,498.34285714285716,530.2857142857143,555.0857142857143,587.3428571428572,609.9428571428572,632.4571428571429,659.0857142857143,681.3714285714286,707.0285714285715,722.8571428571429,741.6857142857143,756.8285714285714,777.6571428571428,785.0
reviews_per_program,853.2285714285714,510.0285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714,253.2,284.74285714285713,316.2857142857143,347.2,378.48571428571427,409.25714285714287,438.85714285714283,470.57142857142856,499.6857142857143,529.2,555.9428571428572,583.9428571428572,610.5714285714286,635.2285714285714,659.7714285714286,684.2857142857143,705.1428571428571,726.5714285714286,746.0285714285715,769.6,779.1714285714286,793.4857142857143
reviews_per_program,858.1428571428571,461.22857142857146,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858,253.25714285714287,284.7142857142857,316.1714285714286,347.51428571428573,378.85714285714283,410.14285714285717,439.45714285714286,470.9428571428571,500.9142857142857,530.9714285714285,559.1714285714286,583.6571428571428,610.0285714285715,636.9428571428572,660.8285714285714,681.8857142857142,704.2571428571429,725.1428571428571,743.4285714285714,759.8571428571429,777.3714285714286,790.2285714285714
reviews_per_program,861.9428571428572,499.8,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714,253.2,284.6,316.1714285714286,347.42857142857144,378.9714285714286,409.65714285714284,440.0285714285714,471.2,499.9428571428571,529.6285714285714,557.6,583.2285714285714,606.4857142857143,635.3428571428572,657.8571428571429,676.4,709.4857142857143,728.8571428571429,750.9714285714285,757.5714285714286,778.1428571428571,792.7142857142857
reviews_per_program,868.6857142857143,472.4,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714,253.22857142857143,284.77142857142854,315.9142857142857,347.45714285714286,379.1142857142857,409.48571428571427,440.3142857142857,470.9142857142857,498.45714285714286,531.0857142857143,554.5142857142857,585.0285714285715,612.6857142857143,633.0857142857143,662.9428571428572,677.8857142857142,702.9428571428572,725.2285714285714,747.0285714285715,758.5428571428571,770.2857142857143,796.2571428571429
pct_interview_given_signal,0.0,0.9422382671480144,0.5054151624548736,0.3369434416365824,0.2527075812274368,0.20216606498194944,0.1684717208182912,0.14442295293359123,0.12643937683449988,0.11235955056179775,0.10124751401193274,0.0919917864476386,0.08459214501510574,0.07813590065578345,0.0725999870357166,0.06796941376380629,0.0641025641025641,0.060514372163388806,0.05771113515741743,0.05455696819133908,0.052643948296122206,0.050150002238839385,0.04839476299529015,0.04671922579568681,0.045190445448676564,0.043914680050188205,0.043243243243243246,0.04160011885748245,0.04101061882094471,0.0402964668633518
