Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
reviews_per_program,421.8363636363636,421.0181818181818,414.6727272727273,306.05454545454546,117.65454545454546,71.0909090909091,85.30909090909091,99.52727272727273,113.63636363636364,127.96363636363637,142.0,156.29090909090908,170.0,184.05454545454546,197.45454545454547,211.43636363636364,224.03636363636363,237.38181818181818,251.03636363636363,261.3272727272727,273.8909090909091,285.94545454545454,296.6181818181818
reviews_per_program,418.45454545454544,412.3454545454546,411.8,324.4,130.72727272727272,71.0909090909091,85.30909090909091,99.52727272727273,113.72727272727273,127.9090909090909,142.0909090909091,156.16363636363636,170.05454545454546,184.25454545454545,197.36363636363637,211.1090909090909,223.92727272727274,237.14545454545456,248.87272727272727,262.3636363636364,273.45454545454544,286.4727272727273,297.7090909090909
reviews_per_program,421.8909090909091,423.1818181818182,411.4727272727273,298.6181818181818,139.29090909090908,71.0909090909091,85.30909090909091,99.52727272727273,113.72727272727273,127.94545454545455,142.1090909090909,156.1090909090909,170.14545454545456,184.16363636363636,197.54545454545453,210.94545454545454,224.38181818181818,237.14545454545456,249.56363636363636,263.92727272727274,275.4,286.25454545454545,295.0181818181818
reviews_per_program,417.07272727272726,414.58181818181816,419.0181818181818,330.6,111.85454545454546,71.0909090909091,85.30909090909091,99.49090909090908,113.74545454545455,127.92727272727272,142.05454545454546,156.25454545454545,170.01818181818183,183.96363636363637,197.21818181818182,211.25454545454545,224.47272727272727,237.38181818181818,248.6727272727273,263.1636363636364,274.27272727272725,284.92727272727274,296.54545454545456
pct_interview_given_signal,0.0,1.0,1.0,0.969309462915601,0.8343989769820972,0.6751918158567775,0.56277979108932,0.4822798684691268,0.42219734527426833,0.3752131893121092,0.33789837450403176,0.30736989172196993,0.281780339417227,0.2609985170538804,0.24392497459114848,0.22715539494062983,0.21425093329005032,0.20278055150165145,0.19155420113191118,0.18323153803442532,0.17507792293918695,0.1687116564417178,0.16191352345906163
pct_interview_given_signal,0.0,1.0,1.0,0.974850809889173,0.8292838874680307,0.6751918158567775,0.5626598465473146,0.4822798684691268,0.42206235011990406,0.3756937526682795,0.33776867963152507,0.30758476057322615,0.2828672452587592,0.26066350710900477,0.24311630905239892,0.22817631806395852,0.2133850630455868,0.20178858060077964,0.19137368611815875,0.1830155979202773,0.17506631299734748,0.1684855447061076,0.1621422429676944
pct_interview_given_signal,0.0,1.0,1.0,0.9816709292412618,0.8331202046035806,0.6746803069053708,0.5626598465473146,0.4822798684691268,0.42206235011990406,0.3752131893121092,0.3376822716807368,0.30758476057322615,0.282021151586369,0.26017542130679017,0.24300441826215022,0.22658999227534118,0.21405983945512042,0.20217491193138307,0.192546130843848,0.183206106870229,0.17409654444737535,0.1680244399185336,0.16166564605021433
pct_interview_given_signal,0.0,1.0,1.0,0.9786871270247229,0.8318414322250639,0.6751918158567775,0.5626598465473146,0.48236798830623057,0.42206235011990406,0.37542662116040953,0.33789837450403176,0.30765645029716815,0.2823227462303497,0.26061204343534056,0.24242424242424243,0.22776291950651367,0.21312666505207073,0.2020665901262916,0.19193020719738277,0.1834097540641934,0.17560196887056007,0.16853932584269662,0.1622618315918869
pct_interview_given_signal,0.0,1.0,1.0,0.9671781756180733,0.8312020460358056,0.6751918158567775,0.5626598465473146,0.4822798684691268,0.4219948849104859,0.3752665245202559,0.3382013835511145,0.3074772886093641,0.28193079880392996,0.26136026136026136,0.2426470588235294,0.22762545266425246,0.21324717285945072,0.20109689213893966,0.19165154264972778,0.18381840969224342,0.1751592356687898,0.1677681748856126,0.16195325440157046
pct_interview_given_signal,0.0,1.0,1.0,0.9658994032395567,0.8292838874680307,0.6751918158567775,0.5626598465473146,0.48236798830623057,0.42206235011990406,0.37542662116040953,0.3382013835511145,0.3075131042516016,0.28223220012828737,0.2608437901393143,0.24358737774497138,0.22772362632623136,0.2143901250609063,0.20166526621342906,0.19155420113191118,0.1824212271973466,0.1749271137026239,0.16850705304142466,0.1616260560793437
pct_interview_given_signal,0.0,1.0,1.0,0.974850809889173,0.8270460358056266,0.6751918158567775,0.5626598465473146,0.4822798684691268,0.4224,0.3751065643648764,0.3380281690140845,0.30711959050721266,0.2823529411764706,0.2607922552602983,0.2430939226519337,0.2270186602459369,0.21425093329005032,0.20220588235294118,0.19120735858622437,0.18367772907534963,0.17525225703664365,0.1678641826158835,0.16182420007355647
pct_interview_given_signal,0.0,1.0,1.0,0.9727195225916454,0.823849104859335,0.6751918158567775,0.5626598465473146,0.4822798684691268,0.42206235011990406,0.3752665245202559,0.3378119001919386,0.30736989172196993,0.2822623757083289,0.2605091770278271,0.24320589590050667,0.2273705968478167,0.2143553101656382,0.20240742160545885,0.19286966686148452,0.18295218295218296,0.17553191489361702,0.16755521706016754,0.16123122022718944
pct_interview_given_signal,0.0,1.0,1.0,0.9735720375106565,0.8273657289002557,0.6751918158567775,0.5626598465473146,0.4822798684691268,0.42206235011990406,0.3751598692624698,0.33776867963152507,0.3074772886093641,0.2821115622996367,0.2606377727317603,0.24298205246203405,0.22754697465954146,0.21392107608783728,0.20240742160545885,0.19233571324493662,0.1818682832736291,0.17429193899782136,0.1676829268292683,0.16270183655860965
pct_interview_given_signal,0.0,1.0,1.0,0.9701619778346121,0.8289641943734015,0.6751918158567775,0.5626598465473146,0.4824561403508772,0.4219948849104859,0.3752131893121092,0.33789837450403176,0.3071910635326972,0.2823227462303497,0.26092113065823286,0.243385267815986,0.22721404595920475,0.2138344403045521,0.20220588235294118,0.1930247861373108,0.1823960204504629,0.1750082863771959,0.16846404186076192,0.1618638871857756
pct_interview_given_nosignal,0.11543506777437691,0.08311339745023484,0.051067869008068346,0.017422763840624553,0.0015164535206995905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11586570111915734,0.0844891091810286,0.05130895045539078,0.017017789133683653,0.002303570534328209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11310084825636192,0.08544492986893538,0.05062338273347448,0.016122087738602114,0.0017057997190447522,0.00010506408909434755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11487750750620078,0.08277644123674596,0.05076190026890598,0.01689504444771868,0.0019411524315488353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1158199526191103,0.08469322636521105,0.050533039026910254,0.01828757332281757,0.0020475020475020475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11469284907463724,0.08246782068353306,0.049539594843462244,0.018024096385542168,0.002256229154404552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11378819878453515,0.08304281755609189,0.05065197947559196,0.01701696876205168,0.0026219451865044027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11470779926135129,0.08485180618349546,0.05103153900877401,0.017179327222995346,0.0032954961552544857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11377348732977073,0.08260347663717602,0.05107514121612,0.0171491883038682,0.0026226862359408887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11508784166702996,0.084377838328792,0.05008844614095522,0.01782304264799491,0.0023736174940659563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.11543506777437691,0.11410295198167437,0.1166386851639127,0.11304757418747056,0.11522849286368993,0.11527377521613832,0.11739072435412869,0.11590130827991922,0.1147925906600574,0.11454853126220332,0.11395519488928217,0.11327069120864976,0.11568799298860649,0.11318813239581547,0.11415228953171618,0.11443433029908973,0.11690727127800904,0.11472773890747903,0.11601845748187212,0.11612562681446292,0.11537453019840924,0.1160133591140798,0.11211619314562364
pct_interview_given_application,0.11586570111915734,0.11592675536819919,0.11715109829154648,0.11434016198189614,0.11430055851409274,0.11247443762781185,0.11538461538461539,0.1188118811881188,0.11334363730036064,0.11788872019290882,0.11736463056815151,0.11532916866890917,0.11505273250239693,0.11293151388116525,0.11504771865603347,0.11688656689984947,0.11547041070725626,0.11487250892002436,0.11452368558042686,0.11463308727746417,0.1143897049265566,0.11497757066329864,0.1144244105409154
pct_interview_given_application,0.11310084825636192,0.11719270209082434,0.11569306279854508,0.11355327110843477,0.11448395490026018,0.11505273250239693,0.113915857605178,0.11415722563348613,0.11318327974276528,0.1139650334556443,0.11377839072533724,0.11428571428571428,0.11504270524664459,0.1130717834504026,0.11241696474195197,0.115077808290833,0.11693316206759091,0.11552093817004332,0.11586061616782235,0.11376858435681965,0.1144244105409154,0.11517319605619056,0.11340693328751235
pct_interview_given_application,0.11487750750620078,0.11365593249526433,0.11598787399499143,0.11626370722684634,0.11627906976744186,0.11422143382512007,0.11758417958311064,0.11445913722089747,0.11826897231430876,0.11803630510596441,0.11427087391247889,0.11476264997391758,0.11459825498111734,0.11481255979820823,0.1162227602905569,0.1165820269375138,0.11411281607953318,0.11479758229334261,0.11413254939259003,0.1161000923523462,0.11411774876804703,0.11609498680738786,0.1141424186086731
pct_interview_given_application,0.1158199526191103,0.11619718309859155,0.11550072187951174,0.11664383864268987,0.11648429226967878,0.11440457618304732,0.11802047476418258,0.11707317073170732,0.11521843494959194,0.11701090328871554,0.11648429226967878,0.113915857605178,0.11326097215667767,0.11429561000952464,0.1108451946088928,0.11745862253069941,0.1154148815248754,0.11391094235415948,0.11293634496919917,0.11758941695247428,0.11642778390297685,0.11610519834638051,0.11550577528876443
pct_interview_given_application,0.11469284907463724,0.11324639670555937,0.11338258031266106,0.114305507447177,0.1122639904745705,0.11386181316311568,0.11445417497615538,0.11580471114620344,0.1145435612634502,0.11628419151653967,0.11830607214877885,0.11438474870017332,0.11553104896941054,0.11386672417511322,0.11800464866797783,0.11523855253393862,0.11457338772675983,0.11586061616782235,0.11308147005911078,0.11577931760371897,0.11342642320085929,0.11556139198949442,0.11400440471563673
pct_interview_given_application,0.11378819878453515,0.11400932803593021,0.11575393519533476,0.11433521004763968,0.11310084825636192,0.11402902557014513,0.1167624944714728,0.11589113257243196,0.114251092742459,0.11311538626333605,0.11456344384655441,0.11289770783441669,0.11640724899686936,0.11446409989594172,0.11639698425995326,0.11511795229581825,0.1175056749899853,0.11398963730569948,0.11240739163757132,0.11783084133006025,0.11702127659574468,0.11527880878564255,0.11508282476024412
pct_interview_given_application,0.11470779926135129,0.11640724899686936,0.11656143759106362,0.11386672417511322,0.11867835468644639,0.11419179030234872,0.11595730662801423,0.11520837879118481,0.116314931488743,0.11430055851409274,0.11405858463665428,0.11314932281844677,0.11514807868452044,0.11344104503265727,0.1166077738515901,0.11401425178147269,0.11599806669888835,0.11520837879118481,0.11553610503282276,0.11476264997391758,0.11483253588516747,0.11162790697674418,0.11564238468614482
pct_interview_given_application,0.11377348732977073,0.11342642320085929,0.11665414696655031,0.11426098247132656,0.11500762361141363,0.11386181316311568,0.11460322972738322,0.11585044760400211,0.11567278622442273,0.11555127587867116,0.11599297012302284,0.11473771133034899,0.11569306279854508,0.11501263396357933,0.11494753341751208,0.11528384279475982,0.1157996315466269,0.11625858728201514,0.11433521004763968,0.11285909712722299,0.1169642461565726,0.11461318051575932,0.11559681233032665
pct_interview_given_application,0.11508784166702996,0.11577931760371897,0.11455350169226763,0.11594712108568668,0.11513803480308779,0.11533924592599065,0.11622787708021484,0.11426098247132656,0.11513301351940688,0.11270972975280708,0.11436988259758264,0.11527880878564255,0.11332417582417582,0.11377348732977073,0.11496255007838356,0.11466794075489728,0.11385690257471859,0.11483253588516747,0.11775200713648529,0.11265201621506293,0.11358258400378608,0.11455847255369929,0.11584536399139936
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9958333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
