Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
unfilled_spots,1608.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,29.0,79.0,182.0,360.0,327.0,496.0,543.0,687.0,680.0,790.0,826.0,945.0,936.0,1009.0,1058.0,1081.0,1186.0,1185.0,1171.0,1185.0,1250.0
reviews_per_program,669.0976253298153,666.3245382585752,665.3232189973614,665.5303430079156,665.9525065963061,664.7941952506596,474.31398416886543,192.30079155672823,180.74406332453825,203.30738786279684,225.77968337730871,248.06860158311346,270.28891820580475,292.32981530343005,314.1517150395778,335.27836411609496,357.02374670184696,377.2598944591029,397.20976253298153,416.8575197889182,435.4366754617414,453.0065963060686,470.00263852242745,487.2612137203166,504.0303430079156,517.5382585751979,529.1306068601583,544.9459102902375,556.0277044854881,566.179419525066,575.3377308707124,586.4036939313984,595.2770448548813
reviews_per_program,668.4683377308708,667.5105540897098,669.1160949868074,666.8271767810027,668.4551451187335,659.8337730870712,478.62269129287597,191.80738786279684,180.7335092348285,203.29287598944592,225.72559366754618,248.13984168865434,270.3575197889182,292.4894459102902,314.15963060686016,335.91424802110816,356.82717678100266,376.91292875989444,397.17018469656995,416.17810026385223,434.8627968337731,453.2071240105541,470.86147757255935,487.06992084432716,502.7810026385224,517.467018469657,531.0501319261214,543.5,554.302110817942,567.5303430079156,576.8720316622691,585.9076517150396,596.8799472295515
reviews_per_program,665.868073878628,665.0488126649077,667.6292875989446,664.7506596306068,666.924802110818,666.0910290237467,472.7717678100264,187.92084432717678,180.7532981530343,203.26385224274406,225.77044854881265,248.03034300791558,270.3179419525066,292.2387862796834,314.0910290237467,335.6029023746702,356.7598944591029,376.59630606860156,396.84564643799473,416.6569920844327,435.69920844327174,453.14775725593665,470.5448548812665,487.64775725593665,502.9802110817942,517.7572559366755,532.0593667546174,542.7176781002638,553.6451187335092,567.1292875989446,578.38654353562,586.9736147757257,595.1187335092349
reviews_per_program,667.6609498680739,666.3562005277045,665.4947229551451,665.9182058047494,667.5197889182058,664.6662269129288,462.8311345646438,192.3245382585752,180.7467018469657,203.28891820580475,225.7467018469657,248.15171503957782,270.32717678100266,292.5118733509235,314.11345646437996,335.5065963060686,356.51715039577834,377.1411609498681,397.3693931398417,416.457783641161,435.3957783641161,453.32981530343005,470.4986807387863,487.6833773087071,503.06860158311343,517.4142480211082,531.532981530343,545.1345646437994,556.122691292876,566.9960422163589,575.4894459102902,586.2651715039577,594.9010554089709
reviews_per_program,665.2519788918206,665.4261213720316,665.7836411609499,665.6701846965699,668.844327176781,664.1029023746702,472.2757255936676,195.37598944591028,180.75065963060686,203.26385224274406,225.72559366754618,248.13984168865434,270.32585751978894,292.31002638522426,313.89841688654354,335.7282321899736,356.5065963060686,377.5765171503958,396.9366754617414,417.21767810026387,435.15963060686016,453.0514511873351,471.31398416886543,485.8944591029024,502.8232189973615,517.467018469657,531.6187335092349,542.8166226912929,555.2071240105541,567.1372031662269,576.8799472295515,587.278364116095,593.8100263852243
reviews_per_program,667.2321899736148,667.1490765171504,664.3627968337731,668.1108179419525,665.6437994722955,665.5290237467018,477.62269129287597,193.82189973614777,180.7467018469657,203.25857519788917,225.72823218997362,248.04353562005278,270.32058047493405,292.39841688654354,313.9274406332454,335.37862796833775,356.32585751978894,376.9089709762533,396.8839050131926,417.1108179419525,435.50395778364117,454.1372031662269,470.6108179419525,487.598944591029,502.1108179419525,516.1741424802111,532.1846965699208,543.3100263852243,555.377308707124,567.6807387862797,576.104221635884,585.9274406332454,595.5382585751979
reviews_per_program,669.0224274406332,663.0633245382586,667.1569920844328,667.5474934036939,664.5949868073878,660.2163588390501,481.4287598944591,189.75725593667545,180.74538258575197,203.28100263852244,225.71108179419525,248.04353562005278,270.3482849604222,292.37335092348286,314.1754617414248,335.8496042216359,356.55408970976254,377.06992084432716,397.21108179419525,416.3073878627968,435.73614775725594,454.1424802110818,470.8060686015831,487.80474934036937,502.69525065963063,516.5474934036939,530.7440633245383,544.7506596306068,555.759894459103,567.8759894459102,577.4419525065963,587.5,595.1424802110818
reviews_per_program,665.4709762532982,667.8799472295515,664.0382585751979,666.9881266490765,667.7084432717678,665.1781002638522,471.7348284960422,195.05408970976254,180.73087071240104,203.30079155672823,225.72559366754618,248.12532981530342,270.32717678100266,292.29419525065964,314.0211081794195,335.5,356.7401055408971,376.5976253298153,397.3693931398417,417.6108179419525,436.01846965699207,452.80870712401054,471.01715039577834,486.45118733509236,503.2203166226913,516.8878627968338,532.0791556728232,544.1015831134565,556.0686015831135,566.8601583113457,577.0171503957783,585.4617414248021,595.0976253298153
reviews_per_program,665.221635883905,667.5949868073878,668.0118733509235,665.1926121372031,664.6398416886543,660.6926121372031,475.3852242744063,186.02242744063324,180.74274406332455,203.2467018469657,225.68997361477574,248.10158311345646,270.3746701846966,292.44459102902374,314.2282321899736,335.69920844327174,356.532981530343,377.32058047493405,397.1055408970976,416.9472295514512,435.4353562005277,454.71635883905014,470.67810026385223,486.23614775725594,502.2467018469657,517.2796833773087,530.335092348285,545.2532981530343,556.7480211081794,568.476253298153,577.1121372031662,584.8047493403694,595.9973614775726
reviews_per_program,667.9432717678101,666.835092348285,663.9050131926122,669.2453825857519,665.4116094986807,666.476253298153,487.31398416886543,188.86807387862797,180.74802110817942,203.2335092348285,225.7005277044855,248.098944591029,270.2203166226913,292.3588390501319,314.0448548812665,335.72295514511876,356.72559366754615,377.2796833773087,397.6358839050132,417.05936675461743,435.1662269129288,452.80870712401054,470.73614775725594,487.47757255936676,502.8509234828496,516.3509234828496,531.1477572559367,542.6292875989446,557.2915567282322,564.8891820580475,577.4168865435356,585.8153034300792,595.3575197889182
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9998365536162512,0.9807261971940612,0.8820639845209501,0.7745759247905171,0.6886124575781762,0.6200735066407231,0.564360016167117,0.5179642618325939,0.47891112254384305,0.4456445510168943,0.4175634785414396,0.39213077923613576,0.3710969600962362,0.35245860803427603,0.335846166505263,0.32151632577008493,0.3090462724860868,0.29787066821608815,0.2873202217986484,0.27776105534543455,0.2705114021626637,0.2645849591479028,0.2569062311623482,0.2517860151043137,0.24727143935651638,0.24333533590457365,0.23874338011311738,0.23518461061123178
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9998715778413403,0.9801134428845237,0.8828700344450838,0.774621156822097,0.6886616135396116,0.6202220923436587,0.5641979903237812,0.5178328315384203,0.4786497494440861,0.4456333225550428,0.41677303307242475,0.39234679730104444,0.3714385719285964,0.35249373038149173,0.3363944424544241,0.32194062361585557,0.30890953072648464,0.29732735988882447,0.2874330645532626,0.2784512526632871,0.2705486436875382,0.26362859470954153,0.2575896964121435,0.2525698482248471,0.24668284563958084,0.24268813933757025,0.2389455054737705,0.23455302971697592
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9999533010332147,0.9812611280294996,0.883117749589265,0.7745363510958974,0.688759946519205,0.6200988698914301,0.5644470684602169,0.5179086485668689,0.4790602978552436,0.44573065469315065,0.417159681901984,0.3924207910540485,0.37175085826385484,0.35278199787905284,0.3360078017642626,0.32132259431962695,0.308950000873398,0.2975274270830705,0.28709247180341796,0.2783409703115205,0.2703969831320389,0.26312853179139156,0.25796100928581844,0.25286956438856895,0.24685729173451443,0.24205265762960834,0.23851157271096768,0.23524717357570382
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9997548304243769,0.980327868852459,0.8825884256440623,0.774564617607988,0.6886750209289195,0.6201640992075551,0.5641709950611115,0.5178909559412029,0.4786130504591294,0.44569882989357323,0.41727942622112824,0.39268798105387803,0.3712137907392444,0.35231701891728584,0.33616852775797895,0.3215465260733873,0.3088259260121528,0.29755662604657945,0.2870715027700831,0.27829206505719517,0.27057623661397245,0.26338911199249443,0.2568173237950495,0.25174300957676715,0.24691530376957674,0.24327118593556935,0.23879979027383666,0.23533325202080121
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9997431556826806,0.9798025003648392,0.8826585931375002,0.77454765745316,0.688759946519205,0.6202220923436587,0.5641979903237812,0.5178934833851454,0.4789435440558557,0.44600416080021854,0.41700395312831556,0.392699606264247,0.37078577093880916,0.35270109479589734,0.3355562512055298,0.3217210194906185,0.30901567500356714,0.2970418971269902,0.2881284142619764,0.27842787427192106,0.2705486436875382,0.2633466263986877,0.2579139881639547,0.2521581477354003,0.24685384633278282,0.24268480933051284,0.2383878047520313,0.23576563846898965
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9999883252583036,0.9808324738757321,0.8828768722687393,0.774564617607988,0.6887778282598819,0.6202148426085026,0.5644170473946505,0.5179035934076124,0.4787987619451538,0.4459629260748791,0.41743864493719934,0.3928987948684722,0.37144247226957233,0.352747990612888,0.33564221779422465,0.32146665374176037,0.3082768798150106,0.29748572421738995,0.2871212121212121,0.2788229111928534,0.27122629453560293,0.2630665648643021,0.2576797651452423,0.252080878719927,0.24661749190103693,0.24301158495673103,0.23893743540786205,0.23508145443912293
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9997314809409842,0.9797536581569116,0.88308785508165,0.7745702711579869,0.6887018372737479,0.6202619689167627,0.5644170473946505,0.5178505201928519,0.478839810666053,0.4456108673287283,0.41685325288521213,0.3926472982373052,0.3712839244416921,0.3524574374099095,0.33628997246174275,0.3212953543574093,0.3082732976992796,0.2973623522225118,0.28700007572561365,0.278498752109342,0.27103025721312857,0.2637806236080178,0.256998312025787,0.2519073459524386,0.24653269833894761,0.2424486121804611,0.23829787234042554,0.2352377870091639
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9997314809409842,0.9797044200776408,0.8823725647184414,0.7746324656554302,0.6886348003270562,0.6202220923436587,0.5642309880422588,0.5178909559412029,0.4789694844262702,0.4458299023644277,0.4172876304023845,0.392442559234345,0.3717495559813775,0.35231701891728584,0.33524035773292604,0.32108731565920934,0.309181333745109,0.2972290921516619,0.2877986602663195,0.27820816325460557,0.2708517844518008,0.2631187455989844,0.25730489369079285,0.25176749703440093,0.24697449264568982,0.2426271037246873,0.23912749560593086,0.23525551781929752
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9997431556826806,0.9786933891131975,0.8831751538705319,0.7745815785055802,0.6888180655714295,0.6203199803592618,0.5642849926353684,0.5177999843859786,0.4787231643005689,0.4455360329155908,0.41704000628782517,0.3926705445288102,0.3710372750507851,0.352551111937968,0.3357739063300912,0.32151729988486943,0.30788423877565824,0.2974431993362745,0.28792594019540546,0.278747475065865,0.27064662405827117,0.26398403956277955,0.25676139965448996,0.2514602561520325,0.246272380223019,0.24258716976301345,0.23939614060575434,0.23490036877498527
