Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
reviews_per_program,254.83908045977012,253.35249042145594,252.58620689655172,251.03831417624522,248.44827586206895,251.37164750957854,253.727969348659,237.9463601532567,188.01149425287358,130.360153256705,93.22605363984674,95.06513409961686,102.1264367816092,110.4904214559387,118.47126436781609,126.68199233716476,134.75095785440612,142.80842911877394,150.3065134099617,157.19540229885058,164.54022988505747
reviews_per_program,250.25670498084293,253.20689655172413,249.17624521072796,251.60153256704982,252.55938697318007,252.25670498084293,252.41379310344828,245.8544061302682,187.18773946360153,121.21455938697318,94.72413793103448,94.35249042145594,102.09578544061303,110.56704980842912,118.5632183908046,126.7624521072797,134.95785440613028,142.55172413793105,150.1992337164751,157.9463601532567,164.61302681992336
reviews_per_program,250.4214559386973,253.5287356321839,252.97701149425288,255.0344827586207,250.18773946360153,247.98850574712642,252.1992337164751,241.22988505747125,188.7969348659004,121.44444444444444,93.19157088122606,94.99233716475096,102.18773946360153,110.55555555555556,118.4904214559387,126.72030651340997,134.86206896551724,142.18007662835248,150.24904214559388,157.38697318007664,164.15325670498083
reviews_per_program,250.4904214559387,250.98467432950193,253.00766283524905,251.68582375478928,251.45977011494253,249.11494252873564,252.1264367816092,239.00766283524905,192.1417624521073,127.38314176245211,94.15325670498085,94.36015325670498,102.19540229885058,110.55938697318008,118.69731800766283,126.61302681992338,134.47892720306513,142.70114942528735,149.60536398467434,157.632183908046,164.8352490421456
reviews_per_program,252.03831417624522,250.06513409961687,249.72030651340995,252.07662835249042,254.06513409961687,251.04214559386972,250.6168582375479,241.1417624521073,191.2183908045977,119.79693486590038,96.34865900383141,95.09961685823755,103.37164750957854,110.5095785440613,118.83908045977012,126.86973180076629,134.9808429118774,142.42911877394636,150.0191570881226,157.5823754789272,164.18773946360153
reviews_per_program,250.09961685823754,251.7816091954023,253.29501915708812,252.26053639846742,249.51340996168582,249.68582375478928,253.33333333333334,240.24137931034483,190.6168582375479,124.54022988505747,97.11111111111111,94.89272030651341,102.15325670498085,110.45977011494253,118.83908045977012,126.93869731800767,134.78544061302682,142.18007662835248,149.84674329501917,157.77011494252875,164.10344827586206
reviews_per_program,250.1455938697318,253.11494252873564,252.08429118773947,253.31800766283524,250.53639846743295,252.50191570881225,252.09195402298852,241.5632183908046,186.0727969348659,126.36015325670498,94.03065134099617,95.66283524904215,102.13793103448276,110.42528735632185,118.65517241379311,126.98467432950191,134.72413793103448,142.90804597701148,149.95402298850576,157.51724137931035,164.83141762452107
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969226823951789,0.9769947256200202,0.9208898643256185,0.8422092501122587,0.7673012501021326,0.7046647667616619,0.6526133009202987,0.6062717770034843,0.5685414334553596,0.5346534653465347,0.5065911847957946,0.480749059837806,0.4580621572212066,0.4398773436951382
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.999775684163302,0.996025131427106,0.9766593727206418,0.9178635547576302,0.8420012575226803,0.7678162798300098,0.705114254624592,0.6515272336442117,0.6065653142248475,0.5686446576088601,0.5338029769344392,0.5061136547266362,0.47898452833074195,0.45764940821197214,0.436424440883439
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980132025892456,0.974812072254011,0.9176640734091362,0.8428122192273135,0.767430461953192,0.705087798289059,0.6512562814070352,0.6060566968748993,0.5680773881499396,0.5352321275989746,0.5043207557296978,0.4803067092651757,0.4573375517157459,0.43758295494236815
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969875656967055,0.9748163105053564,0.9163050526210783,0.8425497506850546,0.7673706139455088,0.705008441193022,0.6516401969623413,0.6077423110507422,0.5683522864747157,0.5343190218936593,0.5041719206932632,0.4790211572775937,0.45802866335185727,0.43758295494236815
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978846153846154,0.9753114128605095,0.9190846545019443,0.8414787530320725,0.7681301610661434,0.7052200998236199,0.6511885785570726,0.6072709646146389,0.5679915369502796,0.5334998864410629,0.5050798258345428,0.479363297790929,0.45585096060547253,0.437389442323806
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973082099596231,0.9784608481041059,0.919425608296769,0.8418594206153155,0.7682018979057592,0.704585504855461,0.6512562814070352,0.6076440535471771,0.5681804438531777,0.5338788033750959,0.5064000646743377,0.47920438607675636,0.4574711524416963,0.43861450844925776
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966025641025641,0.9781840614659862,0.9161554192229039,0.8424362199065757,0.7675150128681727,0.7045326734900461,0.6512337122262268,0.6065848934796643,0.5686618652787024,0.5353998689421351,0.5045509464357631,0.4812661664148334,0.4567595158232463,0.43679977685835153
