Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
reviews_per_program,259.7347480106101,259.3183023872679,240.53315649867375,90.16180371352785,39.19893899204244,43.83289124668435,52.59681697612732,61.355437665782496,70.10344827586206,78.87002652519894,87.57029177718833,96.29442970822281,104.87267904509284,113.52254641909815,121.88594164456234,130.07957559681697,138.3236074270557
reviews_per_program,260.82493368700267,256.9283819628647,237.6100795755968,95.09814323607426,36.92838196286472,43.83289124668435,52.59681697612732,61.36339522546419,70.10079575596816,78.84615384615384,87.54376657824933,96.22811671087533,104.81962864721486,113.45888594164457,121.78249336870026,130.13527851458886,138.24933687002653
reviews_per_program,259.2944297082228,259.3076923076923,235.23076923076923,94.87798408488064,39.9946949602122,44.39257294429708,52.59946949602122,61.36074270557029,70.11671087533156,78.82493368700266,87.58355437665783,96.21750663129974,104.83023872679045,113.36604774535809,121.60742705570291,130.19628647214853,138.3262599469496
pct_interview_given_signal,0.0,1.0,0.991981845688351,0.8716086737266767,0.6838880484114978,0.5474735249621785,0.4562783661119516,0.3911295551809104,0.34226055379028597,0.304390243902439,0.2741153659718856,0.24925619834710744,0.22877948873549267,0.21161942183553187,0.19701687534022863,0.18427323272438442,0.17360604781457462
pct_interview_given_signal,0.0,1.0,0.9897125567322239,0.8744326777609682,0.6827534039334342,0.5475340393343419,0.4562783661119516,0.3911295551809104,0.3422864492698797,0.3042674109694993,0.27423999030097296,0.24924933197432578,0.22875635223623997,0.21189695550351287,0.1968497084674963,0.18427698574338086,0.17348621390497374
pct_interview_given_signal,0.0,1.0,0.9900151285930409,0.8720121028744326,0.6829803328290469,0.5475340393343419,0.45630137677139543,0.3911464637731281,0.34231234866828086,0.3043492885734468,0.27404064572795833,0.24962754510842575,0.2286522958732405,0.21160952336404884,0.19686255738560954,0.18415321677894694,0.17357607381970955
pct_interview_given_signal,0.0,1.0,0.9940998487140696,0.8765506807866869,0.6833585476550681,0.5475340393343419,0.4562783661119516,0.39111264805048845,0.3422864492698797,0.3042776432606941,0.27406554794935484,0.24950363997352745,0.2291038918289317,0.211485870556062,0.19661871441609804,0.18450620934358367,0.17321387548816908
pct_interview_given_signal,0.0,1.0,0.9904689863842663,0.8730206757438225,0.6831316187594554,0.5475340393343419,0.4562783661119516,0.3911295551809104,0.3423641592250643,0.3044107257006359,0.27420674606782436,0.2494279807029635,0.22902850199969624,0.21200618585688177,0.1968839759770215,0.1843520782396088,0.17331341225146535
pct_interview_given_signal,0.0,1.0,0.9936459909228442,0.8784669692385275,0.6822995461422088,0.5475340393343419,0.45632438975186607,0.3912310286677909,0.34226055379028597,0.304431210255375,0.27409875795213573,0.2494142294015492,0.2289647493483817,0.21170359624698754,0.19697398497877436,0.184626685983635,0.17382283441876548
pct_interview_given_signal,0.0,1.0,0.9924357034795764,0.8707009581442259,0.6828290468986384,0.5475340393343419,0.4562783661119516,0.3911464637731281,0.3423512051155927,0.30430834426394915,0.27409045469691923,0.24947612220138965,0.22881420226083,0.21146115733383192,0.1968668407310705,0.18430326115739515,0.17373605483976268
pct_interview_given_signal,0.0,1.0,0.9925869894099849,0.8715078164397377,0.6824508320726173,0.5475340393343419,0.45630137677139543,0.3911633738273313,0.3423512051155927,0.3042981099078496,0.27406554794935484,0.2492356003636063,0.22884892632217924,0.2114117482125333,0.19690539922961414,0.18450244698205545,0.17350617473345095
pct_interview_given_signal,0.0,1.0,0.994553706505295,0.8732223903177004,0.683963691376702,0.5475340393343419,0.45630137677139543,0.39111264805048845,0.3423641592250643,0.304390243902439,0.27414858804993336,0.24940735431942224,0.2289647493483817,0.21153036891569646,0.1970726607422896,0.18442347281955118,0.17359938603223332
pct_interview_given_signal,0.0,1.0,0.992284417549168,0.8715078164397377,0.6832829046898639,0.5474130105900151,0.4562783661119516,0.3911295551809104,0.3422864492698797,0.30447218763670625,0.2740240467609558,0.2494348569223135,0.22894157536499582,0.21170359624698754,0.1973563669676744,0.18433705484475593,0.17350284760973364
pct_interview_given_nosignal,0.091834559756407,0.06105417588025174,0.02738295463289692,0.004683192414612483,8.315316813570597e-05,1.2285012285012285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09303664706124296,0.06143034400136916,0.027631375835226145,0.0043030337526324776,0.0002635393332454869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09284761416110826,0.061417861764359885,0.027600498219856044,0.004596176712704655,0.00022487336079155424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09309312399041084,0.06046281478985934,0.027206625367953957,0.004131944444444444,0.00016558053719057137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09270586788799065,0.06143428681457393,0.02768982086313412,0.0045133212057015225,0.00020149819836904988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09199422494255445,0.06078470803653645,0.02722342971305627,0.0038269494231270027,0.0003264278303041608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.0923925252731543,0.061184918444967665,0.027440167640895557,0.00476578738846335,0.0002506624650862995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09240196078431373,0.06079950877638739,0.027265850262572222,0.004680904898273701,0.0003072850186734742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
