Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
unmatched_applicants,120.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,96.0,94.0
unmatched_applicants,128.0,91.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,94.0,94.0
unmatched_applicants,116.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,92.0,93.0,92.0
unmatched_applicants,118.0,94.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0
unmatched_applicants,129.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,94.0
unmatched_applicants,127.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,94.0,98.0
unmatched_applicants,126.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,94.0,93.0
unmatched_applicants,123.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,91.0,91.0,93.0,95.0
unmatched_applicants,119.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,91.0,91.0,92.0,96.0
unmatched_applicants,126.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,91.0,95.0
unfilled_spots,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
unfilled_spots,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
unfilled_spots,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
unfilled_spots,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
unfilled_spots,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
unfilled_spots,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0
unfilled_spots,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0
unfilled_spots,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
reviews_per_program,106.24358974358974,109.98717948717949,109.8974358974359,103.65384615384616,108.1923076923077,99.14102564102564,92.87179487179488,75.71794871794872,70.16666666666667,60.80769230769231,53.37179487179487,45.80769230769231,44.87179487179487,47.6025641025641,51.0,54.48717948717949
reviews_per_program,109.2051282051282,108.32051282051282,107.12820512820512,111.0,108.8974358974359,101.3076923076923,96.74358974358974,81.43589743589743,64.42307692307692,62.205128205128204,52.82051282051282,48.61538461538461,48.19230769230769,47.56410256410256,50.94871794871795,54.51282051282051
reviews_per_program,109.28205128205128,108.8076923076923,103.96153846153847,105.52564102564102,104.83333333333333,104.7948717948718,90.5,77.3974358974359,74.75641025641026,59.8974358974359,55.85897435897436,47.82051282051282,46.53846153846154,48.37179487179487,51.06410256410256,54.46153846153846
reviews_per_program,104.53846153846153,106.26923076923077,111.15384615384616,108.67948717948718,103.94871794871794,101.41025641025641,94.46153846153847,83.0,69.43589743589743,53.91025641025641,47.34615384615385,46.05128205128205,45.833333333333336,48.41025641025641,50.8974358974359,54.65384615384615
reviews_per_program,108.52564102564102,112.47435897435898,105.98717948717949,106.94871794871794,107.64102564102564,103.96153846153847,89.73076923076923,80.47435897435898,69.2051282051282,61.51282051282051,53.46153846153846,45.205128205128204,45.217948717948715,47.47435897435897,50.57692307692308,54.44871794871795
reviews_per_program,110.64102564102564,105.24358974358974,109.08974358974359,108.1923076923077,108.6025641025641,107.97435897435898,95.06410256410257,77.88461538461539,66.83333333333333,60.93589743589744,50.46153846153846,48.6025641025641,47.41025641025641,47.15384615384615,51.05128205128205,54.41025641025641
