Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
unmatched_applicants,4761.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4653.0,4648.0,4657.0,4663.0,4672.0,4673.0,4670.0,4678.0,4694.0,4682.0,4692.0
unmatched_applicants,4754.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4652.0,4648.0,4656.0,4660.0,4673.0,4657.0,4672.0,4681.0,4692.0,4693.0,4696.0
unmatched_applicants,4752.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4650.0,4648.0,4655.0,4663.0,4674.0,4662.0,4676.0,4683.0,4690.0,4689.0,4696.0
unmatched_applicants,4752.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4654.0,4659.0,4664.0,4662.0,4662.0,4679.0,4694.0,4687.0,4697.0
unmatched_applicants,4757.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4649.0,4648.0,4653.0,4655.0,4661.0,4661.0,4678.0,4690.0,4690.0,4693.0,4698.0
unmatched_applicants,4753.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4650.0,4652.0,4661.0,4665.0,4671.0,4682.0,4676.0,4686.0,4690.0,4692.0
unmatched_applicants,4739.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4650.0,4648.0,4648.0,4655.0,4675.0,4670.0,4672.0,4680.0,4688.0,4686.0,4688.0
unmatched_applicants,4749.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4648.0,4652.0,4648.0,4653.0,4657.0,4671.0,4668.0,4673.0,4681.0,4686.0,4688.0,4695.0
unmatched_applicants,4758.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4650.0,4648.0,4649.0,4657.0,4662.0,4674.0,4666.0,4668.0,4685.0,4694.0,4691.0,4698.0
unmatched_applicants,4753.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4650.0,4658.0,4653.0,4666.0,4669.0,4673.0,4677.0,4679.0,4690.0,4694.0
unfilled_spots,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,15.0,24.0,25.0,22.0,30.0,46.0,34.0,44.0
unfilled_spots,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,12.0,25.0,9.0,24.0,33.0,44.0,45.0,48.0
unfilled_spots,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,15.0,26.0,14.0,28.0,35.0,42.0,41.0,48.0
unfilled_spots,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,16.0,14.0,14.0,31.0,46.0,39.0,49.0
unfilled_spots,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,7.0,13.0,13.0,30.0,42.0,42.0,45.0,50.0
unfilled_spots,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,13.0,17.0,23.0,34.0,28.0,38.0,42.0,44.0
unfilled_spots,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,27.0,22.0,24.0,32.0,40.0,38.0,40.0
unfilled_spots,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,9.0,23.0,20.0,25.0,33.0,38.0,40.0,47.0
unfilled_spots,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,14.0,26.0,18.0,20.0,37.0,46.0,43.0,50.0
unfilled_spots,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,18.0,21.0,25.0,29.0,31.0,42.0,46.0
reviews_per_program,528.7325227963526,535.3647416413373,538.1702127659574,329.83586626139817,86.68693009118542,90.63829787234043,108.76595744680851,126.88145896656535,144.98176291793314,163.03647416413375,181.0243161094225,199.01823708206686,216.7355623100304,234.49240121580547,251.61398176291794,269.43465045592706,285.7325227963526,302.67477203647417,318.6899696048632,334.3829787234043,349.18844984802433,364.1306990881459,377.4802431610942,389.5683890577508,403.8145896656535,415.3890577507599
