Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
unmatched_applicants,1673.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1336.0,1341.0,1363.0,1383.0,1399.0,1422.0
unmatched_applicants,1663.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1330.0,1354.0,1361.0,1390.0,1394.0,1423.0
unmatched_applicants,1669.0,1318.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1331.0,1359.0,1366.0,1385.0,1404.0,1428.0
unmatched_applicants,1687.0,1317.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1319.0,1332.0,1359.0,1354.0,1379.0,1413.0,1429.0
unmatched_applicants,1661.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1324.0,1337.0,1373.0,1358.0,1386.0,1411.0,1431.0
unmatched_applicants,1677.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1318.0,1316.0,1316.0,1329.0,1364.0,1358.0,1388.0,1408.0,1437.0
unmatched_applicants,1676.0,1317.0,1317.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1321.0,1333.0,1348.0,1363.0,1380.0,1405.0,1427.0
unmatched_applicants,1657.0,1322.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1317.0,1342.0,1360.0,1359.0,1381.0,1411.0,1439.0
unmatched_applicants,1688.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1325.0,1358.0,1350.0,1378.0,1405.0,1418.0
unmatched_applicants,1688.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1317.0,1333.0,1325.0,1366.0,1353.0,1386.0,1398.0,1435.0
unfilled_spots,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,47.0,67.0,83.0,106.0
unfilled_spots,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,45.0,74.0,78.0,107.0
unfilled_spots,353.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,50.0,69.0,88.0,112.0
unfilled_spots,371.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,43.0,38.0,63.0,97.0,113.0
unfilled_spots,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,57.0,42.0,70.0,95.0,115.0
unfilled_spots,361.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,48.0,42.0,72.0,92.0,121.0
unfilled_spots,360.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,32.0,47.0,64.0,89.0,111.0
unfilled_spots,341.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,44.0,43.0,65.0,95.0,123.0
unfilled_spots,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42.0,34.0,62.0,89.0,102.0
unfilled_spots,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,9.0,50.0,37.0,70.0,82.0,119.0
reviews_per_program,471.7936507936508,474.97354497354496,468.04761904761904,472.4867724867725,398.968253968254,140.74603174603175,95.77777777777777,111.72486772486772,127.68783068783068,143.52380952380952,159.47619047619048,175.32275132275132,190.88888888888889,206.48677248677248,221.64550264550263,236.75661375661375
