Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
reviews_per_program,865.3428571428572,140.9142857142857,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.57142857142858,253.0857142857143,284.42857142857144,316.4,347.42857142857144,378.45714285714286,409.65714285714284,441.0285714285714,470.6,499.6857142857143,529.5142857142857
reviews_per_program,871.3714285714286,108.14285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.54285714285714,253.11428571428573,284.7142857142857,316.0857142857143,347.7142857142857,378.74285714285713,409.8,439.9428571428571,470.8285714285714,500.74285714285713,528.3142857142857
pct_interview_given_signal,0.0,0.8014440433212996,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.1363020911689484,0.11682785299806576,0.1022457961855321,0.09088173337345772,0.08190200687036703,0.07453109575518263,0.06838251943542908,0.06319754464285714,0.058770108977685524,0.054955720004852604,0.05165925419089976,0.04903658800606192
pct_interview_given_signal,0.0,0.8095667870036101,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.13628158844765342,0.11684291978333763,0.10223425863236289,0.09094559325436659,0.08187980117487574,0.07447595561035758,0.06824344682133172,0.06329467654044992,0.05888852778680533,0.05492240543161979,0.05177142857142857,0.049004759844223277
pct_interview_given_signal,0.0,0.7924187725631769,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.13628158844765342,0.11682785299806576,0.1022688791059939,0.09089996990067221,0.08187240195192481,0.074518835334759,0.06840833585019632,0.06315789473684211,0.058873221131977384,0.05507263996109659,0.05173004453579993,0.048933297326492035
pct_interview_given_signal,0.0,0.8086642599277978,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.1363020911689484,0.11682785299806576,0.10225733634311512,0.09091821374811841,0.08184281842818428,0.07459860024701523,0.06834640917320459,0.06321518280770304,0.05872059109469181,0.055059252506836825,0.05183066361556064,0.04914298112388805
pct_interview_given_signal,0.0,0.8068592057761733,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.1363020911689484,0.11684291978333763,0.10222272368272593,0.0908908507223114,0.0818576075171666,0.07443924081833868,0.06841350147247602,0.06319313663946433,0.058732010890704005,0.05507598784194529,0.0518484605699897,0.04876473437752301
pct_interview_given_signal,0.0,0.7987364620938628,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.13628158844765342,0.11681279009798866,0.10223425863236289,0.09089996990067221,0.08190200687036703,0.07446983396350484,0.06843934129022511,0.06317110584297866,0.05883116883116883,0.05516989404457435,0.051922746289185626,0.048843603428756266
pct_interview_given_signal,0.0,0.8014440433212996,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.1363020911689484,0.11681279009798866,0.1022688791059939,0.09088173337345772,0.08182803468208093,0.07458631760928625,0.06842383505777509,0.06322400558269364,0.05888087346461299,0.05507263996109659,0.05189597892083858,0.04919635099913119
pct_interview_given_signal,0.0,0.8086642599277978,0.40884476534296027,0.27256317689530685,0.20442238267148014,0.1635379061371841,0.13628158844765342,0.11681279009798866,0.1022688791059939,0.09097298925594939,0.08181325627596171,0.07453109575518263,0.06835672249886826,0.06331236897274634,0.0588006230529595,0.05512625494371767,0.05167693360711841,0.04886467828056739
