Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,1082.0,738.0,726.0,726.0,726.0,729.0,740.0,758.0,756.0,778.0,793.0,807.0,816.0,841.0,842.0,844.0,891.0,884.0,884.0,896.0,943.0,924.0,932.0,929.0,960.0,984.0,972.0,990.0
unmatched_applicants,1052.0,735.0,730.0,726.0,727.0,730.0,739.0,761.0,755.0,769.0,793.0,799.0,811.0,834.0,835.0,843.0,876.0,889.0,879.0,889.0,921.0,925.0,930.0,925.0,982.0,965.0,985.0,972.0
unmatched_applicants,1060.0,738.0,730.0,728.0,726.0,732.0,735.0,761.0,762.0,769.0,790.0,795.0,815.0,829.0,834.0,845.0,875.0,872.0,883.0,884.0,941.0,935.0,938.0,941.0,972.0,962.0,975.0,983.0
unmatched_applicants,1071.0,738.0,727.0,728.0,726.0,731.0,743.0,750.0,760.0,769.0,792.0,797.0,820.0,819.0,833.0,847.0,894.0,884.0,888.0,890.0,939.0,926.0,951.0,938.0,970.0,971.0,974.0,980.0
unmatched_applicants,1081.0,736.0,731.0,729.0,727.0,729.0,739.0,758.0,759.0,777.0,792.0,800.0,828.0,817.0,831.0,835.0,872.0,873.0,873.0,880.0,937.0,934.0,928.0,930.0,981.0,975.0,973.0,982.0
unmatched_applicants,1068.0,734.0,730.0,729.0,726.0,733.0,743.0,752.0,757.0,782.0,792.0,802.0,828.0,832.0,834.0,838.0,873.0,876.0,888.0,883.0,935.0,946.0,938.0,945.0,968.0,962.0,965.0,974.0
unmatched_applicants,1064.0,736.0,726.0,726.0,726.0,728.0,738.0,761.0,764.0,769.0,791.0,791.0,815.0,825.0,830.0,840.0,883.0,885.0,881.0,881.0,934.0,928.0,931.0,944.0,966.0,958.0,968.0,982.0
unmatched_applicants,1073.0,734.0,726.0,728.0,726.0,730.0,740.0,748.0,754.0,769.0,789.0,801.0,821.0,834.0,839.0,843.0,882.0,881.0,876.0,877.0,927.0,923.0,929.0,934.0,975.0,973.0,973.0,982.0
unmatched_applicants,1067.0,734.0,728.0,726.0,726.0,729.0,741.0,758.0,762.0,777.0,795.0,799.0,822.0,833.0,829.0,840.0,884.0,879.0,885.0,885.0,922.0,935.0,929.0,943.0,960.0,972.0,979.0,978.0
unmatched_applicants,1074.0,736.0,729.0,728.0,726.0,727.0,743.0,758.0,758.0,774.0,791.0,802.0,819.0,825.0,838.0,843.0,876.0,874.0,883.0,888.0,943.0,934.0,935.0,943.0,974.0,969.0,988.0,971.0
unfilled_spots,356.0,12.0,0.0,0.0,0.0,3.0,14.0,32.0,30.0,52.0,67.0,81.0,90.0,115.0,116.0,118.0,165.0,158.0,158.0,170.0,217.0,198.0,206.0,203.0,234.0,258.0,246.0,264.0
unfilled_spots,326.0,9.0,4.0,0.0,1.0,4.0,13.0,35.0,29.0,43.0,67.0,73.0,85.0,108.0,109.0,117.0,150.0,163.0,153.0,163.0,195.0,199.0,204.0,199.0,256.0,239.0,259.0,246.0
unfilled_spots,334.0,12.0,4.0,2.0,0.0,6.0,9.0,35.0,36.0,43.0,64.0,69.0,89.0,103.0,108.0,119.0,149.0,146.0,157.0,158.0,215.0,209.0,212.0,215.0,246.0,236.0,249.0,257.0
unfilled_spots,345.0,12.0,1.0,2.0,0.0,5.0,17.0,24.0,34.0,43.0,66.0,71.0,94.0,93.0,107.0,121.0,168.0,158.0,162.0,164.0,213.0,200.0,225.0,212.0,244.0,245.0,248.0,254.0
unfilled_spots,355.0,10.0,5.0,3.0,1.0,3.0,13.0,32.0,33.0,51.0,66.0,74.0,102.0,91.0,105.0,109.0,146.0,147.0,147.0,154.0,211.0,208.0,202.0,204.0,255.0,249.0,247.0,256.0
unfilled_spots,342.0,8.0,4.0,3.0,0.0,7.0,17.0,26.0,31.0,56.0,66.0,76.0,102.0,106.0,108.0,112.0,147.0,150.0,162.0,157.0,209.0,220.0,212.0,219.0,242.0,236.0,239.0,248.0
unfilled_spots,338.0,10.0,0.0,0.0,0.0,2.0,12.0,35.0,38.0,43.0,65.0,65.0,89.0,99.0,104.0,114.0,157.0,159.0,155.0,155.0,208.0,202.0,205.0,218.0,240.0,232.0,242.0,256.0
unfilled_spots,347.0,8.0,0.0,2.0,0.0,4.0,14.0,22.0,28.0,43.0,63.0,75.0,95.0,108.0,113.0,117.0,156.0,155.0,150.0,151.0,201.0,197.0,203.0,208.0,249.0,247.0,247.0,256.0
unfilled_spots,341.0,8.0,2.0,0.0,0.0,3.0,15.0,32.0,36.0,51.0,69.0,73.0,96.0,107.0,103.0,114.0,158.0,153.0,159.0,159.0,196.0,209.0,203.0,217.0,234.0,246.0,253.0,252.0
unfilled_spots,348.0,10.0,3.0,2.0,0.0,1.0,17.0,32.0,32.0,48.0,65.0,76.0,93.0,99.0,112.0,117.0,150.0,148.0,157.0,162.0,217.0,208.0,209.0,217.0,248.0,243.0,262.0,245.0
reviews_per_program,214.30092592592592,214.87962962962962,191.43055555555554,74.37962962962963,31.14351851851852,36.80555555555556,44.157407407407405,51.52777777777778,58.879629629629626,66.19907407407408,73.51851851851852,80.81481481481481,88.02314814814815,95.14351851851852,102.27314814814815,109.26388888888889,116.51388888888889,122.99537037037037,129.39814814814815,135.6851851851852,141.30555555555554,148.3287037037037,153.4212962962963,158.27314814814815,163.2037037037037,168.76388888888889,173.08333333333334,177.13425925925927
reviews_per_program,215.44907407407408,216.08796296296296,198.21296296296296,70.62037037037037,34.64351851851852,36.80555555555556,44.166666666666664,51.523148148148145,58.861111111111114,66.20370370370371,73.5,80.83796296296296,87.99537037037037,95.14814814814815,102.42129629629629,108.98611111111111,116.05555555555556,122.30555555555556,129.3287037037037,135.55555555555554,141.91666666666666,148.42592592592592,153.25,159.48611111111111,164.8148148148148,168.5787037037037,174.40740740740742,175.95833333333334
reviews_per_program,217.8564814814815,216.31944444444446,193.61111111111111,77.25,32.98148148148148,36.80555555555556,44.16203703703704,51.52777777777778,58.879629629629626,66.22685185185185,73.53703703703704,80.88888888888889,88.01851851851852,95.32407407407408,102.10185185185185,109.43518518518519,115.85648148148148,122.50925925925925,129.7314814814815,135.16666666666666,142.02314814814815,147.88888888888889,153.58796296296296,158.96759259259258,163.3287037037037,168.88888888888889,171.46296296296296,177.61574074074073
reviews_per_program,217.15277777777777,217.14814814814815,195.35185185185185,81.07407407407408,34.583333333333336,36.80555555555556,44.166666666666664,51.523148148148145,58.888888888888886,66.19907407407408,73.54166666666667,80.75462962962963,87.85648148148148,95.10185185185185,102.02777777777777,109.31481481481481,116.14351851851852,123.03703703703704,129.65740740740742,135.6712962962963,141.9212962962963,148.29166666666666,153.7962962962963,158.3935185185185,163.25925925925927,167.22685185185185,172.9398148148148,176.53703703703704
