Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,1269.0,925.0,897.0,896.0,890.0,890.0,890.0,890.0,890.0,890.0,895.0,899.0,899.0,916.0,935.0,966.0,975.0
unmatched_applicants,1229.0,913.0,899.0,893.0,890.0,890.0,890.0,890.0,890.0,891.0,892.0,905.0,890.0,919.0,935.0,968.0,970.0
unmatched_applicants,1228.0,911.0,898.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,896.0,904.0,916.0,941.0,964.0,981.0
unmatched_applicants,1234.0,917.0,903.0,893.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,897.0,899.0,913.0,940.0,969.0,993.0
unmatched_applicants,1247.0,916.0,905.0,895.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,899.0,899.0,911.0,934.0,952.0,995.0
unmatched_applicants,1249.0,914.0,901.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,891.0,904.0,907.0,914.0,945.0,967.0,985.0
unmatched_applicants,1242.0,928.0,904.0,895.0,890.0,890.0,890.0,890.0,890.0,895.0,894.0,902.0,895.0,919.0,942.0,958.0,970.0
unmatched_applicants,1230.0,928.0,900.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,893.0,902.0,898.0,927.0,947.0,956.0,966.0
unmatched_applicants,1244.0,918.0,891.0,890.0,890.0,890.0,890.0,890.0,890.0,893.0,890.0,896.0,895.0,925.0,960.0,975.0,980.0
unmatched_applicants,1242.0,919.0,904.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,899.0,910.0,904.0,926.0,951.0,970.0,985.0
unfilled_spots,379.0,35.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,9.0,26.0,45.0,76.0,85.0
unfilled_spots,339.0,23.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,29.0,45.0,78.0,80.0
unfilled_spots,338.0,21.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,26.0,51.0,74.0,91.0
unfilled_spots,344.0,27.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,23.0,50.0,79.0,103.0
unfilled_spots,357.0,26.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,21.0,44.0,62.0,105.0
unfilled_spots,359.0,24.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,17.0,24.0,55.0,77.0,95.0
unfilled_spots,352.0,38.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,12.0,5.0,29.0,52.0,68.0,80.0
unfilled_spots,340.0,38.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,8.0,37.0,57.0,66.0,76.0
unfilled_spots,354.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,5.0,35.0,70.0,85.0,90.0
unfilled_spots,352.0,29.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,14.0,36.0,61.0,80.0,95.0
reviews_per_program,238.3960396039604,237.47277227722773,239.81930693069307,241.02227722772278,240.31683168316832,238.42079207920793,223.490099009901,173.240099009901,107.63366336633663,83.60148514851485,82.1509900990099,89.04950495049505,97.03465346534654,104.95544554455445,112.6559405940594,120.36386138613861,127.70049504950495
reviews_per_program,239.68564356435644,238.509900990099,238.5371287128713,239.28217821782178,237.69059405940595,236.18564356435644,225.75,164.07920792079207,102.85891089108911,77.7549504950495,81.43316831683168,89.12376237623762,97.12128712871286,104.98514851485149,112.66336633663366,120.3069306930693,128.0891089108911
reviews_per_program,238.0049504950495,240.03217821782178,239.81930693069307,238.66336633663366,235.05445544554456,236.1089108910891,223.490099009901,168.06435643564356,106.89356435643565,79.88366336633663,81.83415841584159,89.00742574257426,97.10396039603961,104.76237623762377,112.88861386138613,120.42079207920793,127.86633663366337
reviews_per_program,238.4257425742574,235.92079207920793,238.3960396039604,238.01237623762376,238.8589108910891,237.84653465346534,223.20544554455446,162.93316831683168,102.9950495049505,81.57673267326733,81.49009900990099,89.10396039603961,96.99752475247524,104.92574257425743,112.67326732673267,120.31188118811882,127.87623762376238
reviews_per_program,239.77970297029702,241.11138613861385,238.90841584158414,237.36881188118812,239.11881188118812,236.6138613861386,222.15841584158414,171.87871287128712,103.78217821782178,78.49752475247524,81.4480198019802,89.10891089108911,97.11386138613861,104.95544554455445,112.77970297029702,120.53960396039604,128.07178217821783
