Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unfilled_spots,38.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,6.0,12.0,10.0,12.0,11.0,12.0,11.0,16.0,14.0,20.0,16.0,17.0,22.0,18.0,23.0,25.0,26.0,29.0,29.0,26.0,30.0,32.0,33.0,32.0,30.0,32.0
reviews_per_program,66.63636363636364,64.84415584415585,54.701298701298704,36.688311688311686,27.896103896103895,19.376623376623378,22.207792207792206,16.961038961038962,18.7012987012987,20.09090909090909,22.324675324675326,24.532467532467532,26.61038961038961,28.83116883116883,31.025974025974026,33.37662337662338,35.064935064935064,37.41558441558441,39.05194805194805,41.324675324675326,42.72727272727273,44.63636363636363,46.63636363636363,48.84415584415584,49.45454545454545,51.42857142857143,52.142857142857146,53.97402597402598,54.76623376623377,55.79220779220779,56.83116883116883,57.79220779220779,57.81818181818182,60.1948051948052,60.077922077922075,63.57142857142857,60.74025974025974
reviews_per_program,61.701298701298704,63.753246753246756,53.54545454545455,35.20779220779221,26.233766233766232,22.766233766233768,19.7012987012987,18.285714285714285,17.87012987012987,20.103896103896105,22.324675324675326,24.571428571428573,26.662337662337663,28.857142857142858,30.92207792207792,33.298701298701296,35.38961038961039,37.58441558441559,38.883116883116884,40.857142857142854,42.96103896103896,44.896103896103895,46.1948051948052,47.064935064935064,49.97402597402598,51.896103896103895,54.20779220779221,54.18181818181818,56.64935064935065,55.45454545454545,57.753246753246756,58.532467532467535,60.48051948051948,57.54545454545455,58.311688311688314,61.36363636363637,62.33766233766234
reviews_per_program,63.90909090909091,62.87012987012987,52.25974025974026,38.935064935064936,29.4025974025974,20.649350649350648,16.194805194805195,16.246753246753247,18.441558441558442,20.103896103896105,22.337662337662337,24.571428571428573,26.766233766233768,28.935064935064936,30.935064935064936,33.42857142857143,35.16883116883117,37.41558441558441,39.298701298701296,41.42857142857143,43.02597402597402,44.54545454545455,47.01298701298701,48.324675324675326,49.857142857142854,51.324675324675326,50.44155844155844,54.37662337662338,55.8051948051948,56.16883116883117,57.02597402597402,57.532467532467535,57.97402597402598,59.57142857142857,61.44155844155844,61.1948051948052,59.493506493506494
reviews_per_program,63.896103896103895,63.83116883116883,57.36363636363637,39.12987012987013,28.623376623376622,23.90909090909091,17.675324675324674,17.4025974025974,17.87012987012987,20.675324675324674,22.337662337662337,24.545454545454547,26.792207792207794,28.961038961038962,31.155844155844157,33.01298701298701,35.01298701298701,37.16883116883117,39.20779220779221,41.0,42.94805194805195,45.03896103896104,46.896103896103895,48.48051948051948,50.688311688311686,50.41558441558441,51.63636363636363,53.506493506493506,55.61038961038961,55.688311688311686,57.36363636363637,56.55844155844156,60.66233766233766,59.064935064935064,61.94805194805195,62.4025974025974,62.55844155844156
reviews_per_program,65.54545454545455,64.96103896103897,53.57142857142857,40.18181818181818,28.61038961038961,19.16883116883117,16.31168831168831,16.376623376623378,19.155844155844157,20.883116883116884,22.31168831168831,24.558441558441558,26.7012987012987,28.844155844155843,31.09090909090909,33.22077922077922,35.37662337662338,37.285714285714285,39.16883116883117,41.298701298701296,43.285714285714285,44.675324675324674,46.98701298701299,47.753246753246756,50.55844155844156,51.74025974025974,52.62337662337662,53.22077922077922,55.4025974025974,57.76623376623377,56.896103896103895,58.532467532467535,61.0,59.35064935064935,57.64935064935065,59.18181818181818,59.05194805194805
reviews_per_program,66.7012987012987,63.116883116883116,52.298701298701296,35.94805194805195,30.324675324675326,21.25974025974026,16.48051948051948,17.818181818181817,17.857142857142858,20.09090909090909,22.285714285714285,24.467532467532468,26.584415584415584,28.792207792207794,31.025974025974026,33.18181818181818,35.15584415584416,37.33766233766234,39.20779220779221,41.61038961038961,42.79220779220779,44.33766233766234,46.79220779220779,47.57142857142857,49.1948051948052,51.22077922077922,52.142857142857146,55.324675324675326,54.285714285714285,55.79220779220779,58.142857142857146,58.506493506493506,57.857142857142854,57.324675324675326,59.51948051948052,60.97402597402598,61.01298701298701
reviews_per_program,66.18181818181819,67.50649350649351,52.1948051948052,35.03896103896104,25.636363636363637,23.350649350649352,15.64935064935065,17.974025974025974,18.324675324675326,20.07792207792208,22.31168831168831,24.558441558441558,26.714285714285715,28.714285714285715,30.961038961038962,33.23376623376623,34.97402597402598,37.324675324675326,39.493506493506494,41.077922077922075,42.27272727272727,44.51948051948052,46.506493506493506,48.324675324675326,50.36363636363637,51.64935064935065,52.62337662337662,52.18181818181818,54.311688311688314,56.064935064935064,58.81818181818182,55.35064935064935,60.48051948051948,60.64935064935065,61.493506493506494,60.285714285714285,60.79220779220779
reviews_per_program,64.83116883116882,65.28571428571429,56.285714285714285,38.84415584415584,29.83116883116883,22.87012987012987,23.948051948051948,16.92207792207792,17.857142857142858,20.09090909090909,22.2987012987013,24.532467532467532,26.766233766233768,28.961038961038962,31.01298701298701,33.285714285714285,35.298701298701296,37.532467532467535,39.16883116883117,41.5974025974026,42.81818181818182,45.23376623376623,46.36363636363637,48.246753246753244,49.63636363636363,50.935064935064936,53.01298701298701,54.42857142857143,56.15584415584416,56.35064935064935,57.03896103896104,58.246753246753244,59.506493506493506,59.922077922077925,58.79220779220779,61.4025974025974,61.467532467532465
reviews_per_program,64.53246753246754,64.58441558441558,53.15584415584416,39.05194805194805,31.350649350649352,25.623376623376622,17.272727272727273,18.98701298701299,18.454545454545453,20.103896103896105,23.025974025974026,24.545454545454547,26.636363636363637,28.844155844155843,31.01298701298701,33.077922077922075,35.36363636363637,37.25974025974026,39.18181818181818,41.09090909090909,43.142857142857146,45.20779220779221,46.97402597402598,48.18181818181818,49.883116883116884,51.12987012987013,51.38961038961039,55.12987012987013,52.753246753246756,55.311688311688314,56.96103896103896,56.5974025974026,58.324675324675326,59.66233766233766,59.142857142857146,60.467532467532465,59.79220779220779
