Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
reviews_per_program,68.23376623376623,64.07792207792208,66.37662337662337,62.142857142857146,51.64935064935065,41.20779220779221,31.818181818181817,33.02597402597402,30.87012987012987,27.155844155844157,24.324675324675326,25.92207792207792,27.90909090909091,28.857142857142858,31.051948051948052,33.16883116883117,35.36363636363637,37.506493506493506,39.311688311688314,41.285714285714285,42.45454545454545,45.09090909090909,46.688311688311686,48.38961038961039
reviews_per_program,68.50649350649351,64.76623376623377,63.74025974025974,60.97402597402598,52.896103896103895,40.064935064935064,36.116883116883116,31.467532467532468,27.558441558441558,26.16883116883117,25.558441558441558,26.31168831168831,27.0,28.935064935064936,31.103896103896105,33.37662337662338,35.298701298701296,37.0,39.45454545454545,40.58441558441559,43.701298701298704,44.54545454545455,46.0,47.61038961038961
reviews_per_program,63.103896103896105,67.98701298701299,68.0909090909091,63.27272727272727,50.5974025974026,43.311688311688314,35.324675324675326,32.42857142857143,29.649350649350648,29.675324675324674,24.675324675324674,26.818181818181817,26.805194805194805,29.285714285714285,31.194805194805195,32.84415584415584,35.03896103896104,37.38961038961039,39.41558441558441,41.44155844155844,43.57142857142857,44.27272727272727,46.33766233766234,49.25974025974026
reviews_per_program,65.32467532467533,65.01298701298701,66.64935064935065,64.76623376623377,46.064935064935064,44.76623376623377,35.142857142857146,30.935064935064936,29.038961038961038,28.246753246753247,24.2987012987013,27.376623376623378,27.844155844155843,29.0,31.064935064935064,33.1948051948052,35.18181818181818,37.142857142857146,39.12987012987013,40.97402597402598,43.1948051948052,44.506493506493506,46.36363636363637,47.55844155844156
reviews_per_program,66.51948051948052,66.66233766233766,65.11688311688312,61.97402597402598,53.09090909090909,39.74025974025974,36.55844155844156,32.15584415584416,31.09090909090909,26.883116883116884,25.025974025974026,25.883116883116884,27.12987012987013,28.935064935064936,31.194805194805195,33.27272727272727,34.753246753246756,37.61038961038961,39.1948051948052,41.23376623376623,43.09090909090909,44.96103896103896,47.05194805194805,48.72727272727273
pct_interview_given_signal,0.0,1.0,1.0,0.9806201550387597,0.9258720930232558,0.872093023255814,0.8323643410852714,0.7539484621778886,0.7088791848617176,0.6311369509043928,0.5776614310645725,0.54075652637187,0.49393498301795247,0.45739910313901344,0.427314620863008,0.3981264637002342,0.37624492807082255,0.3565186997553303,0.3410230692076229,0.32608695652173914,0.30806402899426155,0.29781021897810217,0.28539451594851706,0.2713487629688747
pct_interview_given_signal,0.0,1.0,1.0,0.9883720930232558,0.938953488372093,0.8790697674418605,0.8178294573643411,0.75,0.6969476744186046,0.6408268733850129,0.5846422338568935,0.5379310344827586,0.4956268221574344,0.4598012646793135,0.4280318925723878,0.39937353171495693,0.3747244673034533,0.3565186997553303,0.3378602186154356,0.3253588516746411,0.3124042879019908,0.2998236331569665,0.2823138665928591,0.2717825739408473
pct_interview_given_signal,0.0,1.0,1.0,0.9864341085271318,0.9534883720930233,0.8872093023255814,0.8313953488372093,0.7566445182724253,0.7018181818181818,0.6188630490956072,0.578824898196626,0.5330862890418211,0.4941747572815534,0.4582210242587601,0.4265263157894737,0.399529964747356,0.3744493392070485,0.35864978902953587,0.3386454183266932,0.32156368221941994,0.306674684305472,0.2905982905982906,0.28862478777589134,0.28083700440528636
pct_interview_given_signal,0.0,1.0,1.0,0.9844961240310077,0.9593023255813954,0.9023255813953488,0.814922480620155,0.7458471760797342,0.6896802325581395,0.6319534282018111,0.5861466821885913,0.5362242199894236,0.4890829694323144,0.45739910313901344,0.42588726513569936,0.403960396039604,0.37610619469026546,0.3555245730219589,0.33842070338420704,0.3217665615141956,0.3093721565059145,0.3002649396526347,0.2843601895734597,0.272654370489174
pct_interview_given_signal,0.0,1.0,1.0,0.9922480620155039,0.9302325581395349,0.8790697674418605,0.8071705426356589,0.7483388704318937,0.6918604651162791,0.6375404530744336,0.5854651162790697,0.5405835543766578,0.49488553336580615,0.4596665164488508,0.42642140468227424,0.39937353171495693,0.3756906077348066,0.3555245730219589,0.33641160949868076,0.3248407643312102,0.31097560975609756,0.2974628171478565,0.2917620137299771,0.2787646898059579
