Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
unmatched_applicants,6946.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6203.0,6261.0,6230.0,6297.0,6318.0,6401.0,6422.0,6489.0
unmatched_applicants,6979.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6198.0,6231.0,6248.0,6250.0,6347.0,6387.0,6390.0,6500.0
unmatched_applicants,6977.0,6190.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6211.0,6245.0,6223.0,6331.0,6362.0,6412.0,6447.0,6489.0
unmatched_applicants,6985.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6196.0,6193.0,6206.0,6214.0,6222.0,6309.0,6341.0,6403.0,6453.0,6462.0
unmatched_applicants,6944.0,6194.0,6193.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6201.0,6259.0,6231.0,6258.0,6330.0,6434.0,6422.0,6493.0
unmatched_applicants,6965.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6208.0,6237.0,6256.0,6312.0,6404.0,6432.0,6396.0,6504.0
unmatched_applicants,6976.0,6193.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6215.0,6225.0,6236.0,6285.0,6341.0,6455.0,6459.0,6492.0
unmatched_applicants,6978.0,6204.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6203.0,6243.0,6250.0,6300.0,6377.0,6418.0,6390.0,6506.0
unmatched_applicants,6968.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6242.0,6231.0,6300.0,6390.0,6442.0,6405.0,6483.0
unmatched_applicants,6940.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6211.0,6254.0,6235.0,6275.0,6372.0,6434.0,6408.0,6461.0
unfilled_spots,756.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,71.0,40.0,107.0,128.0,211.0,232.0,299.0
unfilled_spots,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,58.0,60.0,157.0,197.0,200.0,310.0
unfilled_spots,787.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,55.0,33.0,141.0,172.0,222.0,257.0,299.0
