Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,278.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,208.0,204.0,206.0,214.0,218.0,215.0,219.0,215.0,223.0,224.0,232.0,235.0,237.0,232.0,240.0,241.0,244.0,256.0,256.0
unmatched_applicants,271.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,209.0,213.0,211.0,218.0,222.0,223.0,225.0,227.0,225.0,233.0,234.0,238.0,233.0,243.0,242.0,261.0,251.0
unmatched_applicants,284.0,201.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,204.0,203.0,209.0,214.0,216.0,214.0,220.0,221.0,225.0,223.0,224.0,233.0,231.0,232.0,243.0,247.0,249.0,260.0,265.0
unmatched_applicants,289.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,207.0,201.0,210.0,215.0,219.0,215.0,217.0,226.0,226.0,227.0,232.0,223.0,232.0,235.0,236.0,244.0,254.0,256.0,263.0
unmatched_applicants,270.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,201.0,206.0,204.0,209.0,214.0,214.0,214.0,224.0,223.0,226.0,229.0,224.0,237.0,234.0,244.0,242.0,245.0,250.0,258.0
unmatched_applicants,276.0,201.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,201.0,205.0,211.0,210.0,216.0,215.0,221.0,220.0,225.0,226.0,229.0,233.0,229.0,235.0,248.0,237.0,246.0,252.0,262.0
unmatched_applicants,280.0,201.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,203.0,210.0,213.0,216.0,216.0,219.0,222.0,222.0,224.0,227.0,232.0,233.0,233.0,239.0,239.0,255.0,260.0,255.0
unmatched_applicants,272.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,206.0,204.0,206.0,213.0,217.0,221.0,220.0,221.0,225.0,227.0,229.0,234.0,233.0,232.0,251.0,247.0,250.0,250.0,268.0
unmatched_applicants,277.0,204.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,206.0,201.0,206.0,209.0,212.0,216.0,222.0,220.0,223.0,223.0,229.0,226.0,234.0,233.0,245.0,247.0,255.0,257.0,264.0
unmatched_applicants,270.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,204.0,205.0,206.0,212.0,220.0,221.0,218.0,222.0,228.0,224.0,229.0,234.0,239.0,240.0,243.0,250.0,248.0,257.0
unfilled_spots,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,13.0,17.0,14.0,18.0,14.0,22.0,23.0,31.0,34.0,36.0,31.0,39.0,40.0,43.0,55.0,55.0
unfilled_spots,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,10.0,17.0,21.0,22.0,24.0,26.0,24.0,32.0,33.0,37.0,32.0,42.0,41.0,60.0,50.0
unfilled_spots,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,13.0,15.0,13.0,19.0,20.0,24.0,22.0,23.0,32.0,30.0,31.0,42.0,46.0,48.0,59.0,64.0
unfilled_spots,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,14.0,18.0,14.0,16.0,25.0,25.0,26.0,31.0,22.0,31.0,34.0,35.0,43.0,53.0,55.0,62.0
unfilled_spots,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,8.0,13.0,13.0,13.0,23.0,22.0,25.0,28.0,23.0,36.0,33.0,43.0,41.0,44.0,49.0,57.0
