Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
pct_interview_given_nosignal,0.4796185489902767,0.4605115233277122,0.44260257698985656,0.42366805232447274,0.38887179289918067,0.37513254202740404,0.3477016729720171,0.3125226581124282,0.282591616987846,0.24910551296093464,0.21155596579618732,0.1705501265753872,0.1198886837836326,0.07774536902707573,0.03693495038588754
pct_interview_given_nosignal,0.479097330707057,0.46379478107032285,0.43658620130162795,0.41747855579251963,0.3996876667918635,0.37166228097015686,0.3401268543272003,0.3199392712550607,0.28217701831104547,0.2505077694848893,0.2112995073261245,0.1702913306725313,0.12436157509315608,0.07604259228579605,0.03443245756055335
pct_interview_given_nosignal,0.4783500610335006,0.4599540326683861,0.43704713005657775,0.42257619704246113,0.3942632061306866,0.36549648946840524,0.34162779187683623,0.3172426097525619,0.2858796160995055,0.25028437236267564,0.2107942192096176,0.17063708140484618,0.12525000724658686,0.0759233300828864,0.03350027288195448
pct_interview_given_nosignal,0.478597538738158,0.4620862269538548,0.43980132029384256,0.4217579893506962,0.3942247699266885,0.3724524213495779,0.345727165190703,0.3151492322350491,0.28412259503671344,0.25270575458775035,0.21128455992521353,0.16763647551399868,0.12247842693450275,0.07585789871504157,0.035858067250175214
pct_interview_given_nosignal,0.4761101220860086,0.4587868818032271,0.4374932254218304,0.42444503878042256,0.3987221329336712,0.37368609957442445,0.34716040400582043,0.31534147584953337,0.2826451247558622,0.25088192062714354,0.2087369420702754,0.16667332667332668,0.1250776319020177,0.07591054116123862,0.034558612554595594
pct_interview_given_nosignal,0.4782527628991796,0.4609811851591349,0.44465457883865045,0.41517719496585037,0.39673881050958537,0.3704419075115128,0.3426127362973915,0.3162897738643186,0.28458208225682563,0.24971951219512195,0.21035322311310534,0.16976920371222165,0.12225665226290652,0.07566486944932453,0.03418251134839992
pct_interview_given_nosignal,0.48426129342304,0.46291849131233226,0.43840799442417877,0.4191996377426841,0.39651706656991853,0.37318476947340395,0.34458440427384923,0.319459574802619,0.28168770733505344,0.2467020853662944,0.21040412286968058,0.17123774141557627,0.11944780414563957,0.07573392340219154,0.034541591552922996
pct_interview_given_nosignal,0.47297750360411706,0.4570273003033367,0.4417145462836297,0.41809918988342226,0.39800397629967915,0.3737972631967667,0.3493791662628286,0.31187782309345263,0.2826742801659866,0.2512421636343561,0.21037673327895595,0.17097832151654124,0.12500904394634407,0.07575826820833904,0.03414421821347391
pct_interview_given_nosignal,0.4771003660897723,0.45345810234633777,0.4393425373269716,0.4193737141131392,0.39500649585339886,0.36976529442206413,0.34762996614237346,0.31518186552033595,0.28256573244726957,0.24785652005425304,0.21469117800229143,0.16834187758177585,0.12252339510305241,0.07478599932981997,0.03689935064935065
pct_interview_given_application,0.4763070378310853,0.4758130475475771,0.47967154866842904,0.4786827952428617,0.4710311266183087,0.47961447257706724,0.4766973314072835,0.4757689194658033,0.47802183838914347,0.47933743894669784,0.48192462401680713,0.4804352268083367,0.47349342999546895,0.47768193476843895,0.4784027807214616
pct_interview_given_application,0.4796185489902767,0.4788127683404891,0.4805579684226662,0.4828111363986379,0.47032838806467747,0.48177650283021284,0.48109877743107066,0.4741658193918107,0.4760980713092486,0.4776900220941159,0.4785001399123216,0.48077496528162356,0.47273184217139985,0.48171481253841425,0.48132447393785344
pct_interview_given_application,0.479097330707057,0.4821099036292803,0.47446482923301997,0.47647192927646853,0.4816243620162846,0.47807448575011013,0.47272392185772205,0.48271614442990224,0.47562856637138307,0.47949628672909267,0.4779651541973353,0.48001837390904917,0.48103726056824286,0.47788420009654226,0.47830546114138955
pct_interview_given_application,0.4783500610335006,0.4782527628991796,0.47493203834468134,0.4816942526184603,0.47596956763778064,0.471467958893809,0.4743970206219368,0.4796063199585242,0.48018175939005087,0.4793333673105346,0.4776617176522372,0.48084870691491627,0.4830508474576271,0.4808405122830338,0.4787721441661576
pct_interview_given_application,0.478597538738158,0.4803943268690515,0.4777223741354351,0.48085690182611435,0.47592942446528574,0.47891842346471125,0.4789306174411203,0.47722544525819055,0.4780299372283921,0.482373657936128,0.47813929842399594,0.4755804643714972,0.4762105689547503,0.47906479217603914,0.4826542132813302
