Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unfilled_spots,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,4.0,8.0,4.0,9.0,9.0,8.0,10.0,13.0
reviews_per_program,64.51948051948052,66.6103896103896,64.76623376623377,64.67532467532467,61.922077922077925,52.36363636363637,39.74025974025974,29.4025974025974,23.83116883116883,20.857142857142858,22.844155844155843,24.558441558441558,26.753246753246753,28.90909090909091,31.103896103896105,33.22077922077922,35.20779220779221,37.55844155844156,39.311688311688314,41.467532467532465,43.51948051948052,45.064935064935064,45.922077922077925,48.15584415584416,49.81818181818182,50.44155844155844,51.97402597402598,53.675324675324674,55.246753246753244,56.64935064935065,57.03896103896104,58.79220779220779,58.58441558441559,59.285714285714285,59.285714285714285,61.27272727272727,59.532467532467535,59.688311688311686
reviews_per_program,65.98701298701299,63.883116883116884,68.02597402597402,66.35064935064935,62.142857142857146,54.324675324675326,43.753246753246756,32.41558441558441,22.415584415584416,23.01298701298701,22.324675324675326,24.571428571428573,26.584415584415584,28.92207792207792,31.09090909090909,33.1948051948052,35.4025974025974,37.38961038961039,39.41558441558441,41.09090909090909,42.83116883116883,44.675324675324674,45.90909090909091,48.51948051948052,48.81818181818182,50.66233766233766,51.311688311688314,53.83116883116883,53.48051948051948,55.753246753246756,57.324675324675326,57.298701298701296,61.05194805194805,58.87012987012987,58.97402597402598,57.84415584415584,63.103896103896105,62.76623376623377
reviews_per_program,66.03896103896103,67.07792207792208,65.97402597402598,67.35064935064935,61.87012987012987,53.22077922077922,41.506493506493506,29.545454545454547,24.454545454545453,22.350649350649352,22.974025974025974,25.4025974025974,26.623376623376622,28.818181818181817,31.0,33.116883116883116,35.116883116883116,37.311688311688314,39.20779220779221,41.0,42.84415584415584,45.20779220779221,46.1948051948052,47.77922077922078,49.77922077922078,51.57142857142857,51.83116883116883,53.74025974025974,54.54545454545455,55.8051948051948,57.12987012987013,56.701298701298704,59.97402597402598,60.5974025974026,58.62337662337662,62.42857142857143,59.45454545454545,62.84415584415584
reviews_per_program,66.23376623376623,63.84415584415584,64.02597402597402,64.71428571428571,64.97402597402598,56.02597402597402,40.1948051948052,30.7012987012987,22.584415584415584,21.025974025974026,23.584415584415584,24.558441558441558,26.792207792207794,28.7012987012987,31.051948051948052,33.25974025974026,35.41558441558441,37.41558441558441,39.38961038961039,41.09090909090909,43.03896103896104,45.116883116883116,47.298701298701296,48.103896103896105,49.87012987012987,52.532467532467535,52.20779220779221,52.94805194805195,54.532467532467535,56.688311688311686,58.15584415584416,57.12987012987013,58.675324675324674,58.76623376623377,62.311688311688314,60.142857142857146,62.675324675324674,63.896103896103895
reviews_per_program,62.311688311688314,65.8051948051948,69.72727272727273,64.42857142857143,61.61038961038961,57.506493506493506,41.84415584415584,31.233766233766232,24.753246753246753,21.805194805194805,22.31168831168831,24.571428571428573,26.727272727272727,28.935064935064936,31.12987012987013,33.1948051948052,35.41558441558441,37.142857142857146,39.48051948051948,41.064935064935064,43.18181818181818,44.701298701298704,45.79220779220779,48.714285714285715,49.79220779220779,50.03896103896104,52.83116883116883,54.20779220779221,55.37662337662338,55.42857142857143,58.58441558441559,58.493506493506494,59.12987012987013,58.97402597402598,58.48051948051948,58.62337662337662,58.02597402597402,62.311688311688314
reviews_per_program,65.85714285714286,66.6103896103896,70.57142857142857,64.50649350649351,61.90909090909091,56.79220779220779,41.94805194805195,30.675324675324674,21.376623376623378,22.7012987012987,22.285714285714285,25.103896103896105,26.74025974025974,28.805194805194805,31.12987012987013,33.103896103896105,35.41558441558441,37.20779220779221,39.12987012987013,41.41558441558441,42.42857142857143,43.8051948051948,46.8051948051948,47.83116883116883,49.18181818181818,51.54545454545455,53.103896103896105,53.33766233766234,53.84415584415584,54.87012987012987,57.62337662337662,58.311688311688314,58.42857142857143,59.48051948051948,60.701298701298704,63.25974025974026,59.935064935064936,63.246753246753244
reviews_per_program,67.32467532467533,66.46753246753246,66.15584415584415,66.85714285714286,65.66233766233766,50.54545454545455,44.83116883116883,31.766233766233768,24.415584415584416,23.428571428571427,22.337662337662337,24.532467532467532,26.74025974025974,28.92207792207792,31.051948051948052,33.15584415584416,34.87012987012987,37.27272727272727,39.63636363636363,40.87012987012987,43.61038961038961,44.324675324675326,46.077922077922075,48.15584415584416,50.63636363636363,51.45454545454545,52.45454545454545,53.90909090909091,55.142857142857146,56.12987012987013,56.883116883116884,59.935064935064936,58.97402597402598,60.467532467532465,60.84415584415584,62.63636363636363,61.4025974025974,61.688311688311686
reviews_per_program,64.24675324675324,65.42857142857143,66.1038961038961,67.14285714285714,60.714285714285715,56.0,41.922077922077925,30.649350649350648,23.51948051948052,23.025974025974026,23.441558441558442,25.363636363636363,27.571428571428573,29.0,30.87012987012987,33.324675324675326,35.36363636363637,37.493506493506494,39.42857142857143,41.064935064935064,42.77922077922078,44.45454545454545,45.72727272727273,48.116883116883116,50.4025974025974,50.02597402597402,52.116883116883116,54.1948051948052,55.311688311688314,57.09090909090909,57.97402597402598,56.02597402597402,59.532467532467535,58.79220779220779,58.72727272727273,60.701298701298704,62.8051948051948,62.63636363636363
reviews_per_program,68.49350649350649,65.54545454545455,66.6103896103896,69.75324675324676,59.35064935064935,53.688311688311686,40.41558441558441,28.714285714285715,25.12987012987013,21.31168831168831,22.324675324675326,24.51948051948052,26.753246753246753,28.896103896103895,31.194805194805195,32.94805194805195,35.36363636363637,37.4025974025974,39.63636363636363,41.37662337662338,43.55844155844156,44.33766233766234,46.87012987012987,47.83116883116883,50.58441558441559,51.20779220779221,51.98701298701299,53.81818181818182,54.18181818181818,57.01298701298701,56.532467532467535,58.467532467532465,59.51948051948052,60.701298701298704,60.72727272727273,59.09090909090909,61.81818181818182,62.81818181818182
