Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,262.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,239.0,237.0,240.0,238.0,244.0,242.0,244.0,246.0,248.0,245.0,248.0,251.0,253.0
unmatched_applicants,260.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,238.0,236.0,234.0,239.0,238.0,244.0,247.0,246.0,245.0,248.0,247.0,250.0,249.0,252.0
unmatched_applicants,268.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,234.0,236.0,237.0,237.0,239.0,243.0,242.0,241.0,245.0,245.0,246.0,249.0,251.0,255.0,253.0
unmatched_applicants,265.0,234.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,236.0,243.0,240.0,242.0,245.0,246.0,244.0,249.0,246.0,249.0,250.0,249.0
unmatched_applicants,269.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,234.0,237.0,236.0,237.0,236.0,242.0,241.0,239.0,244.0,247.0,248.0,250.0,246.0,250.0,255.0
unmatched_applicants,266.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,238.0,238.0,242.0,243.0,242.0,246.0,244.0,249.0,250.0,253.0,249.0
unmatched_applicants,264.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,238.0,238.0,238.0,236.0,237.0,244.0,244.0,243.0,247.0,248.0,246.0,250.0,249.0,249.0
unmatched_applicants,263.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,236.0,240.0,236.0,238.0,236.0,240.0,241.0,244.0,244.0,245.0,247.0,250.0,249.0,249.0,248.0
unmatched_applicants,264.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,235.0,236.0,238.0,237.0,239.0,242.0,246.0,244.0,247.0,244.0,248.0,252.0,251.0,250.0
unmatched_applicants,267.0,234.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,237.0,234.0,238.0,242.0,242.0,246.0,247.0,246.0,246.0,245.0,249.0,250.0,250.0
unfilled_spots,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,4.0,10.0,8.0,10.0,12.0,14.0,11.0,14.0,17.0,19.0
unfilled_spots,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,4.0,10.0,13.0,12.0,11.0,14.0,13.0,16.0,15.0,18.0
unfilled_spots,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,5.0,9.0,8.0,7.0,11.0,11.0,12.0,15.0,17.0,21.0,19.0
unfilled_spots,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,6.0,8.0,11.0,12.0,10.0,15.0,12.0,15.0,16.0,15.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,8.0,7.0,5.0,10.0,13.0,14.0,16.0,12.0,16.0,21.0
unfilled_spots,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,8.0,9.0,8.0,12.0,10.0,15.0,16.0,19.0,15.0
