Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
reviews_per_program,64.7012987012987,64.46753246753246,63.97402597402598,67.76623376623377,66.84415584415585,64.05194805194805,60.493506493506494,57.41558441558441,46.05194805194805,40.27272727272727,40.311688311688314,40.324675324675326,40.02597402597402,39.0,39.246753246753244,37.63636363636363,39.15584415584416,37.8051948051948,39.33766233766234,41.87012987012987,42.922077922077925,44.09090909090909,46.701298701298704,47.94805194805195,49.4025974025974,50.87012987012987,53.38961038961039,52.96103896103896,54.103896103896105,57.74025974025974,58.922077922077925,58.36363636363637,57.51948051948052,60.55844155844156,60.116883116883116,58.81818181818182
reviews_per_program,64.58441558441558,69.25974025974025,64.1038961038961,67.48051948051948,65.03896103896103,63.467532467532465,59.57142857142857,57.45454545454545,44.688311688311686,38.675324675324674,40.74025974025974,40.18181818181818,37.98701298701299,40.103896103896105,39.142857142857146,39.36363636363637,38.90909090909091,38.675324675324674,41.246753246753244,41.506493506493506,43.103896103896105,44.76623376623377,46.1948051948052,48.4025974025974,49.753246753246756,50.688311688311686,53.467532467532465,54.03896103896104,55.61038961038961,56.01298701298701,56.87012987012987,59.506493506493506,56.935064935064936,59.03896103896104,60.61038961038961,60.35064935064935
reviews_per_program,67.68831168831169,67.40259740259741,63.61038961038961,67.24675324675324,65.98701298701299,66.8961038961039,58.64935064935065,53.79220779220779,47.02597402597402,41.0,38.532467532467535,39.311688311688314,39.116883116883116,39.103896103896105,39.03896103896104,41.142857142857146,38.83116883116883,39.532467532467535,39.54545454545455,41.077922077922075,43.37662337662338,44.98701298701299,46.63636363636363,47.38961038961039,49.688311688311686,51.285714285714285,53.714285714285715,54.62337662337662,55.298701298701296,56.753246753246756,57.1948051948052,58.22077922077922,59.90909090909091,60.077922077922075,59.857142857142854,62.76623376623377
reviews_per_program,64.75324675324676,64.06493506493507,65.16883116883118,65.98701298701299,64.6103896103896,65.27272727272727,60.22077922077922,51.72727272727273,46.688311688311686,40.62337662337662,39.42857142857143,37.38961038961039,37.48051948051948,38.81818181818182,41.324675324675326,37.896103896103895,39.077922077922075,39.66233766233766,39.74025974025974,41.87012987012987,43.16883116883117,44.62337662337662,46.02597402597402,48.1948051948052,49.66233766233766,51.57142857142857,52.51948051948052,53.03896103896104,55.883116883116884,54.87012987012987,57.42857142857143,56.675324675324674,61.064935064935064,60.103896103896105,60.1948051948052,58.8051948051948
reviews_per_program,67.01298701298701,69.96103896103897,67.3896103896104,65.83116883116882,64.23376623376623,67.44155844155844,57.311688311688314,51.701298701298704,46.33766233766234,36.246753246753244,38.84415584415584,38.20779220779221,38.36363636363637,39.324675324675326,40.77922077922078,39.675324675324674,38.311688311688314,39.103896103896105,41.12987012987013,41.03896103896104,43.03896103896104,44.45454545454545,46.532467532467535,47.922077922077925,48.87012987012987,51.37662337662338,53.35064935064935,54.311688311688314,54.57142857142857,56.25974025974026,55.493506493506494,57.701298701298704,57.506493506493506,59.54545454545455,61.16883116883117,62.506493506493506
reviews_per_program,66.0,67.9090909090909,64.3896103896104,62.857142857142854,65.94805194805195,63.97402597402598,57.4025974025974,49.79220779220779,44.81818181818182,43.09090909090909,36.83116883116883,37.532467532467535,40.72727272727273,39.81818181818182,37.61038961038961,38.18181818181818,39.55844155844156,39.98701298701299,41.4025974025974,40.96103896103896,43.298701298701296,45.44155844155844,47.311688311688314,48.298701298701296,49.493506493506494,50.54545454545455,52.81818181818182,52.1948051948052,54.077922077922075,54.35064935064935,56.66233766233766,57.79220779220779,59.714285714285715,57.83116883116883,57.64935064935065,59.77922077922078
reviews_per_program,66.05194805194805,67.66233766233766,65.12987012987013,67.24675324675324,64.63636363636364,66.85714285714286,61.37662337662338,52.506493506493506,46.25974025974026,41.57142857142857,40.33766233766234,37.05194805194805,39.16883116883117,38.15584415584416,40.883116883116884,38.714285714285715,38.77922077922078,39.285714285714285,38.96103896103896,41.66233766233766,42.27272727272727,44.857142857142854,46.44155844155844,47.98701298701299,49.87012987012987,51.33766233766234,52.05194805194805,54.96103896103896,56.58441558441559,56.714285714285715,55.77922077922078,56.857142857142854,58.61038961038961,61.064935064935064,60.02597402597402,60.246753246753244
reviews_per_program,63.103896103896105,65.07792207792208,69.16883116883118,67.37662337662337,64.53246753246754,64.96103896103897,57.714285714285715,48.72727272727273,43.506493506493506,41.311688311688314,39.64935064935065,38.23376623376623,39.74025974025974,39.4025974025974,38.97402597402598,37.41558441558441,37.72727272727273,38.532467532467535,39.467532467532465,41.64935064935065,43.15584415584416,45.54545454545455,46.84415584415584,48.33766233766234,49.4025974025974,51.62337662337662,52.84415584415584,53.98701298701299,55.45454545454545,56.5974025974026,57.72727272727273,58.116883116883116,60.76623376623377,60.20779220779221,62.103896103896105,60.66233766233766
reviews_per_program,65.77922077922078,66.03896103896103,67.72727272727273,65.3896103896104,66.02597402597402,66.25974025974025,64.71428571428571,53.96103896103896,41.96103896103896,39.506493506493506,38.48051948051948,37.883116883116884,36.87012987012987,37.23376623376623,39.675324675324674,38.55844155844156,40.883116883116884,39.57142857142857,39.064935064935064,42.688311688311686,43.37662337662338,44.1948051948052,46.324675324675326,47.90909090909091,51.0,51.37662337662338,52.55844155844156,54.09090909090909,55.15584415584416,56.35064935064935,56.66233766233766,57.493506493506494,59.94805194805195,60.16883116883117,59.064935064935064,58.506493506493506
reviews_per_program,64.83116883116882,65.1038961038961,66.28571428571429,65.54545454545455,67.40259740259741,64.03896103896103,60.298701298701296,52.54545454545455,45.58441558441559,42.38961038961039,39.896103896103895,39.09090909090909,38.77922077922078,40.33766233766234,39.37662337662338,39.532467532467535,39.27272727272727,39.688311688311686,39.74025974025974,41.83116883116883,43.103896103896105,45.12987012987013,46.37662337662338,48.23376623376623,50.25974025974026,50.15584415584416,51.857142857142854,53.8051948051948,54.324675324675326,54.97402597402598,56.84415584415584,56.922077922077925,60.02597402597402,60.64935064935065,60.688311688311686,61.03896103896104
