Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
reviews_per_program,267.8888888888889,112.5925925925926,22.14814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.48148148148148,99.55555555555556,110.74074074074075,121.70370370370371,132.44444444444446,143.03703703703704,154.33333333333334,165.14814814814815,174.1851851851852,185.62962962962962,195.85185185185185
pct_interview_given_signal,0.0,0.822742474916388,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14500836586726157,0.12422360248447205,0.10869565217391304,0.0966183574879227,0.08701472556894244,0.07912355447352404,0.07276798208788134,0.06716610694910875,0.06277160791887977,0.05847953216374269,0.054863895336568894,0.052062474969963954,0.04918653045781309
pct_interview_given_signal,0.0,0.8260869565217391,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10869565217391304,0.09672619047619048,0.08698561391769823,0.07917174177831912,0.07280873704844582,0.06707946336429309,0.0625,0.058664259927797835,0.05526036131774708,0.05229283990345937,0.04926108374384237
pct_interview_given_signal,0.0,0.822742474916388,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10874111250522794,0.09676218831410495,0.087073007367716,0.07912355447352404,0.07278835386338185,0.0670621614650503,0.06256015399422522,0.05867749943579328,0.055307381408211016,0.05205205205205205,0.04950495049504951
pct_interview_given_signal,0.0,0.8160535117056856,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10869565217391304,0.09672619047619048,0.08695652173913043,0.07909948281107393,0.07258514796203239,0.06728778467908902,0.06260534553334939,0.05851901868107135,0.0551314673452078,0.05176189528170416,0.04930779442442632
pct_interview_given_signal,0.0,0.802675585284281,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10874111250522794,0.09665427509293681,0.08704385671242049,0.0791958574474566,0.072992700729927,0.0670621614650503,0.0626204238921002,0.058387603862564565,0.05477143459026754,0.052377115229653506,0.0499136110577846
pct_interview_given_signal,0.0,0.8193979933110368,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10869565217391304,0.0966183574879227,0.08695652173913043,0.07931665649786455,0.07270693512304251,0.06728778467908902,0.0626204238921002,0.058850158442734266,0.054875474883917266,0.05205205205205205,0.049665711556829036
pct_interview_given_signal,0.0,0.7993311036789298,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10869565217391304,0.09690644800596347,0.0871313672922252,0.07929246721561452,0.07266629401900503,0.06707946336429309,0.062424969987995196,0.05851901868107135,0.055049756510692355,0.05201040208041608,0.05018336228527311
pct_interview_given_signal,0.0,0.8060200668896321,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10869565217391304,0.0966183574879227,0.08698561391769823,0.07929246721561452,0.07262569832402235,0.06732263076126359,0.062320230105465,0.05865102639296188,0.05497991118629732,0.05203121873123874,0.04965622612681436
pct_interview_given_signal,0.0,0.7926421404682275,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.10869565217391304,0.0966183574879227,0.087073007367716,0.0791958574474566,0.07270693512304251,0.06725297465080186,0.06251502765087762,0.0584400988986289,0.054956668780384695,0.05218787635487756,0.04965622612681436
pct_interview_given_signal,0.0,0.8060200668896321,0.43478260869565216,0.2898550724637681,0.21739130434782608,0.17391304347826086,0.14492753623188406,0.12422360248447205,0.1088321473419841,0.09672619047619048,0.08695652173913043,0.07912355447352404,0.07270693512304251,0.06732263076126359,0.06239500839932805,0.05830903790087463,0.05528386136508612,0.05187549880287311,0.049167927382753406
pct_interview_given_nosignal,0.0356359649122807,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03576341127922971,0.0019174041297935103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.036394176931690926,0.002025462962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.03635855125157321,0.0022853878017426083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
