Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,256.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,234.0,234.0,235.0,238.0,240.0,239.0,241.0,241.0,244.0,247.0,244.0,244.0,249.0,250.0,248.0,252.0,253.0,251.0,255.0,255.0,254.0,255.0,255.0,253.0,259.0
unmatched_applicants,258.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,237.0,234.0,235.0,240.0,239.0,239.0,242.0,245.0,243.0,242.0,246.0,248.0,248.0,251.0,248.0,249.0,254.0,249.0,251.0,258.0,258.0,254.0,253.0,253.0,253.0
unmatched_applicants,259.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,237.0,234.0,241.0,240.0,241.0,239.0,243.0,244.0,243.0,245.0,249.0,247.0,251.0,253.0,251.0,251.0,252.0,253.0,256.0,252.0,252.0,255.0,254.0,258.0
unmatched_applicants,258.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,236.0,234.0,238.0,239.0,237.0,240.0,244.0,242.0,244.0,248.0,246.0,246.0,247.0,245.0,246.0,250.0,249.0,255.0,255.0,252.0,252.0,252.0,250.0,258.0,256.0
unmatched_applicants,257.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,238.0,237.0,239.0,239.0,240.0,243.0,242.0,243.0,245.0,246.0,246.0,248.0,249.0,249.0,247.0,251.0,253.0,253.0,253.0,251.0,256.0,253.0,253.0,257.0,257.0
unmatched_applicants,257.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,234.0,235.0,235.0,237.0,237.0,240.0,238.0,239.0,238.0,244.0,244.0,244.0,245.0,248.0,251.0,248.0,250.0,247.0,253.0,250.0,254.0,256.0,254.0,253.0,257.0,251.0,258.0
unmatched_applicants,253.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,239.0,240.0,238.0,240.0,242.0,245.0,246.0,245.0,246.0,248.0,248.0,249.0,252.0,250.0,252.0,252.0,252.0,257.0,253.0,256.0,251.0,254.0
unmatched_applicants,262.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,234.0,234.0,236.0,236.0,235.0,236.0,236.0,239.0,238.0,237.0,242.0,242.0,245.0,247.0,246.0,250.0,246.0,252.0,248.0,251.0,251.0,251.0,251.0,251.0,255.0,255.0,254.0,255.0
unmatched_applicants,258.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,238.0,234.0,235.0,238.0,240.0,238.0,242.0,240.0,244.0,245.0,245.0,244.0,249.0,253.0,256.0,254.0,249.0,254.0,253.0,251.0,253.0,257.0,254.0,261.0,254.0
unmatched_applicants,262.0,238.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,235.0,236.0,239.0,238.0,239.0,240.0,239.0,245.0,247.0,248.0,246.0,250.0,248.0,248.0,250.0,248.0,249.0,255.0,256.0,253.0,252.0,252.0,256.0,254.0
unfilled_spots,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,6.0,5.0,7.0,7.0,10.0,13.0,10.0,10.0,15.0,16.0,14.0,18.0,19.0,17.0,21.0,21.0,20.0,21.0,21.0,19.0,25.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,6.0,5.0,5.0,8.0,11.0,9.0,8.0,12.0,14.0,14.0,17.0,14.0,15.0,20.0,15.0,17.0,24.0,24.0,20.0,19.0,19.0,19.0
unfilled_spots,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,6.0,7.0,5.0,9.0,10.0,9.0,11.0,15.0,13.0,17.0,19.0,17.0,17.0,18.0,19.0,22.0,18.0,18.0,21.0,20.0,24.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,3.0,6.0,10.0,8.0,10.0,14.0,12.0,12.0,13.0,11.0,12.0,16.0,15.0,21.0,21.0,18.0,18.0,18.0,16.0,24.0,22.0
unfilled_spots,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,5.0,6.0,9.0,8.0,9.0,11.0,12.0,12.0,14.0,15.0,15.0,13.0,17.0,19.0,19.0,19.0,17.0,22.0,19.0,19.0,23.0,23.0
