Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unmatched_applicants,303.0,236.0,234.0,234.0,234.0,234.0,235.0,235.0,237.0,235.0,243.0,244.0,249.0,250.0,253.0,253.0,258.0,260.0,259.0,260.0
unmatched_applicants,305.0,235.0,237.0,235.0,234.0,234.0,234.0,236.0,236.0,239.0,241.0,243.0,244.0,250.0,250.0,253.0,256.0,256.0,261.0,262.0
unmatched_applicants,301.0,238.0,234.0,234.0,234.0,234.0,236.0,238.0,237.0,237.0,241.0,244.0,248.0,248.0,252.0,251.0,259.0,262.0,262.0,264.0
unmatched_applicants,297.0,239.0,235.0,234.0,234.0,234.0,234.0,236.0,234.0,240.0,241.0,244.0,247.0,246.0,251.0,256.0,259.0,260.0,266.0,259.0
unmatched_applicants,302.0,238.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,237.0,239.0,244.0,245.0,246.0,253.0,252.0,258.0,264.0,259.0,263.0
unmatched_applicants,301.0,236.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,237.0,241.0,245.0,245.0,250.0,253.0,253.0,256.0,258.0,265.0,263.0
unmatched_applicants,317.0,240.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,239.0,240.0,245.0,241.0,249.0,248.0,254.0,257.0,260.0,262.0,261.0
unmatched_applicants,305.0,238.0,234.0,234.0,234.0,234.0,238.0,239.0,238.0,238.0,240.0,247.0,241.0,247.0,251.0,255.0,255.0,260.0,256.0,262.0
unmatched_applicants,296.0,235.0,234.0,234.0,234.0,234.0,234.0,235.0,237.0,236.0,242.0,241.0,249.0,249.0,253.0,251.0,257.0,258.0,261.0,262.0
unmatched_applicants,303.0,240.0,235.0,234.0,234.0,234.0,234.0,237.0,236.0,243.0,245.0,248.0,244.0,251.0,251.0,256.0,263.0,258.0,262.0,257.0
unfilled_spots,69.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,9.0,10.0,15.0,16.0,19.0,19.0,24.0,26.0,25.0,26.0
unfilled_spots,71.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,7.0,9.0,10.0,16.0,16.0,19.0,22.0,22.0,27.0,28.0
unfilled_spots,67.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,7.0,10.0,14.0,14.0,18.0,17.0,25.0,28.0,28.0,30.0
unfilled_spots,63.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,7.0,10.0,13.0,12.0,17.0,22.0,25.0,26.0,32.0,25.0
unfilled_spots,68.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,5.0,10.0,11.0,12.0,19.0,18.0,24.0,30.0,25.0,29.0
unfilled_spots,67.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,11.0,11.0,16.0,19.0,19.0,22.0,24.0,31.0,29.0
unfilled_spots,83.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,11.0,7.0,15.0,14.0,20.0,23.0,26.0,28.0,27.0
unfilled_spots,71.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,6.0,13.0,7.0,13.0,17.0,21.0,21.0,26.0,22.0,28.0
unfilled_spots,62.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,8.0,7.0,15.0,15.0,19.0,17.0,23.0,24.0,27.0,28.0
unfilled_spots,69.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,11.0,14.0,10.0,17.0,17.0,22.0,29.0,24.0,28.0,23.0
reviews_per_program,116.3305785123967,116.59504132231405,117.49586776859505,84.58677685950413,49.247933884297524,28.289256198347108,23.60330578512397,27.52892561983471,31.47107438016529,35.388429752066116,39.32231404958678,43.14049586776859,47.14876033057851,50.95867768595041,54.72727272727273,58.04132231404959,62.099173553719005,65.0495867768595,69.38842975206612,72.46280991735537
reviews_per_program,118.01652892561984,116.66115702479338,108.7603305785124,79.33884297520662,42.69421487603306,23.727272727272727,23.60330578512397,27.52892561983471,31.446280991735538,35.388429752066116,39.22314049586777,43.107438016528924,47.107438016528924,50.93388429752066,54.611570247933884,58.3801652892562,61.96694214876033,65.43801652892562,69.41322314049587,72.49586776859505
reviews_per_program,116.07438016528926,117.02479338842976,106.93388429752066,86.86776859504133,47.68595041322314,25.94214876033058,26.223140495867767,27.537190082644628,31.47107438016529,35.36363636363637,39.33884297520661,43.22314049586777,47.06611570247934,50.88429752066116,54.66942148760331,58.68595041322314,62.12396694214876,65.65289256198348,69.54545454545455,72.80165289256199
reviews_per_program,115.38842975206612,110.05785123966942,112.14876033057851,87.4297520661157,37.429752066115704,26.05785123966942,27.49586776859504,27.537190082644628,31.43801652892562,35.40495867768595,39.28099173553719,43.20661157024794,47.02479338842975,50.93388429752066,54.70247933884298,58.27272727272727,62.37190082644628,65.56198347107438,69.21487603305785,72.76859504132231
reviews_per_program,116.7603305785124,116.9504132231405,113.07438016528926,88.48760330578513,43.30578512396694,27.677685950413224,23.60330578512397,27.537190082644628,31.47107438016529,35.388429752066116,39.27272727272727,43.13223140495868,47.11570247933884,50.752066115702476,54.71900826446281,58.553719008264466,62.049586776859506,65.6198347107438,68.98347107438016,72.57851239669421
reviews_per_program,113.77685950413223,116.43801652892562,112.8099173553719,91.71900826446281,40.29752066115702,28.454545454545453,24.39669421487603,27.537190082644628,31.462809917355372,35.34710743801653,39.289256198347104,43.1900826446281,47.099173553719005,50.66115702479339,54.70247933884298,58.54545454545455,61.98347107438016,65.83471074380165,68.90082644628099,72.85123966942149
reviews_per_program,116.72727272727273,116.13223140495867,113.40495867768595,86.73553719008264,45.52066115702479,25.123966942148762,26.28099173553719,27.537190082644628,31.47107438016529,35.388429752066116,39.289256198347104,43.14876033057851,47.05785123966942,50.98347107438016,54.64462809917355,58.63636363636363,62.01652892561984,65.52892561983471,69.41322314049587,72.7603305785124
reviews_per_program,117.86776859504133,113.51239669421487,111.87603305785125,89.96694214876032,42.752066115702476,29.834710743801654,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.28099173553719,43.19834710743802,47.11570247933884,50.99173553719008,54.735537190082646,58.429752066115704,62.3801652892562,65.5702479338843,68.99173553719008,73.0909090909091
reviews_per_program,116.65289256198348,117.52892561983471,110.48760330578513,86.97520661157024,50.84297520661157,26.223140495867767,24.429752066115704,27.537190082644628,31.47107438016529,35.37190082644628,39.33884297520661,43.18181818181818,47.107438016528924,50.94214876033058,54.62809917355372,58.20661157024794,62.14876033057851,65.59504132231405,68.99173553719008,72.49586776859505
reviews_per_program,117.0495867768595,118.37190082644628,112.52066115702479,86.9504132231405,47.78512396694215,25.694214876033058,26.041322314049587,27.537190082644628,31.462809917355372,35.3801652892562,39.30578512396694,43.18181818181818,47.082644628099175,50.950413223140494,54.56198347107438,58.396694214876035,62.082644628099175,65.57851239669421,69.06611570247934,72.24793388429752
