signal,n_sims,match_rate_mean,match_rate_ci_low,match_rate_ci_high,fill_rate_mean,fill_rate_ci_low,fill_rate_ci_high,applicant_pref_rank_mean,applicant_pref_rank_ci_low,applicant_pref_rank_ci_high,program_pref_rank_mean,program_pref_rank_ci_low,program_pref_rank_ci_high,matched_app_quality_mean,matched_app_quality_ci_low,matched_app_quality_ci_high,matched_prog_quality_mean,matched_prog_quality_ci_low,matched_prog_quality_ci_high
0,50,0.488538283062645,0.48750343919998046,0.4895731269253096,0.8165761772853186,0.814846468734815,0.8183058858358222,0.39532432071033385,0.39390280429544544,0.39674583712522227,0.503617508681127,0.5022418092614908,0.5049932081007632,0.314032671980249,0.3136778888779007,0.31438745508259724,0.5562876015430165,0.555809819700815,0.556765383385218
1,50,0.5971561153463706,0.5968613564049062,0.5974508742878349,0.9981274238227147,0.9976347436418849,0.9986201040035445,0.0022050435739410803,0.0018138711452105492,0.0025962160026716113,0.03947112834901338,0.03913759219576396,0.039804664502262804,0.4580780879404363,0.4577085165459158,0.4584476593349568,0.500649675076417,0.5003059394008088,0.5009934107520252
2,50,0.5982366589327147,0.598205737267099,0.5982675805983304,0.9999335180055402,0.9998818334265028,0.9999852025845776,0.13989248806259272,0.13806117762302897,0.14172379850215647,0.0810764613914029,0.08090117064718806,0.08125175213561774,0.456494629364471,0.45619814371677114,0.45679111501217085,0.49995674072939555,0.499678733339855,0.5002347481189361
3,50,0.5982698044414981,0.5982564827627634,0.5982831261202328,0.9999889196675901,0.9999666529059599,1.0000111864292203,0.22616781711169334,0.22458094648333457,0.22775468774005211,0.12332140662417355,0.12305915471578945,0.12358365853255766,0.4552410820665325,0.4549171909319524,0.45556497320111267,0.5001387233428344,0.49980201966189,0.5004754270237788
4,50,0.5982764335432549,0.5982764335432549,0.5982764335432549,1.0,1.0,1.0,0.527406964500745,0.5264085522262466,0.5284053767752434,0.08761699799395775,0.08740358828331708,0.08783040770459842,0.31845964642865016,0.3181860777678373,0.318733215089463,0.4999855012671657,0.4996555780983551,0.5003154244359762
5,50,0.5982764335432549,0.5982764335432549,0.5982764335432549,1.0,1.0,1.0,0.6165695793877445,0.61559017142899,0.617548987346499,0.09938657093821035,0.09909858132734047,0.09967456054908023,0.3184241166227029,0.31819216538305967,0.3186560678623462,0.4996280426710674,0.49924487555240354,0.5000112097897313
6,50,0.5982764335432549,0.5982764335432549,0.5982764335432549,1.0,1.0,1.0,0.706453970082646,0.7055378450268397,0.7073700951384523,0.11060776097530942,0.11025959972118941,0.11095592222942942,0.31854145940028067,0.31828677721400644,0.3187961415865549,0.5003519184298932,0.5000604819930027,0.5006433548667838
7,50,0.5982764335432549,0.5982764335432549,0.5982764335432549,1.0,1.0,1.0,0.7649412405692185,0.7637006572869606,0.7661818238514765,0.12223629267897905,0.12188664320719027,0.12258594215076783,0.31854875566691404,0.31835937121646657,0.3187381401173615,0.5003035303825072,0.5000389564839357,0.5005681042810787
8,50,0.5982764335432549,0.5982764335432549,0.5982764335432549,1.0,1.0,1.0,0.7122226323384219,0.7114252549041622,0.7130200097726815,0.17983301008808006,0.179482639480484,0.1801833806956761,0.31616516896037383,0.31599842673485157,0.3163319111858961,0.49974161607826967,0.4994560864240106,0.5000271457325287
9,50,0.5982764335432549,0.5982764335432549,0.5982764335432549,1.0,1.0,1.0,0.7210956646000968,0.720293103692247,0.7218982255079466,0.19144036707027545,0.19094689568051726,0.19193383846003365,0.31613677009779795,0.31598886703718043,0.31628467315841546,0.5000755584369658,0.49978115903905357,0.500369957834878
