signal,n_sims,match_rate_mean,match_rate_ci_low,match_rate_ci_high,fill_rate_mean,fill_rate_ci_low,fill_rate_ci_high,applicant_pref_rank_mean,applicant_pref_rank_ci_low,applicant_pref_rank_ci_high,program_pref_rank_mean,program_pref_rank_ci_low,program_pref_rank_ci_high,matched_app_quality_mean,matched_app_quality_ci_low,matched_app_quality_ci_high,matched_prog_quality_mean,matched_prog_quality_ci_low,matched_prog_quality_ci_high
0,50,0.08294314381270902,0.08155840868430536,0.08432787894111268,0.8266666666666667,0.8128654732202435,0.8404678601130898,0.4042666322281707,0.394157903534738,0.41437536092160343,0.4702042363433669,0.4619920624392796,0.4784164102474542,0.039932885906040265,0.039238194960750504,0.040627576851330026,0.40532336182336187,0.39420368543505163,0.4164430382116721
1,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.0,0.0,0.0,0.023105590062111797,0.023105590062111797,0.023105590062111797,0.4082438478747204,0.4043859067727693,0.4121017889766715,0.49912820512820516,0.49512710692586065,0.5031293033305496
2,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.4103333333333333,0.3923059847359103,0.4283606819307564,0.06443478260869565,0.06303867385329351,0.06583089136409778,0.4046219239373602,0.40145691884042,0.40778692903430036,0.49907692307692314,0.49565023094519717,0.5025036152086492
3,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.4863333333333334,0.4784022642285657,0.4942644024381011,0.10734409937888198,0.10609533249781417,0.1085928662599498,0.40473825503355704,0.40120590204700135,0.4082706080201127,0.5012820512820514,0.4976125687891982,0.5049515337749046
4,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.684,0.6657186775140793,0.7022813224859208,0.06059130434782608,0.059508923689530834,0.061673685006121325,0.2162930648769575,0.21341474133768326,0.21917138841623177,0.497948717948718,0.49363635542608136,0.5022610804713546
5,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.4671666666666666,0.4421970719107806,0.4921362614225526,0.09038343685300208,0.08890104131014653,0.09186583239585763,0.21445637583892618,0.21174050031392372,0.21717225136392865,0.49861538461538457,0.4946781761682871,0.5025525930624821
6,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.40786666666666677,0.386780281559678,0.42895305177365556,0.12182525879917183,0.12001903772315659,0.12363147987518708,0.2169888143176734,0.21437530250327305,0.21960232613207373,0.5001538461538462,0.49628830404598956,0.5040193882617028
7,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.39799999999999996,0.3767770031512941,0.41922299684870584,0.1557225672877847,0.1530952176692393,0.15834991690633007,0.21469127516778522,0.21162081017050086,0.21776174016506958,0.49702564102564106,0.4925062487302456,0.5015450333210365
8,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.5418095238095239,0.5303090312090251,0.5533100164100226,0.20751801242236023,0.2050676735119722,0.20996835133274827,0.17246979865771808,0.1701198980835148,0.17481969923192137,0.5007179487179488,0.49739634686380013,0.5040395505720975
9,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.5038333333333334,0.49383731131021363,0.5138293553564531,0.26198426501035194,0.25846752186288663,0.26550100815781724,0.17197315436241614,0.1691616659092295,0.17478464281560277,0.49866666666666676,0.49410460117392935,0.5032287321594041
10,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.4913703703703704,0.48478960456688935,0.49795113617385145,0.3225490683229814,0.31943160658792985,0.325666530058033,0.17374049217002235,0.17072080329800254,0.17676018104204216,0.5046153846153847,0.5005701371451894,0.50866063208558
11,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.5829333333333334,0.5701867697390992,0.5956798969275676,0.3624803312629399,0.3587543017454813,0.3662063607803985,0.04992393736017897,0.04963892080642883,0.050208953913929114,0.5015897435897436,0.4978021399170446,0.5053773472624427
12,50,0.10033444816053513,0.10033444816053513,0.10033444816053513,1.0,1.0,1.0,0.530020202020202,0.5240760548823868,0.535964349158017,0.43754616977225674,0.43314077830816416,0.4419515612363493,0.049118568232662196,0.04899001711378915,0.049247119351535244,0.49943589743589745,0.4955566983016677,0.5033150965701272
13,50,0.09933110367892979,0.09877954463245964,0.09988266272539995,0.99,0.9845027948368474,0.9954972051631525,0.49101929392446636,0.4858657514923305,0.4961728363566022,0.5083733337412926,0.5033994752387732,0.513347192243812,0.04825550192305573,0.04796764449695702,0.048543359349154436,0.49326512567891884,0.4881733966609984,0.49835685469683927
