_y_bin,"(0.00663, 10.336]","(10.336, 20.664]","(20.664, 30.992]","(30.992, 41.32]","(41.32, 51.649]"
"(4.999, 8.0]",8.307692307692308,3.0,3.0,3.0,
"(8.0, 11.0]",8.615384615384615,3.0,,,
"(11.0, 14.0]",10.85,3.0,,,
"(14.0, 17.0]",11.962962962962964,,3.0,3.0,
"(17.0, 20.0]",9.51063829787234,3.0,3.0,,3.0
