_y_bin,"(0.00663, 10.336]","(10.336, 20.664]","(20.664, 30.992]","(30.992, 41.32]","(41.32, 51.649]"
"(4.999, 8.0]",78,8,2,2,0
"(8.0, 11.0]",78,4,0,0,0
"(11.0, 14.0]",80,6,0,0,0
"(14.0, 17.0]",54,0,2,2,0
"(17.0, 20.0]",94,4,4,0,2
