_y_bin,"(67.999, 3651.6]","(3651.6, 7235.2]","(7235.2, 10818.8]","(10818.8, 14402.4]","(14402.4, 17986.0]"
"(238.999, 2156.2]",16.7,4.285714285714286,3.4615384615384617,3.1666666666666665,3.0
"(2156.2, 4073.4]",17.7,7.666666666666667,6.636363636363637,5.25,4.285714285714286
"(4073.4, 5990.6]",14.2,14.1,5.714285714285714,5.0,4.666666666666667
"(5990.6, 7907.8]",6.375,11.666666666666666,10.75,9.4,5.0
"(7907.8, 9825.0]",4.636363636363637,19.90909090909091,14.272727272727273,9.857142857142858,7.625
