Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,137.0,91.0,91.0,91.0,91.0,92.0,91.0,91.0,92.0,91.0,91.0,95.0,94.0,98.0,97.0,100.0,105.0,103.0,106.0,106.0,112.0,114.0,111.0,111.0,113.0,117.0,126.0,130.0,133.0,139.0
unmatched_applicants,137.0,95.0,92.0,95.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0,93.0,96.0,97.0,102.0,102.0,103.0,106.0,106.0,110.0,106.0,110.0,109.0,115.0,119.0,117.0,124.0,123.0,130.0,138.0
unmatched_applicants,139.0,96.0,93.0,91.0,91.0,91.0,91.0,92.0,91.0,93.0,94.0,96.0,96.0,96.0,97.0,103.0,101.0,108.0,107.0,108.0,110.0,113.0,109.0,111.0,115.0,125.0,123.0,130.0,126.0,136.0
unmatched_applicants,140.0,98.0,92.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0,94.0,97.0,102.0,99.0,102.0,108.0,104.0,109.0,109.0,112.0,113.0,118.0,120.0,119.0,123.0,127.0,127.0,135.0
unmatched_applicants,139.0,94.0,92.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,94.0,94.0,96.0,97.0,99.0,100.0,101.0,105.0,104.0,105.0,106.0,113.0,111.0,110.0,118.0,115.0,122.0,130.0,130.0,131.0
unmatched_applicants,133.0,94.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,96.0,96.0,97.0,98.0,100.0,105.0,103.0,106.0,106.0,111.0,115.0,111.0,114.0,118.0,112.0,118.0,123.0,133.0,137.0
unmatched_applicants,140.0,94.0,92.0,96.0,91.0,91.0,91.0,91.0,91.0,91.0,94.0,93.0,96.0,97.0,99.0,102.0,102.0,103.0,106.0,107.0,112.0,114.0,114.0,117.0,113.0,119.0,121.0,122.0,131.0,140.0
unmatched_applicants,138.0,95.0,92.0,92.0,91.0,91.0,91.0,93.0,92.0,93.0,93.0,94.0,97.0,97.0,98.0,101.0,101.0,101.0,102.0,104.0,105.0,114.0,117.0,112.0,116.0,121.0,121.0,135.0,131.0,133.0
unmatched_applicants,136.0,96.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,97.0,100.0,94.0,101.0,101.0,104.0,106.0,109.0,106.0,108.0,108.0,110.0,115.0,114.0,118.0,121.0,127.0,132.0,135.0
unmatched_applicants,143.0,97.0,95.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,94.0,94.0,96.0,97.0,99.0,105.0,106.0,101.0,103.0,106.0,113.0,110.0,116.0,117.0,121.0,123.0,122.0,129.0,136.0
unfilled_spots,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,7.0,6.0,9.0,14.0,12.0,15.0,15.0,21.0,23.0,20.0,20.0,22.0,26.0,35.0,39.0,42.0,48.0
unfilled_spots,46.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,6.0,11.0,11.0,12.0,15.0,15.0,19.0,15.0,19.0,18.0,24.0,28.0,26.0,33.0,32.0,39.0,47.0
unfilled_spots,48.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,5.0,5.0,6.0,12.0,10.0,17.0,16.0,17.0,19.0,22.0,18.0,20.0,24.0,34.0,32.0,39.0,35.0,45.0
unfilled_spots,49.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,11.0,8.0,11.0,17.0,13.0,18.0,18.0,21.0,22.0,27.0,29.0,28.0,32.0,36.0,36.0,44.0
unfilled_spots,48.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,6.0,8.0,9.0,10.0,14.0,13.0,14.0,15.0,22.0,20.0,19.0,27.0,24.0,31.0,39.0,39.0,40.0
unfilled_spots,42.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,7.0,9.0,14.0,12.0,15.0,15.0,20.0,24.0,20.0,23.0,27.0,21.0,27.0,32.0,42.0,46.0
unfilled_spots,49.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,6.0,8.0,11.0,11.0,12.0,15.0,16.0,21.0,23.0,23.0,26.0,22.0,28.0,30.0,31.0,40.0,49.0
unfilled_spots,47.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,6.0,6.0,7.0,10.0,10.0,10.0,11.0,13.0,14.0,23.0,26.0,21.0,25.0,30.0,30.0,44.0,40.0,42.0
unfilled_spots,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,3.0,10.0,10.0,13.0,15.0,18.0,15.0,17.0,17.0,19.0,24.0,23.0,27.0,30.0,36.0,41.0,44.0
unfilled_spots,52.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,8.0,14.0,15.0,10.0,12.0,15.0,22.0,19.0,25.0,26.0,30.0,32.0,31.0,38.0,45.0
reviews_per_program,110.0,110.0,110.0,110.0,105.0,82.15384615384616,67.76923076923077,45.42307692307692,41.15384615384615,39.705128205128204,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336,55.0,58.666666666666664,62.333333333333336,66.0,69.66666666666667,73.33333333333333,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333
