Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,1282.0,916.0,905.0,895.0,890.0,890.0,890.0,890.0,890.0,894.0,902.0,927.0,913.0,946.0,976.0,1018.0,1040.0,1057.0,1082.0,1102.0,1135.0,1144.0,1148.0,1166.0,1217.0,1213.0,1232.0,1242.0
unmatched_applicants,1288.0,922.0,903.0,894.0,890.0,890.0,890.0,890.0,892.0,894.0,899.0,918.0,921.0,949.0,967.0,1020.0,1046.0,1049.0,1080.0,1105.0,1138.0,1152.0,1142.0,1171.0,1202.0,1221.0,1231.0,1228.0
unmatched_applicants,1295.0,909.0,903.0,897.0,890.0,890.0,890.0,890.0,890.0,894.0,900.0,932.0,920.0,939.0,995.0,1011.0,1047.0,1055.0,1081.0,1112.0,1124.0,1150.0,1166.0,1183.0,1216.0,1216.0,1243.0,1221.0
unmatched_applicants,1270.0,933.0,895.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,906.0,921.0,917.0,963.0,992.0,1001.0,1025.0,1067.0,1080.0,1107.0,1129.0,1130.0,1167.0,1158.0,1222.0,1220.0,1234.0,1228.0
unmatched_applicants,1295.0,931.0,896.0,893.0,890.0,890.0,890.0,890.0,890.0,892.0,900.0,909.0,917.0,944.0,973.0,1013.0,1039.0,1074.0,1077.0,1106.0,1138.0,1142.0,1161.0,1173.0,1214.0,1218.0,1236.0,1239.0
unmatched_applicants,1313.0,916.0,904.0,893.0,890.0,890.0,890.0,890.0,890.0,891.0,907.0,922.0,931.0,949.0,985.0,1018.0,1022.0,1049.0,1078.0,1086.0,1126.0,1139.0,1143.0,1154.0,1200.0,1223.0,1224.0,1222.0
unmatched_applicants,1282.0,919.0,898.0,891.0,890.0,890.0,890.0,890.0,891.0,890.0,898.0,922.0,920.0,958.0,982.0,1009.0,1033.0,1072.0,1085.0,1089.0,1123.0,1160.0,1152.0,1168.0,1213.0,1222.0,1214.0,1231.0
unmatched_applicants,1301.0,918.0,904.0,897.0,890.0,890.0,890.0,890.0,890.0,890.0,905.0,916.0,927.0,950.0,989.0,1012.0,1023.0,1052.0,1073.0,1097.0,1143.0,1144.0,1156.0,1172.0,1225.0,1220.0,1223.0,1233.0
unmatched_applicants,1302.0,919.0,902.0,894.0,890.0,890.0,890.0,890.0,890.0,890.0,905.0,921.0,922.0,951.0,988.0,1021.0,1024.0,1066.0,1071.0,1091.0,1144.0,1150.0,1168.0,1173.0,1217.0,1203.0,1221.0,1230.0
unmatched_applicants,1308.0,917.0,906.0,892.0,890.0,890.0,890.0,890.0,890.0,890.0,897.0,912.0,931.0,967.0,971.0,1009.0,1044.0,1060.0,1083.0,1091.0,1131.0,1152.0,1161.0,1179.0,1223.0,1216.0,1234.0,1221.0
unfilled_spots,392.0,26.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,37.0,23.0,56.0,86.0,128.0,150.0,167.0,192.0,212.0,245.0,254.0,258.0,276.0,327.0,323.0,342.0,352.0
unfilled_spots,398.0,32.0,13.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,28.0,31.0,59.0,77.0,130.0,156.0,159.0,190.0,215.0,248.0,262.0,252.0,281.0,312.0,331.0,341.0,338.0
unfilled_spots,405.0,19.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,42.0,30.0,49.0,105.0,121.0,157.0,165.0,191.0,222.0,234.0,260.0,276.0,293.0,326.0,326.0,353.0,331.0
unfilled_spots,380.0,43.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,31.0,27.0,73.0,102.0,111.0,135.0,177.0,190.0,217.0,239.0,240.0,277.0,268.0,332.0,330.0,344.0,338.0
