Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
reviews_per_program,81.25,81.25,81.25,81.25,77.925,67.025,55.875,50.35,46.475,48.325,45.875,48.35,43.825,43.875,45.5,48.75,52.0,55.25,58.5,61.75,65.0,68.25,71.5,74.75,78.0
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9815384615384616,0.9166666666666666,0.8461538461538461,0.7942307692307692,0.7521367521367521,0.7038461538461539,0.6657342657342658,0.6211538461538462,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9753846153846154,0.9243589743589744,0.8527472527472527,0.8134615384615385,0.7581196581196581,0.7015384615384616,0.6643356643356644,0.6211538461538462,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9769230769230769,0.9294871794871795,0.8791208791208791,0.8067307692307693,0.747008547008547,0.7007692307692308,0.6608391608391608,0.617948717948718,0.5715976331360947,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9661538461538461,0.9179487179487179,0.8549450549450549,0.7971153846153847,0.7299145299145299,0.7107692307692308,0.6615384615384615,0.617948717948718,0.572189349112426,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9846153846153847,0.9294871794871795,0.8758241758241758,0.7903846153846154,0.747008547008547,0.7038461538461539,0.6580419580419581,0.6173076923076923,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9980769230769231,0.9553846153846154,0.9346153846153846,0.8615384615384616,0.7730769230769231,0.752991452991453,0.7076923076923077,0.6657342657342658,0.6224358974358974,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,0.9974358974358974,0.9980769230769231,0.9784615384615385,0.9358974358974359,0.8571428571428571,0.8192307692307692,0.7760683760683761,0.7115384615384616,0.6538461538461539,0.6198717948717949,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9826923076923076,0.963076923076923,0.9333333333333333,0.8615384615384616,0.8,0.7683760683760684,0.7053846153846154,0.6629370629370629,0.6160256410256411,0.5733727810650887,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9961538461538462,0.9584615384615385,0.9282051282051282,0.865934065934066,0.7807692307692308,0.7615384615384615,0.7153846153846154,0.6650349650349651,0.6185897435897436,0.5751479289940828,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9942307692307693,0.9661538461538461,0.9282051282051282,0.8593406593406593,0.7951923076923076,0.7547008547008547,0.7038461538461539,0.6552447552447552,0.6160256410256411,0.5733727810650887,0.5340659340659341,0.49846153846153846,0.4673076923076923,0.43981900452488687,0.4153846153846154,0.39352226720647776,0.37384615384615383,0.35604395604395606,0.33986013986013985,0.3250836120401338,0.31153846153846154
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.1663003663003663,0.12846153846153846,0.10404858299595142,0.08632478632478632,0.0660633484162896,0.04423076923076923,0.02923076923076923,0.01098901098901099,0.0017751479289940828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.16556776556776556,0.13,0.10161943319838057,0.08376068376068375,0.05701357466063348,0.040865384615384616,0.03076923076923077,0.012087912087912088,0.0017751479289940828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.1663003663003663,0.1296153846153846,0.1,0.0735042735042735,0.060180995475113123,0.047115384615384615,0.03128205128205128,0.014835164835164835,0.004733727810650888,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2990769230769231,0.26987179487179486,0.23812709030100335,0.2034965034965035,0.16556776556776556,0.13230769230769232,0.10364372469635627,0.0829059829059829,0.06470588235294118,0.05673076923076923,0.024615384615384615,0.014285714285714285,0.004733727810650888,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
