Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,1443.0,1212.0,1213.0,1212.0,1212.0,1212.0,1219.0,1245.0,1237.0,1280.0,1312.0,1338.0,1345.0,1359.0,1393.0,1413.0,1446.0
unmatched_applicants,1466.0,1213.0,1213.0,1212.0,1212.0,1212.0,1218.0,1242.0,1234.0,1265.0,1285.0,1321.0,1356.0,1352.0,1388.0,1397.0,1442.0
unmatched_applicants,1474.0,1212.0,1212.0,1212.0,1212.0,1212.0,1213.0,1233.0,1235.0,1268.0,1304.0,1336.0,1346.0,1370.0,1393.0,1406.0,1452.0
unmatched_applicants,1453.0,1217.0,1212.0,1212.0,1212.0,1212.0,1217.0,1241.0,1247.0,1261.0,1304.0,1339.0,1333.0,1368.0,1384.0,1412.0,1472.0
unmatched_applicants,1460.0,1218.0,1212.0,1212.0,1212.0,1212.0,1216.0,1233.0,1238.0,1266.0,1306.0,1334.0,1329.0,1366.0,1385.0,1405.0,1455.0
unmatched_applicants,1461.0,1216.0,1212.0,1212.0,1212.0,1212.0,1212.0,1222.0,1228.0,1267.0,1301.0,1329.0,1347.0,1375.0,1399.0,1403.0,1457.0
unmatched_applicants,1463.0,1218.0,1212.0,1212.0,1212.0,1212.0,1212.0,1232.0,1242.0,1263.0,1300.0,1334.0,1347.0,1372.0,1385.0,1406.0,1451.0
unmatched_applicants,1465.0,1216.0,1212.0,1212.0,1212.0,1212.0,1213.0,1229.0,1231.0,1270.0,1294.0,1333.0,1339.0,1366.0,1397.0,1425.0,1435.0
unmatched_applicants,1451.0,1216.0,1212.0,1212.0,1212.0,1212.0,1216.0,1235.0,1236.0,1250.0,1286.0,1326.0,1365.0,1356.0,1386.0,1412.0,1448.0
unmatched_applicants,1454.0,1217.0,1212.0,1212.0,1212.0,1212.0,1213.0,1238.0,1243.0,1271.0,1305.0,1336.0,1353.0,1382.0,1383.0,1413.0,1467.0
unfilled_spots,231.0,0.0,1.0,0.0,0.0,0.0,7.0,33.0,25.0,68.0,100.0,126.0,133.0,147.0,181.0,201.0,234.0
unfilled_spots,254.0,1.0,1.0,0.0,0.0,0.0,6.0,30.0,22.0,53.0,73.0,109.0,144.0,140.0,176.0,185.0,230.0
unfilled_spots,262.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,23.0,56.0,92.0,124.0,134.0,158.0,181.0,194.0,240.0
unfilled_spots,241.0,5.0,0.0,0.0,0.0,0.0,5.0,29.0,35.0,49.0,92.0,127.0,121.0,156.0,172.0,200.0,260.0
unfilled_spots,248.0,6.0,0.0,0.0,0.0,0.0,4.0,21.0,26.0,54.0,94.0,122.0,117.0,154.0,173.0,193.0,243.0
unfilled_spots,249.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,55.0,89.0,117.0,135.0,163.0,187.0,191.0,245.0
unfilled_spots,251.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,51.0,88.0,122.0,135.0,160.0,173.0,194.0,239.0
unfilled_spots,253.0,4.0,0.0,0.0,0.0,0.0,1.0,17.0,19.0,58.0,82.0,121.0,127.0,154.0,185.0,213.0,223.0
unfilled_spots,239.0,4.0,0.0,0.0,0.0,0.0,4.0,23.0,24.0,38.0,74.0,114.0,153.0,144.0,174.0,200.0,236.0
