Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
unmatched_applicants,878.0,585.0,577.0,569.0,564.0,564.0,564.0,569.0,582.0,594.0,607.0,631.0,650.0,677.0,691.0,705.0,742.0,729.0,746.0,766.0,791.0,816.0,811.0,828.0,891.0
unmatched_applicants,883.0,585.0,573.0,570.0,564.0,564.0,564.0,575.0,576.0,597.0,604.0,637.0,641.0,669.0,687.0,707.0,745.0,738.0,745.0,758.0,803.0,817.0,809.0,813.0,876.0
unmatched_applicants,886.0,588.0,574.0,574.0,564.0,564.0,565.0,574.0,575.0,591.0,598.0,636.0,650.0,672.0,680.0,708.0,745.0,745.0,748.0,753.0,800.0,810.0,817.0,817.0,883.0
unmatched_applicants,870.0,591.0,569.0,571.0,565.0,564.0,564.0,577.0,577.0,585.0,607.0,638.0,652.0,671.0,698.0,711.0,734.0,746.0,749.0,769.0,795.0,803.0,814.0,821.0,869.0
unmatched_applicants,875.0,584.0,569.0,575.0,564.0,564.0,564.0,573.0,570.0,579.0,608.0,625.0,642.0,678.0,695.0,714.0,746.0,736.0,749.0,757.0,786.0,803.0,822.0,809.0,874.0
unmatched_applicants,863.0,578.0,582.0,568.0,564.0,564.0,565.0,570.0,576.0,594.0,613.0,628.0,655.0,662.0,688.0,712.0,738.0,746.0,759.0,761.0,791.0,805.0,813.0,821.0,869.0
unmatched_applicants,873.0,591.0,574.0,568.0,564.0,564.0,564.0,566.0,583.0,598.0,612.0,639.0,655.0,672.0,697.0,709.0,735.0,752.0,753.0,760.0,810.0,804.0,813.0,827.0,874.0
unmatched_applicants,880.0,579.0,567.0,578.0,564.0,564.0,564.0,568.0,579.0,592.0,612.0,631.0,652.0,663.0,691.0,704.0,731.0,750.0,747.0,762.0,807.0,811.0,807.0,821.0,863.0
unmatched_applicants,880.0,590.0,569.0,566.0,564.0,564.0,567.0,577.0,582.0,588.0,616.0,621.0,643.0,670.0,691.0,717.0,734.0,747.0,765.0,767.0,802.0,808.0,813.0,827.0,881.0
unmatched_applicants,878.0,584.0,575.0,570.0,564.0,564.0,566.0,567.0,575.0,587.0,609.0,650.0,647.0,683.0,697.0,690.0,732.0,753.0,765.0,764.0,796.0,820.0,810.0,820.0,864.0
unfilled_spots,314.0,21.0,13.0,5.0,0.0,0.0,0.0,5.0,18.0,30.0,43.0,67.0,86.0,113.0,127.0,141.0,178.0,165.0,182.0,202.0,227.0,252.0,247.0,264.0,327.0
unfilled_spots,319.0,21.0,9.0,6.0,0.0,0.0,0.0,11.0,12.0,33.0,40.0,73.0,77.0,105.0,123.0,143.0,181.0,174.0,181.0,194.0,239.0,253.0,245.0,249.0,312.0
unfilled_spots,322.0,24.0,10.0,10.0,0.0,0.0,1.0,10.0,11.0,27.0,34.0,72.0,86.0,108.0,116.0,144.0,181.0,181.0,184.0,189.0,236.0,246.0,253.0,253.0,319.0
unfilled_spots,306.0,27.0,5.0,7.0,1.0,0.0,0.0,13.0,13.0,21.0,43.0,74.0,88.0,107.0,134.0,147.0,170.0,182.0,185.0,205.0,231.0,239.0,250.0,257.0,305.0
unfilled_spots,311.0,20.0,5.0,11.0,0.0,0.0,0.0,9.0,6.0,15.0,44.0,61.0,78.0,114.0,131.0,150.0,182.0,172.0,185.0,193.0,222.0,239.0,258.0,245.0,310.0
unfilled_spots,299.0,14.0,18.0,4.0,0.0,0.0,1.0,6.0,12.0,30.0,49.0,64.0,91.0,98.0,124.0,148.0,174.0,182.0,195.0,197.0,227.0,241.0,249.0,257.0,305.0
unfilled_spots,309.0,27.0,10.0,4.0,0.0,0.0,0.0,2.0,19.0,34.0,48.0,75.0,91.0,108.0,133.0,145.0,171.0,188.0,189.0,196.0,246.0,240.0,249.0,263.0,310.0
unfilled_spots,316.0,15.0,3.0,14.0,0.0,0.0,0.0,4.0,15.0,28.0,48.0,67.0,88.0,99.0,127.0,140.0,167.0,186.0,183.0,198.0,243.0,247.0,243.0,257.0,299.0
