Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,637.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,542.0,548.0,551.0,546.0,550.0,550.0,558.0,561.0,569.0,572.0,585.0,588.0,597.0,603.0,605.0,610.0,617.0,614.0,616.0,613.0,618.0,618.0,626.0
unmatched_applicants,638.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,546.0,546.0,550.0,553.0,551.0,562.0,558.0,571.0,576.0,579.0,588.0,591.0,605.0,604.0,610.0,614.0,616.0,615.0,613.0,617.0,616.0,620.0
unmatched_applicants,636.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,548.0,549.0,547.0,550.0,554.0,555.0,557.0,563.0,568.0,573.0,579.0,588.0,596.0,600.0,607.0,609.0,612.0,614.0,614.0,611.0,614.0,620.0,622.0
unmatched_applicants,635.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,545.0,545.0,548.0,550.0,554.0,557.0,559.0,562.0,575.0,581.0,584.0,594.0,600.0,606.0,609.0,615.0,615.0,614.0,619.0,616.0,622.0,633.0
unmatched_applicants,637.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,547.0,542.0,547.0,547.0,549.0,551.0,550.0,555.0,555.0,570.0,574.0,580.0,589.0,595.0,602.0,609.0,613.0,616.0,615.0,614.0,615.0,615.0,613.0,628.0
unmatched_applicants,631.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,545.0,547.0,550.0,552.0,552.0,558.0,557.0,559.0,567.0,576.0,583.0,590.0,587.0,600.0,604.0,608.0,616.0,614.0,615.0,614.0,616.0,612.0,632.0
unmatched_applicants,642.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,542.0,544.0,546.0,544.0,550.0,551.0,554.0,555.0,561.0,565.0,570.0,583.0,589.0,594.0,599.0,603.0,611.0,615.0,614.0,615.0,616.0,614.0,626.0,630.0
unmatched_applicants,638.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,548.0,546.0,554.0,555.0,554.0,562.0,558.0,566.0,572.0,580.0,588.0,595.0,599.0,606.0,609.0,613.0,614.0,615.0,616.0,613.0,624.0,628.0
unmatched_applicants,636.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,545.0,549.0,549.0,557.0,553.0,554.0,559.0,565.0,572.0,579.0,586.0,597.0,603.0,607.0,611.0,611.0,616.0,615.0,614.0,617.0,618.0,624.0
unmatched_applicants,632.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,544.0,546.0,548.0,553.0,555.0,559.0,561.0,569.0,573.0,583.0,593.0,594.0,601.0,606.0,609.0,616.0,615.0,619.0,614.0,620.0,618.0,636.0
unfilled_spots,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,4.0,8.0,8.0,16.0,19.0,27.0,30.0,43.0,46.0,55.0,61.0,63.0,68.0,75.0,72.0,74.0,71.0,76.0,76.0,84.0
unfilled_spots,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,8.0,11.0,9.0,20.0,16.0,29.0,34.0,37.0,46.0,49.0,63.0,62.0,68.0,72.0,74.0,73.0,71.0,75.0,74.0,78.0
unfilled_spots,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,8.0,12.0,13.0,15.0,21.0,26.0,31.0,37.0,46.0,54.0,58.0,65.0,67.0,70.0,72.0,72.0,69.0,72.0,78.0,80.0
unfilled_spots,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,8.0,12.0,15.0,17.0,20.0,33.0,39.0,42.0,52.0,58.0,64.0,67.0,73.0,73.0,72.0,77.0,74.0,80.0,91.0
unfilled_spots,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,7.0,9.0,8.0,13.0,13.0,28.0,32.0,38.0,47.0,53.0,60.0,67.0,71.0,74.0,73.0,72.0,73.0,73.0,71.0,86.0
unfilled_spots,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,8.0,10.0,10.0,16.0,15.0,17.0,25.0,34.0,41.0,48.0,45.0,58.0,62.0,66.0,74.0,72.0,73.0,72.0,74.0,70.0,90.0
unfilled_spots,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,8.0,9.0,12.0,13.0,19.0,23.0,28.0,41.0,47.0,52.0,57.0,61.0,69.0,73.0,72.0,73.0,74.0,72.0,84.0,88.0
unfilled_spots,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,12.0,13.0,12.0,20.0,16.0,24.0,30.0,38.0,46.0,53.0,57.0,64.0,67.0,71.0,72.0,73.0,74.0,71.0,82.0,86.0
unfilled_spots,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,7.0,15.0,11.0,12.0,17.0,23.0,30.0,37.0,44.0,55.0,61.0,65.0,69.0,69.0,74.0,73.0,72.0,75.0,76.0,82.0
unfilled_spots,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,11.0,13.0,17.0,19.0,27.0,31.0,41.0,51.0,52.0,59.0,64.0,67.0,74.0,73.0,77.0,72.0,78.0,76.0,94.0
reviews_per_program,483.41818181818184,483.41818181818184,456.58181818181816,220.70909090909092,67.38181818181818,71.0909090909091,85.30909090909091,99.52727272727273,113.74545454545455,127.96363636363637,142.1818181818182,156.4,170.61818181818182,184.83636363636364,199.05454545454546,213.27272727272728,227.4909090909091,241.70909090909092,255.92727272727274,270.1454545454545,284.3636363636364,298.58181818181816,312.8,327.0181818181818,341.23636363636365,355.45454545454544,369.6727272727273,383.8909090909091,398.1090909090909,412.3272727272727,426.54545454545456,440.76363636363635,454.9818181818182,469.2
reviews_per_program,483.41818181818184,483.41818181818184,467.5272727272727,158.3090909090909,82.61818181818182,71.0909090909091,85.30909090909091,99.52727272727273,113.74545454545455,127.96363636363637,142.1818181818182,156.4,170.61818181818182,184.83636363636364,199.05454545454546,213.27272727272728,227.4909090909091,241.70909090909092,255.92727272727274,270.1454545454545,284.3636363636364,298.58181818181816,312.8,327.0181818181818,341.23636363636365,355.45454545454544,369.6727272727273,383.8909090909091,398.1090909090909,412.3272727272727,426.54545454545456,440.76363636363635,454.9818181818182,469.2
