Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,425.41424802110816,285.6306068601583,151.06728232189974,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,427.6200527704485,289.7862796833773,149.1121372031662,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,424.64775725593665,296.2137203166227,146.60026385224273,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,427.16358839050133,288.4327176781003,147.53562005277044,158.598944591029,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
reviews_per_program,429.40501319261216,429.40501319261216,429.40501319261216,429.40501319261216,428.90501319261216,290.3588390501319,148.87467018469658,158.20184696569922,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9995913840406281,0.9711166890432549,0.849989298153445,0.7298714944503282,0.638666744498278,0.5677037728873582,0.5109333955986224,0.46448490508965673,0.42577782966551864,0.3930256889220172,0.36495242542758743,0.34062226373241494,0.319333372249139,0.30054905623448375,0.2838518864436791
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9997810985931936,0.9685832700951491,0.8499601112992041,0.7298965117539632,0.638666744498278,0.5677037728873582,0.5109333955986224,0.46448490508965673,0.42577782966551864,0.3930256889220172,0.36495242542758743,0.34062226373241494,0.319333372249139,0.30054905623448375,0.2838518864436791
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9996059774677485,0.9710349658513805,0.8498920086393088,0.7299048508551749,0.638666744498278,0.5677037728873582,0.5109333955986224,0.46448490508965673,0.42577782966551864,0.3930256889220172,0.36495242542758743,0.34062226373241494,0.319333372249139,0.30054905623448375,0.2838518864436791
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9998978460101571,0.9718521977701243,0.850320082501508,0.7299048508551749,0.638666744498278,0.5677037728873582,0.5109333955986224,0.46448490508965673,0.42577782966551864,0.3930256889220172,0.36495242542758743,0.34062226373241494,0.319333372249139,0.30054905623448375,0.2838518864436791
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9996935380304711,0.9684314984530967,0.8501060455704085,0.7299048508551749,0.638666744498278,0.5677037728873582,0.5109333955986224,0.46448490508965673,0.42577782966551864,0.3930256889220172,0.36495242542758743,0.34062226373241494,0.319333372249139,0.30054905623448375,0.2838518864436791
