Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
reviews_per_program,49.142857142857146,48.61038961038961,42.61038961038961,29.766233766233768,22.961038961038962,17.662337662337663,15.753246753246753,16.649350649350648,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091
reviews_per_program,49.142857142857146,48.51948051948052,39.72727272727273,29.935064935064936,23.051948051948052,20.01298701298701,16.896103896103895,17.155844155844157,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091
reviews_per_program,49.142857142857146,47.41558441558441,43.077922077922075,30.181818181818183,24.467532467532468,19.77922077922078,16.896103896103895,16.493506493506494,18.337662337662337,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091
reviews_per_program,49.142857142857146,47.38961038961039,41.87012987012987,30.038961038961038,23.818181818181817,21.103896103896105,16.064935064935064,17.142857142857142,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091
pct_interview_given_signal,0.0,0.9941860465116279,0.9418604651162791,0.8585271317829457,0.7776162790697675,0.6546511627906977,0.5746124031007752,0.5066445182724253,0.4433139534883721,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,0.9941860465116279,0.9534883720930233,0.8662790697674418,0.7732558139534884,0.65,0.5707364341085271,0.5074750830564784,0.4425872093023256,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,1.0,0.9418604651162791,0.875968992248062,0.7601744186046512,0.6604651162790698,0.5804263565891473,0.5008305647840532,0.44476744186046513,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,0.9941860465116279,0.9622093023255814,0.8546511627906976,0.7572674418604651,0.6593023255813953,0.5775193798449613,0.5008305647840532,0.4433139534883721,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,1.0,0.9563953488372093,0.8817829457364341,0.7659883720930233,0.6558139534883721,0.5755813953488372,0.5033222591362126,0.44113372093023256,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,1.0,0.9476744186046512,0.874031007751938,0.7630813953488372,0.663953488372093,0.5755813953488372,0.49916943521594687,0.44476744186046513,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,1.0,0.9622093023255814,0.8643410852713178,0.75,0.6709302325581395,0.5794573643410853,0.5066445182724253,0.44476744186046513,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
pct_interview_given_signal,0.0,1.0,0.9622093023255814,0.8507751937984496,0.7587209302325582,0.6406976744186047,0.5707364341085271,0.5049833887043189,0.44476744186046513,0.3953488372093023,0.3558139534883721,0.32346723044397463,0.29651162790697677,0.2737030411449016,0.2541528239202658,0.2372093023255814,0.22238372093023256,0.20930232558139536,0.19767441860465115,0.18727050183598531,0.17790697674418604,0.16943521594684385
