Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
unmatched_applicants,1045.0,957.0,957.0,958.0,957.0,957.0,957.0,963.0,967.0,965.0,967.0,972.0,975.0,988.0,993.0,1000.0,1002.0,1006.0,1006.0,1007.0,1014.0,1017.0,1028.0,1034.0,1043.0,1047.0,1057.0
unmatched_applicants,1044.0,957.0,957.0,957.0,957.0,958.0,958.0,959.0,962.0,963.0,971.0,969.0,980.0,982.0,993.0,997.0,1005.0,1006.0,1006.0,1004.0,1011.0,1024.0,1029.0,1032.0,1043.0,1045.0,1053.0
unmatched_applicants,1044.0,957.0,957.0,957.0,957.0,959.0,957.0,965.0,962.0,962.0,966.0,970.0,980.0,987.0,996.0,1002.0,1001.0,1006.0,1005.0,1005.0,1010.0,1019.0,1027.0,1033.0,1043.0,1047.0,1057.0
unmatched_applicants,1042.0,957.0,957.0,957.0,957.0,957.0,958.0,963.0,962.0,965.0,971.0,967.0,978.0,990.0,992.0,996.0,1004.0,1008.0,1009.0,1009.0,1012.0,1020.0,1032.0,1037.0,1043.0,1044.0,1056.0
unmatched_applicants,1046.0,957.0,957.0,957.0,957.0,957.0,960.0,964.0,964.0,963.0,968.0,972.0,972.0,988.0,990.0,996.0,1001.0,1006.0,1008.0,1009.0,1009.0,1014.0,1028.0,1035.0,1044.0,1050.0,1053.0
unmatched_applicants,1044.0,957.0,957.0,957.0,957.0,958.0,957.0,964.0,961.0,964.0,965.0,967.0,978.0,986.0,991.0,996.0,1000.0,1006.0,1008.0,1008.0,1006.0,1020.0,1025.0,1031.0,1037.0,1051.0,1059.0
unmatched_applicants,1044.0,957.0,957.0,957.0,957.0,957.0,957.0,959.0,962.0,965.0,966.0,971.0,979.0,987.0,990.0,998.0,1001.0,1009.0,1006.0,1004.0,1010.0,1019.0,1026.0,1035.0,1038.0,1049.0,1053.0
unmatched_applicants,1044.0,957.0,957.0,957.0,957.0,960.0,961.0,959.0,964.0,963.0,969.0,969.0,979.0,992.0,994.0,998.0,1002.0,1006.0,1010.0,1007.0,1010.0,1015.0,1029.0,1034.0,1040.0,1049.0,1058.0
unmatched_applicants,1045.0,957.0,957.0,957.0,957.0,957.0,960.0,961.0,959.0,965.0,969.0,970.0,977.0,983.0,990.0,999.0,1001.0,1007.0,1008.0,1007.0,1010.0,1020.0,1028.0,1032.0,1045.0,1049.0,1057.0
unmatched_applicants,1044.0,957.0,957.0,957.0,957.0,958.0,958.0,961.0,962.0,964.0,969.0,975.0,976.0,984.0,994.0,999.0,1001.0,1004.0,1006.0,1007.0,1010.0,1016.0,1024.0,1031.0,1046.0,1048.0,1060.0
unfilled_spots,88.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,10.0,8.0,10.0,15.0,18.0,31.0,36.0,43.0,45.0,49.0,49.0,50.0,57.0,60.0,71.0,77.0,86.0,90.0,100.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,6.0,14.0,12.0,23.0,25.0,36.0,40.0,48.0,49.0,49.0,47.0,54.0,67.0,72.0,75.0,86.0,88.0,96.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,5.0,5.0,9.0,13.0,23.0,30.0,39.0,45.0,44.0,49.0,48.0,48.0,53.0,62.0,70.0,76.0,86.0,90.0,100.0
unfilled_spots,85.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,8.0,14.0,10.0,21.0,33.0,35.0,39.0,47.0,51.0,52.0,52.0,55.0,63.0,75.0,80.0,86.0,87.0,99.0
unfilled_spots,89.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,6.0,11.0,15.0,15.0,31.0,33.0,39.0,44.0,49.0,51.0,52.0,52.0,57.0,71.0,78.0,87.0,93.0,96.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,7.0,8.0,10.0,21.0,29.0,34.0,39.0,43.0,49.0,51.0,51.0,49.0,63.0,68.0,74.0,80.0,94.0,102.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,9.0,14.0,22.0,30.0,33.0,41.0,44.0,52.0,49.0,47.0,53.0,62.0,69.0,78.0,81.0,92.0,96.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,7.0,6.0,12.0,12.0,22.0,35.0,37.0,41.0,45.0,49.0,53.0,50.0,53.0,58.0,72.0,77.0,83.0,92.0,101.0
unfilled_spots,88.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,8.0,12.0,13.0,20.0,26.0,33.0,42.0,44.0,50.0,51.0,50.0,53.0,63.0,71.0,75.0,88.0,92.0,100.0
unfilled_spots,87.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,7.0,12.0,18.0,19.0,27.0,37.0,42.0,44.0,47.0,49.0,50.0,53.0,59.0,67.0,74.0,89.0,91.0,103.0
reviews_per_program,854.7428571428571,93.8,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,62.628571428571426,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,31.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,62.65714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
