Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unmatched_applicants,116.0,76.0,72.0,73.0,71.0,70.0,70.0,71.0,72.0,73.0,77.0,74.0,82.0,82.0,79.0,81.0,84.0,85.0,81.0,85.0,91.0,90.0,87.0,89.0,97.0,95.0,100.0,96.0,99.0,99.0,105.0,103.0,113.0,113.0,119.0,111.0,115.0
unmatched_applicants,119.0,82.0,72.0,71.0,72.0,70.0,71.0,73.0,72.0,73.0,76.0,77.0,81.0,80.0,78.0,80.0,86.0,87.0,87.0,86.0,86.0,90.0,94.0,96.0,98.0,94.0,98.0,106.0,104.0,104.0,105.0,110.0,109.0,108.0,114.0,110.0,118.0
unmatched_applicants,116.0,77.0,72.0,70.0,70.0,70.0,71.0,73.0,72.0,74.0,74.0,78.0,82.0,80.0,81.0,81.0,83.0,84.0,87.0,86.0,92.0,90.0,92.0,89.0,99.0,101.0,92.0,101.0,109.0,103.0,105.0,110.0,112.0,114.0,114.0,115.0,115.0
unmatched_applicants,116.0,74.0,72.0,70.0,71.0,70.0,71.0,72.0,71.0,76.0,74.0,77.0,77.0,80.0,80.0,80.0,90.0,81.0,86.0,86.0,90.0,91.0,88.0,90.0,92.0,95.0,99.0,99.0,99.0,103.0,108.0,109.0,115.0,117.0,110.0,113.0,116.0
unmatched_applicants,121.0,77.0,70.0,73.0,70.0,71.0,71.0,71.0,75.0,73.0,75.0,79.0,82.0,78.0,79.0,83.0,83.0,86.0,85.0,90.0,88.0,87.0,86.0,93.0,97.0,100.0,99.0,97.0,103.0,108.0,105.0,107.0,104.0,114.0,109.0,108.0,115.0
unmatched_applicants,119.0,75.0,75.0,71.0,70.0,71.0,71.0,73.0,74.0,74.0,76.0,78.0,79.0,82.0,81.0,82.0,88.0,85.0,86.0,87.0,91.0,91.0,94.0,90.0,100.0,94.0,101.0,99.0,102.0,103.0,104.0,107.0,114.0,110.0,108.0,112.0,116.0
unmatched_applicants,114.0,78.0,73.0,71.0,70.0,70.0,70.0,72.0,72.0,74.0,76.0,76.0,80.0,79.0,78.0,81.0,83.0,84.0,84.0,83.0,87.0,88.0,94.0,95.0,97.0,93.0,98.0,99.0,98.0,107.0,105.0,104.0,111.0,111.0,113.0,111.0,117.0
unmatched_applicants,114.0,77.0,72.0,70.0,70.0,70.0,72.0,71.0,73.0,74.0,74.0,77.0,78.0,81.0,80.0,79.0,85.0,86.0,87.0,84.0,87.0,88.0,88.0,93.0,101.0,96.0,95.0,99.0,104.0,103.0,108.0,110.0,106.0,109.0,111.0,115.0,120.0
unmatched_applicants,119.0,75.0,73.0,71.0,70.0,71.0,71.0,72.0,76.0,74.0,76.0,75.0,78.0,78.0,76.0,76.0,85.0,84.0,91.0,84.0,88.0,86.0,94.0,86.0,98.0,92.0,104.0,102.0,110.0,106.0,111.0,109.0,111.0,111.0,115.0,111.0,121.0
unmatched_applicants,115.0,83.0,73.0,72.0,70.0,71.0,71.0,73.0,75.0,74.0,73.0,78.0,81.0,78.0,80.0,83.0,83.0,84.0,88.0,90.0,90.0,89.0,93.0,86.0,92.0,93.0,98.0,96.0,103.0,102.0,106.0,108.0,110.0,110.0,110.0,114.0,118.0
unfilled_spots,46.0,6.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,7.0,4.0,12.0,12.0,9.0,11.0,14.0,15.0,11.0,15.0,21.0,20.0,17.0,19.0,27.0,25.0,30.0,26.0,29.0,29.0,35.0,33.0,43.0,43.0,49.0,41.0,45.0
