Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.88474576271187,139.91525423728814,100.23728813559322,71.35932203389831,66.23389830508475,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,158.76610169491525,138.18983050847459,99.06101694915255,68.56271186440678,66.57627118644068,73.22033898305085,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.4813559322034,140.19322033898305,99.25084745762712,68.50169491525423,66.91186440677966,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.5050847457627,136.7864406779661,99.23728813559322,70.43728813559322,66.8135593220339,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,159.18305084745762,139.86101694915254,96.69830508474577,70.91186440677966,66.24745762711865,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.998047419804742,0.9874476987447699,0.9369064222620708,0.848558809855881,0.7599049537682732,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999628079962808,0.9864404153107083,0.9343162648601979,0.8493142724314272,0.7614029650291854,0.6856810785681079,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.99907019990702,0.9871377653804432,0.9357773792920236,0.8509995350999535,0.7614546205899065,0.6854486285448629,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999721059972106,0.9831861149852782,0.9362422793385137,0.8512319851231985,0.7611446872255798,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999814039981404,0.9876801487680149,0.9336521219366407,0.8491980474198048,0.7605248204969265,0.6856810785681079,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.99953509995351,0.9853556485355649,0.9317925217506807,0.8497791724779172,0.7616095872720698,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.999628079962808,0.9858980319231365,0.9319917646277479,0.849953509995351,0.7615579317113488,0.6856345885634588,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.998512319851232,0.9897721989772199,0.9341834362754865,0.851115760111576,0.7613513094684643,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
