Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unmatched_applicants,272.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,237.0,237.0,241.0,241.0,239.0,241.0,249.0,250.0,248.0,250.0,253.0,255.0,253.0,255.0,255.0,260.0,265.0,262.0
unmatched_applicants,268.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,237.0,234.0,236.0,237.0,239.0,243.0,242.0,242.0,247.0,247.0,249.0,249.0,252.0,254.0,256.0,255.0,255.0,258.0,260.0,262.0
unmatched_applicants,266.0,235.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,237.0,237.0,238.0,241.0,242.0,242.0,247.0,249.0,247.0,249.0,251.0,253.0,253.0,258.0,258.0,258.0,259.0,260.0
unmatched_applicants,266.0,234.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,238.0,237.0,241.0,241.0,241.0,241.0,248.0,244.0,245.0,246.0,250.0,251.0,253.0,255.0,252.0,257.0,259.0,259.0,262.0
unmatched_applicants,272.0,236.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,236.0,235.0,235.0,241.0,241.0,244.0,243.0,246.0,246.0,248.0,250.0,251.0,252.0,256.0,256.0,258.0,258.0,261.0,261.0
unmatched_applicants,267.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,234.0,236.0,235.0,238.0,234.0,239.0,240.0,241.0,241.0,246.0,243.0,250.0,252.0,248.0,251.0,255.0,252.0,256.0,257.0,258.0,260.0,262.0
unmatched_applicants,269.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,238.0,236.0,237.0,235.0,237.0,241.0,241.0,241.0,243.0,245.0,247.0,246.0,248.0,254.0,254.0,255.0,258.0,257.0,259.0,261.0,262.0
unmatched_applicants,269.0,235.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,236.0,235.0,237.0,236.0,237.0,242.0,244.0,243.0,246.0,245.0,247.0,248.0,250.0,252.0,255.0,256.0,256.0,259.0,259.0,260.0,261.0
unmatched_applicants,271.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,236.0,236.0,241.0,239.0,242.0,242.0,243.0,249.0,249.0,249.0,251.0,252.0,257.0,258.0,257.0,258.0,259.0,260.0
unmatched_applicants,270.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,236.0,237.0,237.0,237.0,238.0,239.0,240.0,240.0,242.0,245.0,249.0,248.0,250.0,251.0,254.0,255.0,260.0,259.0,260.0,261.0,260.0
unfilled_spots,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,5.0,7.0,15.0,16.0,14.0,16.0,19.0,21.0,19.0,21.0,21.0,26.0,31.0,28.0
unfilled_spots,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,5.0,9.0,8.0,8.0,13.0,13.0,15.0,15.0,18.0,20.0,22.0,21.0,21.0,24.0,26.0,28.0
unfilled_spots,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,4.0,7.0,8.0,8.0,13.0,15.0,13.0,15.0,17.0,19.0,19.0,24.0,24.0,24.0,25.0,26.0
unfilled_spots,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,7.0,7.0,7.0,7.0,14.0,10.0,11.0,12.0,16.0,17.0,19.0,21.0,18.0,23.0,25.0,25.0,28.0
unfilled_spots,38.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,7.0,7.0,10.0,9.0,12.0,12.0,14.0,16.0,17.0,18.0,22.0,22.0,24.0,24.0,27.0,27.0
unfilled_spots,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,5.0,6.0,7.0,7.0,12.0,9.0,16.0,18.0,14.0,17.0,21.0,18.0,22.0,23.0,24.0,26.0,28.0
unfilled_spots,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,1.0,3.0,7.0,7.0,7.0,9.0,11.0,13.0,12.0,14.0,20.0,20.0,21.0,24.0,23.0,25.0,27.0,28.0
