Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,7918.0,6196.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6216.0,6292.0,6296.0,6371.0,6502.0,6623.0,6637.0,6755.0,6824.0,6929.0,6956.0,7057.0,7140.0,7188.0,7286.0,7323.0,7388.0,7453.0,7604.0,7624.0,7671.0,7685.0
unmatched_applicants,7965.0,6202.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6227.0,6288.0,6280.0,6379.0,6494.0,6610.0,6634.0,6731.0,6789.0,6956.0,6972.0,7081.0,7129.0,7204.0,7278.0,7340.0,7343.0,7421.0,7600.0,7640.0,7681.0,7671.0
unmatched_applicants,7899.0,6203.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6212.0,6277.0,6285.0,6364.0,6486.0,6644.0,6627.0,6730.0,6812.0,6947.0,6990.0,7037.0,7120.0,7203.0,7279.0,7307.0,7367.0,7434.0,7604.0,7580.0,7678.0,7675.0
unmatched_applicants,7938.0,6199.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6197.0,6215.0,6299.0,6263.0,6368.0,6517.0,6593.0,6632.0,6745.0,6824.0,6936.0,6968.0,7040.0,7137.0,7197.0,7301.0,7297.0,7365.0,7409.0,7611.0,7568.0,7640.0,7664.0
unmatched_applicants,7942.0,6195.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6204.0,6271.0,6293.0,6396.0,6479.0,6611.0,6622.0,6748.0,6831.0,6945.0,7020.0,7074.0,7117.0,7195.0,7255.0,7329.0,7339.0,7456.0,7613.0,7654.0,7623.0,7660.0
unmatched_applicants,7917.0,6197.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6199.0,6215.0,6305.0,6256.0,6379.0,6502.0,6602.0,6640.0,6716.0,6842.0,6951.0,6980.0,7070.0,7103.0,7204.0,7238.0,7336.0,7394.0,7406.0,7595.0,7650.0,7697.0,7693.0
unmatched_applicants,7916.0,6197.0,6191.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6204.0,6303.0,6264.0,6380.0,6533.0,6639.0,6644.0,6772.0,6813.0,6959.0,7024.0,7069.0,7097.0,7215.0,7246.0,7321.0,7363.0,7435.0,7599.0,7655.0,7623.0,7662.0
unmatched_applicants,7956.0,6200.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6192.0,6190.0,6190.0,6200.0,6295.0,6322.0,6374.0,6465.0,6609.0,6618.0,6742.0,6859.0,6982.0,6992.0,7074.0,7165.0,7199.0,7275.0,7332.0,7396.0,7453.0,7581.0,7621.0,7657.0,7690.0
unmatched_applicants,7921.0,6206.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6194.0,6244.0,6267.0,6289.0,6405.0,6476.0,6585.0,6653.0,6719.0,6880.0,6934.0,6978.0,7043.0,7126.0,7204.0,7274.0,7328.0,7376.0,7435.0,7624.0,7604.0,7677.0,7673.0
unmatched_applicants,7933.0,6193.0,6192.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6195.0,6224.0,6292.0,6267.0,6318.0,6497.0,6612.0,6595.0,6734.0,6865.0,6921.0,6954.0,7077.0,7141.0,7180.0,7262.0,7349.0,7409.0,7433.0,7605.0,7596.0,7673.0,7688.0
unfilled_spots,1728.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,102.0,106.0,181.0,312.0,433.0,447.0,565.0,634.0,739.0,766.0,867.0,950.0,998.0,1096.0,1133.0,1198.0,1263.0,1414.0,1434.0,1481.0,1495.0
unfilled_spots,1775.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,98.0,90.0,189.0,304.0,420.0,444.0,541.0,599.0,766.0,782.0,891.0,939.0,1014.0,1088.0,1150.0,1153.0,1231.0,1410.0,1450.0,1491.0,1481.0
unfilled_spots,1709.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,87.0,95.0,174.0,296.0,454.0,437.0,540.0,622.0,757.0,800.0,847.0,930.0,1013.0,1089.0,1117.0,1177.0,1244.0,1414.0,1390.0,1488.0,1485.0
unfilled_spots,1748.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,109.0,73.0,178.0,327.0,403.0,442.0,555.0,634.0,746.0,778.0,850.0,947.0,1007.0,1111.0,1107.0,1175.0,1219.0,1421.0,1378.0,1450.0,1474.0
unfilled_spots,1752.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,81.0,103.0,206.0,289.0,421.0,432.0,558.0,641.0,755.0,830.0,884.0,927.0,1005.0,1065.0,1139.0,1149.0,1266.0,1423.0,1464.0,1433.0,1470.0
unfilled_spots,1727.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,115.0,66.0,189.0,312.0,412.0,450.0,526.0,652.0,761.0,790.0,880.0,913.0,1014.0,1048.0,1146.0,1204.0,1216.0,1405.0,1460.0,1507.0,1503.0
unfilled_spots,1726.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,113.0,74.0,190.0,343.0,449.0,454.0,582.0,623.0,769.0,834.0,879.0,907.0,1025.0,1056.0,1131.0,1173.0,1245.0,1409.0,1465.0,1433.0,1472.0
unfilled_spots,1766.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,105.0,132.0,184.0,275.0,419.0,428.0,552.0,669.0,792.0,802.0,884.0,975.0,1009.0,1085.0,1142.0,1206.0,1263.0,1391.0,1431.0,1467.0,1500.0
unfilled_spots,1731.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,54.0,77.0,99.0,215.0,286.0,395.0,463.0,529.0,690.0,744.0,788.0,853.0,936.0,1014.0,1084.0,1138.0,1186.0,1245.0,1434.0,1414.0,1487.0,1483.0
unfilled_spots,1743.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,102.0,77.0,128.0,307.0,422.0,405.0,544.0,675.0,731.0,764.0,887.0,951.0,990.0,1072.0,1159.0,1219.0,1243.0,1415.0,1406.0,1483.0,1498.0
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,812.655672823219,707.2546174142481,372.4353562005277,216.24406332453825,227.56596306068602,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,811.802110817942,717.8852242744064,376.8192612137203,217.7664907651715,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,812.7585751978892,715.5448548812665,384.5461741424802,216.3575197889182,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,812.7757255936675,728.4920844327177,368.21108179419525,214.79287598944592,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,811.7823218997362,717.2770448548813,354.2137203166227,215.4221635883905,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,812.7321899736148,720.1873350923482,364.44986807387863,213.84960422163587,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,811.8918205804749,718.7097625329816,371.5131926121372,214.6094986807388,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,812.7229551451187,724.240105540897,366.4617414248021,222.91952506596306,226.8311345646438,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
reviews_per_program,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,813.6094986807387,810.9485488126649,713.2704485488126,364.7335092348285,216.12796833773086,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678,745.8087071240105,768.4089709762533,791.009234828496
