Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,361.69312169312167,304.8941798941799,193.8994708994709,161.82539682539684,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,365.62433862433863,299.37566137566137,195.1904761904762,161.84126984126985,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,364.6137566137566,308.83597883597884,188.38095238095238,160.58201058201058,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,361.8253968253968,305.3333333333333,185.3015873015873,161.84656084656083,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,360.25925925925924,307.51851851851853,191.02116402116403,165.3862433862434,176.65608465608466,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,299.8042328042328,190.88888888888889,167.2962962962963,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
reviews_per_program,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,367.14814814814815,365.9153439153439,304.7936507936508,179.85185185185185,160.7037037037037,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884819356977129,0.931425625161124,0.8450447464368578,0.7688251423750264,0.7047563805104409,0.6505443512404069,0.6040768975803779,0.5638051044083526,0.5285672853828306,0.49747509212501706,0.46983758700696054,0.4451092929539626,0.4228538283062645
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993370898243288,0.9875290023201856,0.9298420064081317,0.8450116009280743,0.7687950100943141,0.7047563805104409,0.6505443512404069,0.6040768975803779,0.5638051044083526,0.5285672853828306,0.49747509212501706,0.46983758700696054,0.4451092929539626,0.4228538283062645
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994791420048298,0.9858717268810077,0.929289581261739,0.8449121644017236,0.7688251423750264,0.7047563805104409,0.6505443512404069,0.6040768975803779,0.5638051044083526,0.5285672853828306,0.49747509212501706,0.46983758700696054,0.4451092929539626,0.4228538283062645
