Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unmatched_applicants,128.0,91.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,96.0,95.0,91.0,95.0,97.0,96.0,98.0,102.0,103.0,103.0,106.0,107.0,113.0,112.0,116.0,122.0,124.0
unmatched_applicants,130.0,92.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,94.0,93.0,91.0,94.0,96.0,97.0,99.0,96.0,101.0,103.0,101.0,104.0,110.0,111.0,117.0,124.0,121.0,124.0
unmatched_applicants,123.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,95.0,98.0,97.0,91.0,103.0,101.0,103.0,103.0,106.0,106.0,110.0,110.0,115.0,122.0,125.0
unmatched_applicants,124.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,91.0,94.0,95.0,96.0,96.0,94.0,99.0,97.0,97.0,103.0,109.0,106.0,109.0,113.0,117.0,122.0,121.0
unmatched_applicants,126.0,94.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,91.0,91.0,94.0,94.0,96.0,97.0,96.0,105.0,100.0,109.0,105.0,108.0,110.0,114.0,116.0,119.0,123.0
unmatched_applicants,126.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,97.0,97.0,96.0,100.0,98.0,98.0,102.0,104.0,109.0,110.0,108.0,115.0,115.0,118.0,120.0
unmatched_applicants,130.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,95.0,93.0,95.0,100.0,99.0,97.0,104.0,97.0,106.0,108.0,113.0,117.0,113.0,118.0,119.0,124.0
unmatched_applicants,125.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,91.0,91.0,91.0,91.0,94.0,97.0,98.0,97.0,102.0,101.0,103.0,107.0,107.0,110.0,110.0,120.0,125.0,126.0
unmatched_applicants,125.0,94.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,95.0,91.0,93.0,96.0,94.0,97.0,95.0,97.0,101.0,98.0,107.0,102.0,113.0,109.0,119.0,119.0,120.0,124.0
unmatched_applicants,122.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,91.0,94.0,95.0,93.0,96.0,98.0,98.0,102.0,101.0,103.0,105.0,106.0,115.0,113.0,115.0,124.0,123.0
