Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
unmatched_applicants,92.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0,81.0,81.0,80.0,84.0,82.0,83.0,82.0,84.0,88.0,86.0,92.0,89.0,91.0
unmatched_applicants,94.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,80.0,81.0,82.0,81.0,82.0,83.0,83.0,84.0,85.0,86.0,91.0,90.0,91.0,90.0
unmatched_applicants,93.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,76.0,76.0,78.0,78.0,76.0,80.0,83.0,82.0,84.0,82.0,82.0,82.0,83.0,86.0,87.0,90.0,88.0,90.0
unmatched_applicants,95.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,77.0,79.0,79.0,80.0,79.0,83.0,83.0,82.0,85.0,86.0,83.0,86.0,87.0,88.0,87.0,91.0
unmatched_applicants,93.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,79.0,80.0,81.0,81.0,84.0,82.0,83.0,84.0,85.0,86.0,86.0,87.0,88.0,91.0,92.0
unmatched_applicants,93.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,78.0,77.0,78.0,82.0,79.0,78.0,83.0,83.0,85.0,84.0,85.0,87.0,89.0,88.0,89.0,93.0
unmatched_applicants,92.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,80.0,82.0,77.0,80.0,83.0,86.0,84.0,83.0,84.0,82.0,88.0,89.0,89.0,90.0,89.0
unmatched_applicants,91.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,78.0,79.0,78.0,78.0,81.0,83.0,83.0,85.0,83.0,85.0,84.0,84.0,86.0,90.0,92.0,92.0
unmatched_applicants,91.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.0,77.0,80.0,80.0,78.0,83.0,83.0,82.0,84.0,85.0,85.0,85.0,85.0,89.0,89.0,90.0,91.0
unmatched_applicants,90.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,80.0,80.0,83.0,86.0,81.0,83.0,84.0,82.0,82.0,85.0,87.0,88.0,91.0,88.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,8.0,6.0,7.0,6.0,8.0,12.0,10.0,16.0,13.0,15.0
