Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,1493.0,879.0,881.0,870.0,863.0,863.0,863.0,863.0,863.0,863.0,869.0,897.0,894.0,945.0,977.0,1023.0,1053.0,1091.0,1150.0,1144.0,1204.0,1237.0,1231.0,1264.0,1304.0,1321.0,1340.0,1357.0,1403.0,1406.0,1425.0,1422.0,1495.0,1503.0
unmatched_applicants,1531.0,876.0,875.0,866.0,863.0,863.0,863.0,863.0,863.0,863.0,866.0,909.0,915.0,943.0,983.0,1014.0,1045.0,1082.0,1118.0,1143.0,1200.0,1230.0,1216.0,1270.0,1314.0,1318.0,1329.0,1326.0,1390.0,1407.0,1387.0,1409.0,1493.0,1521.0
unmatched_applicants,1481.0,873.0,888.0,873.0,863.0,863.0,863.0,863.0,863.0,868.0,875.0,902.0,914.0,946.0,992.0,1044.0,1058.0,1104.0,1119.0,1174.0,1234.0,1236.0,1228.0,1262.0,1325.0,1315.0,1358.0,1337.0,1389.0,1397.0,1392.0,1407.0,1508.0,1495.0
unmatched_applicants,1491.0,905.0,882.0,868.0,863.0,863.0,863.0,863.0,863.0,863.0,881.0,882.0,908.0,951.0,986.0,1024.0,1069.0,1084.0,1114.0,1147.0,1191.0,1226.0,1240.0,1265.0,1307.0,1322.0,1314.0,1335.0,1407.0,1425.0,1406.0,1407.0,1497.0,1517.0
unmatched_applicants,1522.0,888.0,895.0,869.0,863.0,863.0,863.0,863.0,863.0,863.0,871.0,908.0,903.0,940.0,984.0,1036.0,1063.0,1086.0,1121.0,1148.0,1199.0,1226.0,1246.0,1266.0,1318.0,1326.0,1342.0,1343.0,1376.0,1411.0,1404.0,1432.0,1531.0,1514.0
unmatched_applicants,1511.0,887.0,879.0,871.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,879.0,897.0,920.0,1004.0,1035.0,1082.0,1106.0,1117.0,1164.0,1201.0,1221.0,1253.0,1263.0,1303.0,1337.0,1318.0,1320.0,1417.0,1395.0,1400.0,1415.0,1520.0,1528.0
unmatched_applicants,1521.0,887.0,885.0,871.0,863.0,863.0,863.0,863.0,863.0,863.0,863.0,909.0,890.0,963.0,994.0,1032.0,1080.0,1091.0,1131.0,1141.0,1203.0,1217.0,1251.0,1271.0,1307.0,1339.0,1337.0,1349.0,1406.0,1419.0,1414.0,1401.0,1470.0,1492.0
unmatched_applicants,1511.0,885.0,888.0,867.0,863.0,863.0,863.0,863.0,863.0,863.0,872.0,896.0,888.0,946.0,985.0,1023.0,1079.0,1096.0,1141.0,1152.0,1219.0,1210.0,1226.0,1256.0,1305.0,1328.0,1331.0,1347.0,1383.0,1385.0,1409.0,1398.0,1511.0,1519.0
unmatched_applicants,1522.0,880.0,884.0,876.0,863.0,863.0,863.0,863.0,863.0,863.0,866.0,881.0,893.0,946.0,984.0,1027.0,1059.0,1118.0,1137.0,1166.0,1198.0,1225.0,1246.0,1284.0,1307.0,1329.0,1330.0,1336.0,1406.0,1389.0,1410.0,1397.0,1512.0,1515.0
unmatched_applicants,1501.0,890.0,876.0,865.0,863.0,863.0,863.0,863.0,863.0,863.0,866.0,884.0,908.0,950.0,1000.0,1042.0,1074.0,1110.0,1124.0,1156.0,1229.0,1221.0,1241.0,1251.0,1306.0,1321.0,1321.0,1315.0,1409.0,1392.0,1411.0,1419.0,1489.0,1491.0
