Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,152.4835164835165,130.36263736263737,115.07692307692308,100.07692307692308,91.51648351648352,90.38461538461539,79.37362637362638,73.01098901098901,70.1978021978022,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,154.56043956043956,149.97802197802199,136.3186813186813,114.15384615384616,104.84615384615384,93.3076923076923,90.12087912087912,81.47252747252747,71.5934065934066,69.3956043956044,72.71428571428571,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,148.9010989010989,139.9120879120879,114.82417582417582,107.98901098901099,94.72527472527473,85.56043956043956,76.84615384615384,73.54945054945055,68.48351648351648,70.79120879120879,75.32967032967034,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,155.15384615384616,152.43956043956044,129.63736263736263,118.8021978021978,101.05494505494505,93.10989010989012,82.81318681318682,84.53846153846153,71.3076923076923,68.21978021978022,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,155.62637362637363,151.30769230769232,141.5054945054945,117.76923076923077,98.04395604395604,92.50549450549451,88.04395604395604,75.84615384615384,69.85714285714286,67.43956043956044,70.51648351648352,76.35164835164835,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,153.45054945054946,135.4835164835165,111.65934065934066,104.5934065934066,94.34065934065934,87.41758241758242,82.25274725274726,71.82417582417582,69.92307692307692,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,153.93406593406593,151.47252747252747,136.23076923076923,110.93406593406593,102.75824175824175,90.86813186813187,89.0989010989011,78.93406593406593,70.20879120879121,66.63736263736264,71.97802197802197,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,152.02197802197801,127.52747252747253,121.68131868131869,98.75824175824175,97.14285714285714,82.03296703296704,80.83516483516483,73.96703296703296,70.0989010989011,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,151.7912087912088,138.98901098901098,109.21978021978022,100.82417582417582,90.50549450549451,95.3076923076923,77.95604395604396,69.36263736263736,68.16483516483517,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
reviews_per_program,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,156.65934065934067,148.72527472527472,139.73626373626374,118.81318681318682,98.17582417582418,89.68131868131869,86.3076923076923,78.49450549450549,69.54945054945055,70.15384615384616,71.71428571428571,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879,113.14285714285714,117.49450549450549,121.84615384615384,126.1978021978022,130.54945054945054,134.9010989010989,139.25274725274724,143.6043956043956,147.95604395604394,152.30769230769232
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981962481962482,0.9791666666666666,0.9607182940516273,0.921969696969697,0.8955463728191001,0.8343855218855218,0.796037296037296,0.7492784992784993,0.7043771043771043,0.6627209595959596,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9991582491582491,0.9953102453102453,0.9867424242424242,0.9612794612794613,0.9169191919191919,0.8801652892561983,0.8394360269360269,0.7942890442890443,0.7483766233766234,0.7052188552188552,0.6603535353535354,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956709956709957,0.9842171717171717,0.9565095398428731,0.9113636363636364,0.8753443526170799,0.8383838383838383,0.7937062937062938,0.7481962481962482,0.7052188552188552,0.6619318181818182,0.6235888294711824,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9991582491582491,0.9963924963924964,0.9823232323232324,0.9584736251402918,0.9161616161616162,0.8847566574839302,0.8339646464646465,0.7874902874902875,0.7507215007215007,0.7058922558922559,0.6627209595959596,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9991582491582491,0.9985569985569985,0.9943181818181818,0.9615600448933782,0.9224747474747474,0.8760330578512396,0.8341750841750841,0.7972027972027972,0.7507215007215007,0.7053872053872053,0.6622474747474747,0.6229946524064172,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989177489177489,0.9810606060606061,0.9545454545454546,0.9131313131313131,0.8817722681359045,0.8345959595959596,0.7927350427350427,0.7447691197691197,0.704040404040404,0.6627209595959596,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9966329966329966,0.9971139971139971,0.978219696969697,0.9455667789001122,0.9234848484848485,0.8870523415977961,0.8310185185185185,0.7944832944832945,0.7492784992784993,0.7067340067340068,0.6616161616161617,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9967532467532467,0.9835858585858586,0.9567901234567902,0.9255050505050505,0.8778696051423324,0.8390151515151515,0.7921522921522921,0.748015873015873,0.7037037037037037,0.6627209595959596,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974747474747475,0.9845328282828283,0.9595959595959596,0.9154040404040404,0.8842975206611571,0.8396464646464646,0.7997280497280498,0.748015873015873,0.7058922558922559,0.6627209595959596,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963924963924964,0.98989898989899,0.9570707070707071,0.9277777777777778,0.9035812672176309,0.8428030303030303,0.8012820512820513,0.7521645021645021,0.7028619528619529,0.6619318181818182,0.6237373737373737,0.5890852974186308,0.5580808080808081,0.5301767676767677,0.5049302549302549,0.48197887970615244,0.4610232762406675,0.4418139730639731,0.42414141414141415,0.4078282828282828,0.3927235316124205,0.3786976911976912,0.36563915012190873,0.35345117845117846,0.3420495275333985,0.3313604797979798,0.321319253137435,0.31186868686868685,0.302958152958153
pct_interview_given_nosignal,0.2945426487093154,0.2743867243867244,0.2530451574569222,0.23041016222834404,0.2063604797979798,0.18075920495275333,0.15345117845117845,0.124695228143504,0.09893578643578643,0.07248410026187804,0.053224553224553224,0.0301010101010101,0.02462121212121212,0.01108915239350022,0.005165289256198347,0.0018037518037518038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2945426487093154,0.2743867243867244,0.2530451574569222,0.23041016222834404,0.2063604797979798,0.18075920495275333,0.15361952861952863,0.12539184952978055,0.09677128427128427,0.07229704451926675,0.05516705516705517,0.03686868686868687,0.022095959595959596,0.012077294685990338,0.00573921028466483,0.0012025012025012026,0.001893939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2945426487093154,0.2743867243867244,0.2530451574569222,0.23041016222834404,0.2063604797979798,0.18075920495275333,0.15345117845117845,0.125304771856496,0.09749278499278499,0.07388701833146277,0.057303807303807304,0.03898989898989899,0.022622053872053873,0.012406675450153712,0.005853994490358127,0.0012025012025012026,0.0006313131313131314,0.00013290802764486976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
