Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
unmatched_applicants,213.0,167.0,162.0,158.0,159.0,158.0,158.0,158.0,158.0,159.0,163.0,165.0,165.0,169.0,177.0,177.0,184.0,187.0,192.0,194.0,198.0,196.0,205.0,205.0,205.0,220.0,204.0
unmatched_applicants,222.0,166.0,164.0,159.0,158.0,158.0,158.0,158.0,160.0,158.0,158.0,164.0,169.0,166.0,167.0,173.0,175.0,186.0,189.0,185.0,197.0,198.0,200.0,201.0,209.0,219.0,214.0
unmatched_applicants,213.0,164.0,161.0,160.0,158.0,158.0,158.0,158.0,160.0,160.0,162.0,160.0,162.0,167.0,177.0,178.0,181.0,187.0,187.0,188.0,199.0,198.0,199.0,203.0,207.0,209.0,213.0
unmatched_applicants,217.0,166.0,159.0,160.0,158.0,158.0,158.0,158.0,158.0,158.0,162.0,165.0,164.0,166.0,170.0,176.0,175.0,180.0,189.0,191.0,189.0,202.0,202.0,205.0,209.0,211.0,216.0
unmatched_applicants,218.0,164.0,159.0,158.0,158.0,158.0,158.0,158.0,158.0,160.0,166.0,169.0,162.0,168.0,173.0,173.0,183.0,185.0,186.0,190.0,197.0,198.0,202.0,201.0,210.0,211.0,215.0
unmatched_applicants,217.0,172.0,161.0,158.0,158.0,158.0,160.0,158.0,160.0,161.0,163.0,160.0,164.0,168.0,171.0,177.0,183.0,184.0,186.0,187.0,197.0,197.0,200.0,202.0,212.0,211.0,221.0
unmatched_applicants,215.0,165.0,161.0,158.0,158.0,158.0,158.0,160.0,160.0,158.0,162.0,160.0,163.0,171.0,176.0,173.0,180.0,188.0,194.0,190.0,197.0,205.0,198.0,195.0,206.0,212.0,211.0
unmatched_applicants,210.0,163.0,162.0,161.0,158.0,158.0,158.0,160.0,158.0,159.0,163.0,163.0,164.0,171.0,176.0,179.0,178.0,179.0,189.0,188.0,196.0,196.0,198.0,206.0,210.0,209.0,218.0
unmatched_applicants,214.0,166.0,161.0,160.0,158.0,158.0,158.0,158.0,159.0,160.0,163.0,167.0,164.0,170.0,168.0,178.0,186.0,183.0,187.0,195.0,193.0,199.0,199.0,204.0,209.0,215.0,211.0
unmatched_applicants,210.0,165.0,158.0,159.0,158.0,158.0,158.0,158.0,158.0,160.0,158.0,166.0,167.0,169.0,171.0,178.0,179.0,183.0,186.0,198.0,198.0,192.0,197.0,199.0,206.0,211.0,212.0
unfilled_spots,55.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,7.0,11.0,19.0,19.0,26.0,29.0,34.0,36.0,40.0,38.0,47.0,47.0,47.0,62.0,46.0
unfilled_spots,64.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,11.0,8.0,9.0,15.0,17.0,28.0,31.0,27.0,39.0,40.0,42.0,43.0,51.0,61.0,56.0
unfilled_spots,55.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,9.0,19.0,20.0,23.0,29.0,29.0,30.0,41.0,40.0,41.0,45.0,49.0,51.0,55.0
unfilled_spots,59.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,8.0,12.0,18.0,17.0,22.0,31.0,33.0,31.0,44.0,44.0,47.0,51.0,53.0,58.0
unfilled_spots,60.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,11.0,4.0,10.0,15.0,15.0,25.0,27.0,28.0,32.0,39.0,40.0,44.0,43.0,52.0,53.0,57.0
unfilled_spots,59.0,14.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,6.0,10.0,13.0,19.0,25.0,26.0,28.0,29.0,39.0,39.0,42.0,44.0,54.0,53.0,63.0
unfilled_spots,57.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,5.0,13.0,18.0,15.0,22.0,30.0,36.0,32.0,39.0,47.0,40.0,37.0,48.0,54.0,53.0
unfilled_spots,52.0,5.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,6.0,13.0,18.0,21.0,20.0,21.0,31.0,30.0,38.0,38.0,40.0,48.0,52.0,51.0,60.0
unfilled_spots,56.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,9.0,6.0,12.0,10.0,20.0,28.0,25.0,29.0,37.0,35.0,41.0,41.0,46.0,51.0,57.0,53.0
