Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
reviews_per_program,495.752,495.752,495.752,495.752,495.752,368.976,129.912,113.616,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
reviews_per_program,495.752,495.752,495.752,495.752,495.752,358.584,132.676,111.944,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
reviews_per_program,495.752,495.752,495.752,495.752,492.348,342.304,138.324,111.944,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
reviews_per_program,495.752,495.752,495.752,495.752,492.28,342.364,125.256,113.504,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
reviews_per_program,495.752,495.752,495.752,495.752,490.632,352.728,137.828,113.568,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
reviews_per_program,495.752,495.752,495.752,495.752,494.0,349.92,142.744,113.568,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
reviews_per_program,495.752,495.752,495.752,495.752,489.088,371.728,131.764,111.944,127.936,143.928,159.92,175.912,191.904,207.896,223.888,239.88,255.872,271.864,287.856,303.848,319.84,335.832,351.824,367.816,383.808,399.8,415.792,431.784,447.776
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9748374187093547,0.8696014674003668,0.750196526834846,0.6565782891445723,0.5836251459062864,0.5252626313156579,0.4775114830142344,0.43771885942971483,0.40404817793512143,0.3751875937968984,0.3501750875437719,0.32828914457228614,0.3089780184209752,0.2918125729531432,0.2764540164819252,0.26263131565782893,0.25012506253126565,0.2387557415071172,0.22837505709376427,0.21885942971485742,0.21010505252626313,0.20202408896756072,0.1945417153020955,0.1875937968984492
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9997498749374687,0.9787893946973487,0.871268967817242,0.7503751875937968,0.6565782891445723,0.5836251459062864,0.5252626313156579,0.4775114830142344,0.43771885942971483,0.40404817793512143,0.3751875937968984,0.3501750875437719,0.32828914457228614,0.3089780184209752,0.2918125729531432,0.2764540164819252,0.26263131565782893,0.25012506253126565,0.2387557415071172,0.22837505709376427,0.21885942971485742,0.21010505252626313,0.20202408896756072,0.1945417153020955,0.1875937968984492
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9799899949974987,0.8722277805569452,0.7503751875937968,0.6565782891445723,0.5836251459062864,0.5252626313156579,0.4775114830142344,0.43771885942971483,0.40404817793512143,0.3751875937968984,0.3501750875437719,0.32828914457228614,0.3089780184209752,0.2918125729531432,0.2764540164819252,0.26263131565782893,0.25012506253126565,0.2387557415071172,0.22837505709376427,0.21885942971485742,0.21010505252626313,0.20202408896756072,0.1945417153020955,0.1875937968984492
