Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
reviews_per_program,312.75471698113205,312.75471698113205,311.0,184.55974842767296,58.069182389937104,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,309.38993710691824,182.25157232704402,53.20125786163522,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,312.75471698113205,200.8993710691824,56.56603773584906,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,312.75471698113205,207.40251572327045,64.87421383647799,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,309.0062893081761,187.8930817610063,55.119496855345915,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,312.75471698113205,206.35220125786162,66.34591194968553,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
reviews_per_program,312.75471698113205,312.75471698113205,310.9308176100629,199.88050314465409,60.0314465408805,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795
pct_interview_given_signal,0.0,1.0,0.9991554054054054,0.9575825825825826,0.7820945945945946,0.6266891891891891,0.522240990990991,0.44763513513513514,0.39168074324324326,0.34816066066066065,0.31334459459459457,0.28485872235872234,0.2611204954954955,0.24103430353430352,0.22381756756756757,0.2088963963963964,0.19584037162162163,0.18432034976152623,0.17408033033033032,0.1649182076813656,0.15667229729729729,0.14921171171171171,0.14242936117936117,0.1362367802585194,0.13056024774774774,0.12533783783783783
pct_interview_given_signal,0.0,1.0,0.9983108108108109,0.9605855855855856,0.7785754504504504,0.6266891891891891,0.522240990990991,0.44763513513513514,0.39168074324324326,0.34816066066066065,0.31334459459459457,0.28485872235872234,0.2611204954954955,0.24103430353430352,0.22381756756756757,0.2088963963963964,0.19584037162162163,0.18432034976152623,0.17408033033033032,0.1649182076813656,0.15667229729729729,0.14921171171171171,0.14242936117936117,0.1362367802585194,0.13056024774774774,0.12533783783783783
pct_interview_given_signal,0.0,1.0,0.9971846846846847,0.9502627627627628,0.7798423423423423,0.6266891891891891,0.522240990990991,0.44763513513513514,0.39168074324324326,0.34816066066066065,0.31334459459459457,0.28485872235872234,0.2611204954954955,0.24103430353430352,0.22381756756756757,0.2088963963963964,0.19584037162162163,0.18432034976152623,0.17408033033033032,0.1649182076813656,0.15667229729729729,0.14921171171171171,0.14242936117936117,0.1362367802585194,0.13056024774774774,0.12533783783783783
