Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,268.32911392405066,151.36708860759492,69.59493670886076,64.68354430379746,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,268.46835443037975,148.08860759493672,74.32911392405063,64.53164556962025,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,293.34177215189874,263.7848101265823,158.60759493670886,72.0,64.59493670886076,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,281.126582278481,249.0253164556962,171.2405063291139,84.77215189873418,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,269.72151898734177,154.51898734177215,85.35443037974683,68.44303797468355,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,261.9113924050633,158.70886075949366,79.9620253164557,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,266.30379746835445,158.65822784810126,78.67088607594937,64.63291139240506,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,293.2025316455696,262.2278481012658,156.79746835443038,80.45569620253164,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
reviews_per_program,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,295.7088607594937,263.9113924050633,156.22784810126583,74.17721518987342,64.92405063291139,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9946577629382304,0.9443516972732332,0.844025757214405,0.7414440734557596,0.659432387312187,0.5934891485809682,0.5395355896190621,0.49457429048414026,0.4565301142930525,0.42392082041497736,0.39565943238731216,0.37093071786310516,0.3491112638711578,0.3297161936560935,0.312362709779457,0.2967445742904841,0.2826138802766516,0.26976779480953106,0.2580387602525949,0.24728714524207013,0.2373956594323873,0.22826505714652626,0.21981079577072898,0.21196041020748868,0.20465143054516147,0.19782971619365608,0.19144811244547363,0.18546535893155258,0.17984519653968736,0.1745556319355789,0.16956832816599093,0.16485809682804675
