Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
reviews_per_program,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,119.78021978021978,106.91208791208791,77.68131868131869,61.08791208791209,48.362637362637365,50.54945054945055,52.21978021978022,56.57142857142857,60.92307692307692,65.27472527472527,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879
reviews_per_program,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,120.91208791208791,108.54945054945055,84.43956043956044,67.68131868131869,51.010989010989015,50.494505494505496,52.21978021978022,56.57142857142857,60.92307692307692,65.27472527472527,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879
reviews_per_program,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,116.94505494505495,107.79120879120879,88.34065934065934,55.94505494505494,50.92307692307692,49.7032967032967,52.21978021978022,57.417582417582416,60.92307692307692,65.27472527472527,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879
reviews_per_program,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,119.0,103.98901098901099,81.91208791208791,64.82417582417582,49.1978021978022,47.86813186813187,52.21978021978022,56.57142857142857,60.92307692307692,65.27472527472527,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879
reviews_per_program,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,118.92307692307692,109.35164835164835,84.85714285714286,62.34065934065934,50.31868131868132,51.43956043956044,52.21978021978022,56.57142857142857,60.92307692307692,65.27472527472527,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879
reviews_per_program,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,121.84615384615384,118.98901098901099,112.10989010989012,87.35164835164835,57.956043956043956,47.989010989010985,48.83516483516483,53.78021978021978,56.57142857142857,60.92307692307692,65.27472527472527,69.62637362637362,73.97802197802197,78.32967032967034,82.68131868131869,87.03296703296704,91.38461538461539,95.73626373626374,100.08791208791209,104.43956043956044,108.79120879120879
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9995791245791246,0.9888167388167388,0.961489898989899,0.8967452300785634,0.821969696969697,0.7518365472910927,0.6891835016835017,0.6363636363636364,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9983164983164983,0.9920634920634921,0.9535984848484849,0.8973063973063973,0.8212121212121212,0.7516069788797062,0.6893939393939394,0.6363636363636364,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9984848484848485,1.0,0.9873737373737373,0.9510732323232324,0.8995510662177328,0.821969696969697,0.7520661157024794,0.6893939393939394,0.6363636363636364,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9957912457912458,0.9808802308802309,0.9517045454545454,0.8914141414141414,0.822979797979798,0.7506887052341598,0.6893939393939394,0.6363636363636364,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9991582491582491,0.9794372294372294,0.9545454545454546,0.8984287317620651,0.8232323232323232,0.7502295684113865,0.6893939393939394,0.6363636363636364,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9995791245791246,0.9852092352092352,0.9523358585858586,0.8866442199775533,0.8202020202020202,0.7509182736455464,0.6893939393939394,0.6363636363636364,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,0.9983164983164983,0.987012987012987,0.952020202020202,0.9026374859708193,0.8224747474747475,0.7513774104683195,0.6893939393939394,0.635975135975136,0.5909090909090909,0.5515151515151515,0.5170454545454546,0.48663101604278075,0.4595959595959596,0.4354066985645933,0.41363636363636364,0.3939393939393939,0.3760330578512397,0.35968379446640314,0.3446969696969697,0.33090909090909093
